"year","filename","port","species","type","January","Feburary","March","April","May","June","July","August","September","October","November","December","Total"
"2013","1_YR_LBS_$$_BY_PORT.pdf","01-COLUMBIA RIVER","Total","landings","","3,100","8,093","36,805","57,894","52,436","39,241","678,251","1,065,877","125,027","1,615","","2,068,339"
"2013","1_YR_LBS_$$_BY_PORT.pdf","01-COLUMBIA RIVER","","value","","12,765","85,497","289,520","310,622","234,312","169,209","1,647,960","2,015,792","188,456","808","","4,954,941"
"2013","1_YR_LBS_$$_BY_PORT.pdf","01-COLUMBIA RIVER","Salmon, chinook","landings","","275","7,416","35,809","38,813","41,054","37,416","651,441","837,570","75,693","1,615","","1,727,102"
"2013","1_YR_LBS_$$_BY_PORT.pdf","01-COLUMBIA RIVER","","value","","4,052","83,361","287,581","275,190","202,092","163,154","1,578,240","1,597,894","103,747","808","","4,296,119"
"2013","1_YR_LBS_$$_BY_PORT.pdf","01-COLUMBIA RIVER","Salmon, chum","landings","","","","","","","","","","42","","","42"
"2013","1_YR_LBS_$$_BY_PORT.pdf","01-COLUMBIA RIVER","","value","","","","","","","","","","20","","","20"
"2013","1_YR_LBS_$$_BY_PORT.pdf","01-COLUMBIA RIVER","Salmon, coho","landings","","","","","","4","","12,144","216,121","43,376","","","271,645"
"2013","1_YR_LBS_$$_BY_PORT.pdf","01-COLUMBIA RIVER","","value","","","","","","10","","23,030","393,926","79,797","","","496,763"
"2013","1_YR_LBS_$$_BY_PORT.pdf","01-COLUMBIA RIVER","Salmon, pink","landings","","","","","","","","","9","","","","9"
"2013","1_YR_LBS_$$_BY_PORT.pdf","01-COLUMBIA RIVER","","value","","","","","","","","","2","","","","2"
"2013","1_YR_LBS_$$_BY_PORT.pdf","01-COLUMBIA RIVER","Salmon, sockeye","landings","","","","","","553","5","","","","","","558"
"2013","1_YR_LBS_$$_BY_PORT.pdf","01-COLUMBIA RIVER","","value","","","","","","1,563","18","","","","","","1,581"
"2013","1_YR_LBS_$$_BY_PORT.pdf","01-COLUMBIA RIVER","Shad, American","landings","","","","372","8,584","1,525","","","","201","","","10,682"
"2013","1_YR_LBS_$$_BY_PORT.pdf","01-COLUMBIA RIVER","","value","","","","88","1,526","498","","","","20","","","2,132"
"2013","1_YR_LBS_$$_BY_PORT.pdf","01-COLUMBIA RIVER","Steelhead","landings","","","","","","","99","416","5,901","5,439","","","11,855"
"2013","1_YR_LBS_$$_BY_PORT.pdf","01-COLUMBIA RIVER","","value","","","","","","","260","1,070","4,183","4,068","","","9,581"
"2013","1_YR_LBS_$$_BY_PORT.pdf","01-COLUMBIA RIVER","Sturgeon, white","landings","","2,825","677","624","10,497","9,300","1,721","14,250","6,276","276","","","46,446"
"2013","1_YR_LBS_$$_BY_PORT.pdf","01-COLUMBIA RIVER","","value","","8,713","2,136","1,851","33,906","30,149","5,777","45,620","19,787","804","","","148,743"
