"year","filename","area","port","col1","col2","col3","col4"
2015,"Table 16PUB.pdf","Eureka","","Shrimp, ocean (pink)","6,350,383","$7,757,532",
2015,"Table 16PUB.pdf","Eureka","","Crab, Dungeness","218,658","$1,064,607",
2015,"Table 16PUB.pdf","Eureka","","Rockfish, black","210,827","$404,648",
2015,"Table 16PUB.pdf","Eureka","","Sablefish","98,670","$220,345",
2015,"Table 16PUB.pdf","Eureka","","Shrimp, coonstriped","37,176","$160,439",
2015,"Table 16PUB.pdf","Eureka","","Lingcod","24,971","$55,739",
2015,"Table 16PUB.pdf","Eureka","","Swordfish","18,300","$55,641",
2015,"Table 16PUB.pdf","Eureka","","Salmon, Chinook","5,809","$34,052",
2015,"Table 16PUB.pdf","Eureka","","Tuna, albacore","25,431","$18,085",
2015,"Table 16PUB.pdf","Eureka","","Cabezon","2,559","$10,700",
2015,"Table 16PUB.pdf","Eureka","","Rockfish, quillback","1,893","$7,929",
2015,"Table 16PUB.pdf","Eureka","","Rockfish, blue","4,968","$7,029",
2015,"Table 16PUB.pdf","Eureka","","Greenling, kelp","1,221","$6,413",
2015,"Table 16PUB.pdf","Eureka","","Rockfish, vermilion","2,330","$4,614",
2015,"Table 16PUB.pdf","Eureka","","Shark, thresher","4,305","$4,196",
2015,"Table 16PUB.pdf","Eureka","","Rockfish, China","547","$3,813",
2015,"Table 16PUB.pdf","Eureka","","Rockfish, copper","841","$3,635",
2015,"Table 16PUB.pdf","Eureka","","Shark, shortfin mako","3,061","$2,940",
2015,"Table 16PUB.pdf","Eureka","","Hagfishes","4,725","$2,741",
2015,"Table 16PUB.pdf","Eureka","","Rockfish, group slope","1,252","$2,234",
2015,"Table 16PUB.pdf","Eureka","","Smelt, night","3,407","$1,874",
2015,"Table 16PUB.pdf","Eureka","","Rockfish, grass","207","$1,656",
2015,"Table 16PUB.pdf","Eureka","","Rockfish, yellowtail","462","$754",
2015,"Table 16PUB.pdf","Eureka","","Smelt, surf","1,321","$727",
2015,"Table 16PUB.pdf","Eureka","","Halibut, Pacific","138","$606",
2015,"Table 16PUB.pdf","Eureka","","Rockfish, group shelf","84","$593",
2015,"Table 16PUB.pdf","Eureka","","Louvar","565","$551",
2015,"Table 16PUB.pdf","Eureka","","Rockfish, brown","105","$425",
2015,"Table 16PUB.pdf","Eureka","","Rockfish, black-and-yellow","32","$224",
2015,"Table 16PUB.pdf","Eureka","","Rockfish, blackgill","80","$160",
2015,"Table 16PUB.pdf","Eureka","","Rockfish, olive","55","$69",
2015,"Table 16PUB.pdf","Eureka","","Rockfish, gopher","10","$66",
2015,"Table 16PUB.pdf","Eureka","","Rockfish, widow","29","$56",
2015,"Table 16PUB.pdf","Eureka","","Sole, petrale","2","$11",
2015,"Table 16PUB.pdf","Eureka","","Rockfish, redbanded","5","$7",
2015,"Table 16PUB.pdf","Eureka","","Rockfish, rosethorn","1","$3",
2015,"Table 16PUB.pdf","Eureka","","Fish, unspecified","1","$0",
2015,"Table 16PUB.pdf","Eureka","xx","Port Totals:","7,024,431","$9,835,114",
2015,"Table 16PUB.pdf","Eureka","EUREKA","EUREKA","","",
2015,"Table 16PUB.pdf","Eureka","","Sablefish","722,921","$1,760,325",
2015,"Table 16PUB.pdf","Eureka","","Sole, Dover","2,782,563","$1,236,157",
2015,"Table 16PUB.pdf","Eureka","","Shrimp, ocean (pink)","1,296,115","$863,070",
2015,"Table 16PUB.pdf","Eureka","","Crab, Dungeness","152,585","$771,967",
2015,"Table 16PUB.pdf","Eureka","","Sole, petrale","599,007","$687,669",
2015,"Table 16PUB.pdf","Eureka","","Salmon, Chinook","48,018","$307,006",
2015,"Table 16PUB.pdf","Eureka","","Thornyhead, longspine","509,728","$296,517",
2015,"Table 16PUB.pdf","Eureka","","Thornyhead, shortspine","273,512","$281,653",
2015,"Table 16PUB.pdf","Eureka","","Smelt, night","383,958","$211,745",
2015,"Table 16PUB.pdf","Eureka","","Skate, longnose","238,721","$94,688",
2015,"Table 16PUB.pdf","Eureka","","Tuna, albacore","34,519","$76,383",
