year,filename,area,port,species,landings,value
2018,Table 16PUB.pdf,Eureka,NT CITY,NT CITY,,
2018,Table 16PUB.pdf,Eureka,,"Crab, Dungeness","7,795,272","$23,635,952 "
2018,Table 16PUB.pdf,Eureka,,"Shrimp, ocean (pink)","4,166,033","$2,951,060 "
2018,Table 16PUB.pdf,Eureka,,"Shrimp, coonstriped","81,557","$496,688 "
2018,Table 16PUB.pdf,Eureka,,"Salmon, Chinook","42,119","$354,141 "
2018,Table 16PUB.pdf,Eureka,,Sablefish,"78,865","$227,080 "
2018,Table 16PUB.pdf,Eureka,,"Rockfish, black","86,129","$166,579 "
2018,Table 16PUB.pdf,Eureka,,"Hagfish, unspecified","206,539","$165,231 "
2018,Table 16PUB.pdf,Eureka,,"Tuna, albacore","103,034","$139,823 "
2018,Table 16PUB.pdf,Eureka,,Lingcod,"17,498","$43,535 "
2018,Table 16PUB.pdf,Eureka,,"Rockfish, copper","2,739","$11,257 "
2018,Table 16PUB.pdf,Eureka,,Cabezon,"2,496","$10,940 "
2018,Table 16PUB.pdf,Eureka,,"Rockfish, blue","5,900","$9,379 "
2018,Table 16PUB.pdf,Eureka,,"Rockfish, quillback","2,035","$8,891 "
2018,Table 16PUB.pdf,Eureka,,"Rockfish, vermilion","1,893","$4,725 "
2018,Table 16PUB.pdf,Eureka,,"Greenling, kelp",853,"$4,263 "
2018,Table 16PUB.pdf,Eureka,,"Crab, rock unspecified","1,014","$2,789 "
2018,Table 16PUB.pdf,Eureka,,"Rockfish, grass",396,"$2,776 "
2018,Table 16PUB.pdf,Eureka,,"Rockfish, China",279,"$1,800 "
2018,Table 16PUB.pdf,Eureka,,"Rockfish, canary","1,302","$1,790 "
2018,Table 16PUB.pdf,Eureka,,"Rockfish, redbanded","1,027","$1,538 "
2018,Table 16PUB.pdf,Eureka,,"Rockfish, yellowtail",535,$765 
2018,Table 16PUB.pdf,Eureka,,"Smelt, night","1,167",$700 
2018,Table 16PUB.pdf,Eureka,,"Halibut, California",84,$680 
2018,Table 16PUB.pdf,Eureka,,"Tuna, skipjack",244,$610 
2018,Table 16PUB.pdf,Eureka,,"Surfperch, redtail",398,$543 
2018,Table 16PUB.pdf,Eureka,,"Rockfish, group shelf",105,$469 
2018,Table 16PUB.pdf,Eureka,,"Mackerel, Pacific",41,$449 
2018,Table 16PUB.pdf,Eureka,,"Rockfish, widow",291,$365 
2018,Table 16PUB.pdf,Eureka,,"Rockfish, black-and-yellow",53,$353 
2018,Table 16PUB.pdf,Eureka,,"Halibut, Pacific",42,$252 
2018,Table 16PUB.pdf,Eureka,CRESCENT CITY,CRESCENT CITY,,
2018,Table 16PUB.pdf,Eureka,,"Rockfish, blackgill",167,$245 
2018,Table 16PUB.pdf,Eureka,,"Rockfish, darkblotched",143,$215 
2018,Table 16PUB.pdf,Eureka,,"Rockfish, brown",98,$176 
2018,Table 16PUB.pdf,Eureka,,"Rockfish, group slope",96,$168 
2018,Table 16PUB.pdf,Eureka,,"Rockfish, gopher",93,$137 
2018,Table 16PUB.pdf,Eureka,,"Rockfish, rougheye",34,$51 
