"year","filename","area","port","col1","col2","col3","col4"
2001,"landings01_table16pub.pdf","Eureka","","Crab, Dungeness","1,112,953","$2,585,158",
2001,"landings01_table16pub.pdf","Eureka","","Sablefish","556,829","$632,186",
2001,"landings01_table16pub.pdf","Eureka","","Shrimp, Pacific Ocean","1,865,995","$492,208",
2001,"landings01_table16pub.pdf","Eureka","","Shrimp, coonstriped","80,725","$300,080",
2001,"landings01_table16pub.pdf","Eureka","","Thornyhead, longspine","268,839","$286,158",
2001,"landings01_table16pub.pdf","Eureka","","Tuna, albacore","366,155","$284,682",
2001,"landings01_table16pub.pdf","Eureka","","Sole, Dover","702,233","$262,031",
2001,"landings01_table16pub.pdf","Eureka","","Rockfish, black","132,779","$148,778",
2001,"landings01_table16pub.pdf","Eureka","","Whiting, Pacific","4,426,439","$144,768",
2001,"landings01_table16pub.pdf","Eureka","","Shark, thresher","81,213","$108,340",
2001,"landings01_table16pub.pdf","Eureka","","Sole, petrale","98,225","$86,527",
2001,"landings01_table16pub.pdf","Eureka","","Thornyhead, shortspine","61,963","$76,367",
2001,"landings01_table16pub.pdf","Eureka","","Rockfish, widow","159,098","$71,581",
2001,"landings01_table16pub.pdf","Eureka","","Sole, English","173,518","$62,479",
2001,"landings01_table16pub.pdf","Eureka","","Skate, unspecified","293,749","$58,874",
2001,"landings01_table16pub.pdf","Eureka","","Sole, rex","128,235","$57,706",
2001,"landings01_table16pub.pdf","Eureka","","Rockfish, quillback","15,520","$53,731",
2001,"landings01_table16pub.pdf","Eureka","","Lingcod","39,279","$48,248",
2001,"landings01_table16pub.pdf","Eureka","","Sole, sand","51,331","$43,803",
2001,"landings01_table16pub.pdf","Eureka","","Crab, box","30,416","$29,989",
2001,"landings01_table16pub.pdf","Eureka","","Salmon, chinook","17,650","$29,463",
2001,"landings01_table16pub.pdf","Eureka","","Sanddab","87,646","$28,571",
2001,"landings01_table16pub.pdf","Eureka","","Rockfish, yellowtail","51,611","$24,108",
2001,"landings01_table16pub.pdf","Eureka","","Smelt, night","68,998","$19,865",
2001,"landings01_table16pub.pdf","Eureka","","Shrimp, unspecified","64,807","$19,442",
2001,"landings01_table16pub.pdf","Eureka","","Cabezon","5,082","$16,065",
2001,"landings01_table16pub.pdf","Eureka","","Rockfish, blue","16,308","$15,828",
2001,"landings01_table16pub.pdf","Eureka","","Prawn, spot","1,206","$15,513",
2001,"landings01_table16pub.pdf","Eureka","","Greenling, kelp","3,986","$15,229",
2001,"landings01_table16pub.pdf","Eureka","","Rockfish, copper","5,394","$14,183",
2001,"landings01_table16pub.pdf","Eureka","","Rockfish, yelloweye","4,572","$12,402",
2001,"landings01_table16pub.pdf","Eureka","","Hagfishes","44,167","$10,923",
2001,"landings01_table16pub.pdf","Eureka","","Thornyheads","12,184","$10,647",
2001,"landings01_table16pub.pdf","Eureka","","Rockfish, China","1,986","$9,850",
2001,"landings01_table16pub.pdf","Eureka","","Flounder, starry","21,001","$9,437",
2001,"landings01_table16pub.pdf","Eureka","","Rockfish, group slope","21,627","$7,953",
2001,"landings01_table16pub.pdf","Eureka","","Rockfish, canary","9,750","$7,605",
2001,"landings01_table16pub.pdf","Eureka","","Rockfish, vermilion","3,936","$7,252",
2001,"landings01_table16pub.pdf","Eureka","","Anchovy, northern","5,075","$6,344",
2001,"landings01_table16pub.pdf","Eureka","","Herring, Roe","20,892","$6,111",
