"year","filename","species","type","January","Feburary","March","April","May","June","July","August","September","October","November","December","Total"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","landings","605,486","1,287,332","2,020,721","1,893,743","12,635,290","28,813,025","27,038,311","29,723,773","22,484,426","14,644,167","2,526,418","3,025,354","146,698,046"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","428,818","767,979","1,159,259","1,012,103","2,620,968","3,690,903","3,711,153","4,244,668","3,242,635","2,391,770","964,712","1,775,451","26,010,419"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Anchovy, northern","landings","","","1","","","","","2","1","","","","4"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","","","0","","","","","0","0","","","","0"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Barracudinas","landings","","","","","","","","2","","","","","2"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","","","","","","","","0","","","","","0"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Cabezon","landings","","","","22","29","","47","","","","","","98"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","","","","88","90","","194","","","","","","372"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Cod, Pacific","landings","19","62","227","4,311","14,720","15,893","28,189","25,514","2,013","1,663","","1,391","94,002"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","11","34","130","2,482","8,396","8,997","16,555","14,177","1,110","982","","810","53,684"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Flounder, arrowtooth","landings","70,041","121,169","202,206","196,727","83,735","75,903","54,459","44,844","73,886","155,397","73,081","117,404","1,268,852"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","6,931","11,983","20,046","19,557","8,224","7,188","5,229","4,143","7,057","15,181","7,047","11,319","123,905"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Flounder, starry","landings","","228","","9,444","4,084","365","25","18","102","9","","","14,275"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","","91","","3,638","1,611","131","8","5","34","3","","","5,521"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","Greenling sp.","landings","","","","2","7","","5","20","","31","4","","69"
"2017","ASTOIRA 2017 POUNDS AND VALUES.pdf","","value","","","","8","21","","2","4","","0","0","","35"
