year,filename,port_complex,area,category,species,check,January,February,March,April,May,June,July,August,September,October,November,December,Total
2002,landings02_table10.pdf,San Francisco,California Waters,,lifornia Waters,,,,,,,,,,,,,,
2002,landings02_table10.pdf,San Francisco,California Waters,Fishes,ishes,,,,,,,,,,,,,,
2002,landings02_table10.pdf,San Francisco,California Waters,Fishes,"Anchovy, northern",,0,0,0,"11,060","14,108","12,688",0,0,0,0,0,0,"37,856"
2002,landings02_table10.pdf,San Francisco,California Waters,Fishes,"Barracuda, California",,0,0,0,0,0,0,0,0,11,13,0,0,24
2002,landings02_table10.pdf,San Francisco,California Waters,Fishes,"Blackfish, Sacramento",,0,264,722,0,0,0,0,0,0,0,0,0,986
2002,landings02_table10.pdf,San Francisco,California Waters,Fishes,Butterfish (Pacific pompano),,0,0,36,0,0,198,0,0,14,0,0,0,248
2002,landings02_table10.pdf,San Francisco,California Waters,Fishes,Cabezon,,52,585,31,0,45,155,0,0,0,550,0,0,"1,418"
2002,landings02_table10.pdf,San Francisco,California Waters,Fishes,Carp,,"8,701","2,229","3,703",0,0,0,0,0,0,0,"1,393","1,184","17,210"
2002,landings02_table10.pdf,San Francisco,California Waters,Fishes,"Croaker, white",,"11,432","3,380","6,835","7,201","6,030","3,164","4,553","6,935","3,279","2,184",900,"1,118","57,011"
2002,landings02_table10.pdf,San Francisco,California Waters,Fishes,"Eel, California moray",,0,0,0,0,0,0,0,4,0,0,0,0,4
2002,landings02_table10.pdf,San Francisco,California Waters,Fishes,"Eel, monkeyface",,14,0,0,12,0,0,0,0,5,0,32,0,62
2002,landings02_table10.pdf,San Francisco,California Waters,Fishes,Eel,,0,0,11,0,0,0,0,0,0,0,0,0,11
2002,landings02_table10.pdf,San Francisco,California Waters,Fishes,"Fish, unspecified",,0,0,0,0,25,0,1,0,0,0,0,0,26
2002,landings02_table10.pdf,San Francisco,California Waters,Fishes,"Flounder, arrowtooth",,0,327,0,0,0,286,0,0,0,0,0,0,613
2002,landings02_table10.pdf,San Francisco,California Waters,Fishes,"Flounder, starry",,"9,168","12,602","7,179","2,395","1,939","2,143",0,3,132,"1,201","3,177",824,"40,763"
