"year","filename","port_complex","area","category","species","check","January","February","March","April","May","June","July","August","September","October","November","December","Total","Extra"
2015,"Table 10.pdf","San Francisco","California Waters",,"lifornia Waters","check","","","","","","","","","","","","",,""
2015,"Table 10.pdf","San Francisco","California Waters",,"ishes","check","","","","","","","","","","","","",,""
2015,"Table 10.pdf","San Francisco","California Waters",,"Barracuda, California","check","0","0","0","0","0","0","0","0","8","57","0","0",,"65"
2015,"Table 10.pdf","San Francisco","California Waters",,"Bonito, Pacific","check","0","0","0","0","0","0","0","0","10","122","128","0",,"260"
2015,"Table 10.pdf","San Francisco","California Waters",,"Bullhead, brown","check","23","35","32","4","16","0","0","0","0","0","0","0",,"110"
2015,"Table 10.pdf","San Francisco","California Waters",,"Cabezon","check","87","125","0","0","11","114","140","77","47","98","99","25",,"822"
2015,"Table 10.pdf","San Francisco","California Waters",,"Croaker, white","check","47","52","0","0","0","1","35","185","0","2","0","27",,"349"
2015,"Table 10.pdf","San Francisco","California Waters",,"Dolphin (fish)","check","22","0","200","0","0","0","0","0","0","0","0","0",,"222"
2015,"Table 10.pdf","San Francisco","California Waters",,"Eel, California moray","check","0","0","0","0","0","0","0","0","0","0","0","43",,"43"
2015,"Table 10.pdf","San Francisco","California Waters",,"Eel, monkeyface (prickleback)","check","0","25","110","9","97","0","16","0","9","22","74","114",,"476"
2015,"Table 10.pdf","San Francisco","California Waters",,"Eel","check","0","0","0","0","0","0","0","0","0","0","0","8",,"8"
2015,"Table 10.pdf","San Francisco","California Waters",,"Fish, unspecified","check","0","0","76","0","0","0","0","0","0","0","0","0",,"76"
2015,"Table 10.pdf","San Francisco","California Waters",,"Flounder, arrowtooth","check","0","0","0","0","0","0","2","334","0","0","0","0",,"336"
2015,"Table 10.pdf","San Francisco","California Waters",,"Flounder, starry","check","1,047","1,200","413","196","203","586","2,731","2,520","640","970","990","669",,"12,163"
2015,"Table 10.pdf","San Francisco","California Waters",,"Flounder, unspecified","check","35","0","0","0","0","0","0","0","0","0","0","0",,"35"
2015,"Table 10.pdf","San Francisco","California Waters",,"Greenling, kelp","check","156","314","0","0","112","121","174","187","308","267","180","122",,"1,941"
2015,"Table 10.pdf","San Francisco","California Waters",,"Greenling, rock","check","108","22","0","0","17","0","0","0","0","0","0","0",,"147"
2015,"Table 10.pdf","San Francisco","California Waters",,"Hagfishes","check","0","0","0","0","0","0","0","0","0","0","1,044","0",,"1,044"
2015,"Table 10.pdf","San Francisco","California Waters",,"Halibut, California","check","3,655","11,058","7,894","3,400","16,968","48,778","65,282","59,445","14,437","14,045","7,750","2,484",,"255,194"
2015,"Table 10.pdf","San Francisco","California Waters",,"Herring, Pacific - roe","check","91,445","0","0","0","0","0","0","0","0","0","0","0",,"91,445"
2015,"Table 10.pdf","San Francisco","California Waters",,"Kelpfishes","check","0","0","0","0","0","0","0","0","0","0","0","20",,"20"
2015,"Table 10.pdf","San Francisco","California Waters",,"Lingcod","check","19","0","0","6","2,766","3,244","7,178","6,249","5,212","3,800","2,541","340",,"31,356"
2015,"Table 10.pdf","San Francisco","California Waters",,"Mackerel, Pacific","check","0","0","0","0","0","282","0","53,554","292","3,033","1,176","0",,"58,337"
2015,"Table 10.pdf","San Francisco","California Waters",,"Mackerel, jack","check","0","0","0","0","0","1,586","12","29,869","1,232","2","0","0",,"32,701"
2015,"Table 10.pdf","San Francisco","California Waters",,"Mackerel, unspecified","check","0","0","0","0","0","605","6","7","5","287","22","0",,"932"
2015,"Table 10.pdf","San Francisco","California Waters",,"Midshipman, plainfin","check","0","0","6","58","75","8","124","19","0","0","0","0",,"290"
2015,"Table 10.pdf","San Francisco","California Waters",,"Mudsucker, longjaw","check","43","4","0","0","0","0","0","0","0","0","15","75",,"137"
2015,"Table 10.pdf","San Francisco","California Waters",,"Oilfish","check","490","367","294","0","0","0","0","0","0","0","0","0",,"1,151"
2015,"Table 10.pdf","San Francisco","California Waters",,"Opah","check","70","0","1,023","0","0","0","0","0","0","0","0","0",,"1,093"
2015,"Table 10.pdf","San Francisco","California Waters",,"Pomfret, Pacific","check","11","0","0","0","0","0","0","0","0","0","0","0",,"11"
2015,"Table 10.pdf","San Francisco","California Waters",,"Rockfish, China","check","4","0","0","0","6","14","0","4","0","13","89","40",,"170"
2015,"Table 10.pdf","San Francisco","California Waters",,"Rockfish, aurora","check","0","0","0","0","0","0","0","4","2","0","1","0",,"7"
2015,"Table 10.pdf","San Francisco","California Waters",,"Rockfish, black-and-yellow","check","0","0","0","0","5","2","5","15","12","30","0","0",,"69"
2015,"Table 10.pdf","San Francisco","California Waters",,"Rockfish, black","check","74","83","0","0","210","269","301","291","273","187","99","39",,"1,827"
2015,"Table 10.pdf","San Francisco","California Waters",,"Rockfish, blackgill","check","0","0","0","67","719","1,522","752","14","41","86","6","0",,"3,207"
2015,"Table 10.pdf","San Francisco","California Waters",,"Rockfish, blue","check","364","215","0","0","156","151","352","556","746","585","428","282",,"3,835"
2015,"Table 10.pdf","San Francisco","California Waters",,"Rockfish, bocaccio","check","0","0","0","600","710","324","1,519","253","30","0","0","0",,"3,436"
2015,"Table 10.pdf","San Francisco","California Waters",,"Rockfish, brown","check","670","1,013","0","2","1,421","849","1,551","1,858","1,736","1,289","734","266",,"11,389"
2015,"Table 10.pdf","San Francisco","California Waters","Fishes","Fishes",,"","","","","","","","","","","",,"",
2015,"Table 10.pdf","San Francisco","California Waters","Fishes","Rockfish, canary",,"0","0","0","30","28","66","1,498","39","15","0","0","0","1,676",
2015,"Table 10.pdf","San Francisco","California Waters","Fishes","Rockfish, chilipepper",,"0","0","0","3,830","3,921","10,132","11,274","894","1,272","0","0","0","31,323",
2015,"Table 10.pdf","San Francisco","California Waters","Fishes","Rockfish, copper",,"34","12","0","0","48","45","48","29","74","27","31","35","383",
2015,"Table 10.pdf","San Francisco","California Waters","Fishes","Rockfish, cowcod",,"0","0","0","4","6","5","6","3","2","0","0","0","26",
2015,"Table 10.pdf","San Francisco","California Waters","Fishes","Rockfish, gopher",,"173","347","0","0","314","284","325","398","229","263","151","90","2,574",
2015,"Table 10.pdf","San Francisco","California Waters","Fishes","Rockfish, grass",,"0","0","0","0","0","10","7","56","103","0","0","26","202",
2015,"Table 10.pdf","San Francisco","California Waters","Fishes","Rockfish, greenspotted",,"0","0","0","0","0","0","0","0","27","0","0","0","27",
2015,"Table 10.pdf","San Francisco","California Waters","Fishes","Rockfish, greenstriped",,"0","0","0","0","57","7","23","50","4","0","0","0","141",
2015,"Table 10.pdf","San Francisco","California Waters","Fishes","Rockfish, group bolina",,"0","0","0","0","0","86","216","0","0","0","28","0","330",
2015,"Table 10.pdf","San Francisco","California Waters","Fishes","Rockfish, group red",,"0","0","0","0","32","0","0","0","0","25","0","0","57",
2015,"Table 10.pdf","San Francisco","California Waters","Fishes","Rockfish, group shelf",,"0","0","0","0","7","0","0","3","0","0","0","0","10",
2015,"Table 10.pdf","San Francisco","California Waters","Fishes","Rockfish, group slope",,"0","0","0","0","0","80","0","0","0","0","0","0","80",
2015,"Table 10.pdf","San Francisco","California Waters","Fishes","Rockfish, group small",,"0","0","0","0","0","0","1","0","0","0","0","0","1",
2015,"Table 10.pdf","San Francisco","California Waters","Fishes","Rockfish, kelp",,"2","5","0","0","0","0","2","2","4","20","0","0","35",
2015,"Table 10.pdf","San Francisco","California Waters","Fishes","Rockfish, olive",,"32","25","0","0","22","109","145","123","211","61","40","37","804",
2015,"Table 10.pdf","San Francisco","California Waters","Fishes","Rockfish, quillback",,"0","0","0","0","0","0","0","0","36","1","0","0","37",
2015,"Table 10.pdf","San Francisco","California Waters","Fishes","Rockfish, redbanded",,"0","0","0","0","0","3","12","0","0","0","0","0","15",
2015,"Table 10.pdf","San Francisco","California Waters","Fishes","Rockfish, rosy",,"0","0","0","0","11","3","1","0","10","2","6","0","31",
2015,"Table 10.pdf","San Francisco","California Waters","Fishes","Rockfish, starry",,"0","0","0","0","4","0","0","0","2","21","0","0","27",
2015,"Table 10.pdf","San Francisco","California Waters","Fishes","Rockfish, treefish",,"0","0","0","0","3","0","0","0","0","0","2","0","4",
2015,"Table 10.pdf","San Francisco","California Waters","Fishes","Rockfish, unspecified",,"0","0","0","0","332","0","0","0","0","155","0","0","487",
2015,"Table 10.pdf","San Francisco","California Waters","Fishes","Rockfish, vermilion",,"140","115","0","2","156","240","374","361","528","236","244","10","2,407",
2015,"Table 10.pdf","San Francisco","California Waters","Fishes","Rockfish, widow",,"0","0","0","2","0","0","0","0","0","0","0","0","2",
2015,"Table 10.pdf","San Francisco","California Waters","Fishes","Rockfish, yellowtail",,"21","8","0","2","53","150","90","60","498","261","362","59","1,564",
2015,"Table 10.pdf","San Francisco","California Waters","Fishes","Sablefish",,"1,115","5,356","5,781","6,360","46,501","64,585","44,585","18,846","5,469","27,481","9,727","0","235,805",
2015,"Table 10.pdf","San Francisco","California Waters","Fishes","Salmon, Chinook",,"0","0","0","0","27,450","16,569","17,489","67,227","82,580","30,514","0","0","241,829",
2015,"Table 10.pdf","San Francisco","California Waters","Fishes","Salmon, Roe (Chinook, Coho)",,"0","0","0","0","4","0","27","260","465","195","0","0","950",
2015,"Table 10.pdf","San Francisco","California Waters","Fishes","Sanddab",,"0","0","0","7,789","10,428","14,825","8,553","5,647","360","0","0","0","47,602",
2015,"Table 10.pdf","San Francisco","California Waters","Fishes","Sardine, Pacific",,"0","0","0","0","0","1,257","0","0","0","0","200","0","1,457",
2015,"Table 10.pdf","San Francisco","California Waters","Fishes","Sculpin, staghorn",,"4","0","0","15","21","0","0","49","31","14","28","3","165",
2015,"Table 10.pdf","San Francisco","California Waters","Fishes","Seabass, white",,"0","0","0","0","159","841","1,619","2,624","1,924","1,404","101","100","8,772",
2015,"Table 10.pdf","San Francisco","California Waters","Fishes","Seaperch, striped",,"1,798","1,107","685","0","0","0","0","0","0","0","0","0","3,590",
2015,"Table 10.pdf","San Francisco","California Waters","Fishes","Shad, American",,"0","0","0","0","0","10","4","8","0","0","0","0","22",
2015,"Table 10.pdf","San Francisco","California Waters","Fishes","Shark, brown smoothhound",,"76","270","0","0","50","0","0","0","0","12","6","0","414",
2015,"Table 10.pdf","San Francisco","California Waters","Fishes","Shark, leopard",,"121","176","0","0","0","293","1,037","643","1,003","105","15","216","3,609",
2015,"Table 10.pdf","San Francisco","California Waters","Fishes","Shark, soupfin",,"0","0","32","63","0","78","139","26","62","0","0","28","428",
2015,"Table 10.pdf","San Francisco","California Waters","Fishes","lifornia Waters","check","","","","","","","","","","",,,,""
2015,"Table 10.pdf","San Francisco","California Waters","Fishes","ishes","check","","","","","","","","","","",,,,""
2015,"Table 10.pdf","San Francisco","California Waters","Fishes","Shark, spiny dogfish","check","0","0","0","196","39","0","0","0","0","0","0","0",,"235"
2015,"Table 10.pdf","San Francisco","California Waters","Fishes","Shark, thresher","check","0","0","0","0","0","0","15","24","0","0","0","0",,"39"
2015,"Table 10.pdf","San Francisco","California Waters","Fishes","Shark, unspecified","check","655","480","0","0","13","20","0","0","12","86","158","118",,"1,542"
2015,"Table 10.pdf","San Francisco","California Waters","Fishes","Skate, big","check","0","0","0","638","446","324","81","213","0","0","0","0",,"1,702"
2015,"Table 10.pdf","San Francisco","California Waters","Fishes","Skate, longnose","check","0","0","0","464","1,604","718","423","275","72","0","0","0",,"3,556"
2015,"Table 10.pdf","San Francisco","California Waters","Fishes","Skate, unspecified","check","0","0","0","0","616","638","32","103","221","0","0","0",,"1,610"
2015,"Table 10.pdf","San Francisco","California Waters","Fishes","Smelt, surf","check","0","0","0","0","0","198","0","0","0","0","0","0",,"198"
2015,"Table 10.pdf","San Francisco","California Waters","Fishes","Sole, Dover","check","0","0","0","0","154","70","5","14","2","0","1","0",,"245"
2015,"Table 10.pdf","San Francisco","California Waters","Fishes","Sole, English","check","13","1","0","1,071","1,366","1,821","839","1,528","198","0","0","55",,"6,892"
2015,"Table 10.pdf","San Francisco","California Waters","Fishes","Sole, petrale","check","0","0","0","14,949","27,624","23,973","8,868","14,898","903","1,363","417","61",,"93,056"
2015,"Table 10.pdf","San Francisco","California Waters","Fishes","Sole, rock","check","0","55","0","130","0","0","38","55","0","0","3","0",,"280"
2015,"Table 10.pdf","San Francisco","California Waters","Fishes","Sole, sand","check","420","793","413","48","1,002","1,199","1,890","1,487","592","286","87","138",,"8,354"
