"row_id","species","metric","year","table","category","Eureka","Fort.Bragg","Bodega.Bay","San.Francisco","Monterey","Morro.Bay","Santa.Barbara","Los.Angeles","San.Diego"
1,"Anchovy, northern","Landings",1987,"Table 5a","Fish:","","","","935,573","1,491,055","5,225","379,108","252,691","32"
2,"Anchovy, northern","Value",1987,"Table 5a","Fish:","","","","$105,435","$64,486","$627","$45,485","$21,661","$11"
3,"Barracuda, California","Landings",1987,"Table 5a","Fish:","","","28","","","538","14,140","96,867","1,678"
4,"Barracuda, California","Value",1987,"Table 5a","Fish:","","","$21","","","$313","$13,160","$89,717","$1,401"
5,"Bass, barred sand","Landings",1987,"Table 5a","Fish:","","","","","","404","3","","20"
6,"Bass, barred sand","Value",1987,"Table 5a","Fish:","","","","","","$141","$1","","$20"
7,"Bass, giant sea","Landings",1987,"Table 5a","Fish:","","","","","78","672","5,136","3,215","2,922"
8,"Bass, giant sea","Value",1987,"Table 5a","Fish:","","","","","$153","$1,046","$6,266","$3,656","$4,504"
9,"Bass, kelp","Landings",1987,"Table 5a","Fish:","","","","","23","","","",""
10,"Bass, kelp","Value",1987,"Table 5a","Fish:","","","","","$18","","","",""
11,"Bass, rock","Landings",1987,"Table 5a","Fish:","","","","","","","18","",""
12,"Bass, rock","Value",1987,"Table 5a","Fish:","","","","","","","$13","",""
13,"Blacksmith","Landings",1987,"Table 5a","Fish:","","","","","","","","6,130",""
14,"Blacksmith","Value",1987,"Table 5a","Fish:","","","","","","","","$307",""
15,"Bonito, Pacific","Landings",1987,"Table 5a","Fish:","21,259","","","52","18,756","655,073","1,301,691","9,328,318","25,683"
16,"Bonito, Pacific","Value",1987,"Table 5a","Fish:","$7,864","","","$11","$4,532","$150,048","$232,575","$1,197,730","$7,970"
17,"Butterfish (Pacific pompano)","Landings",1987,"Table 5a","Fish:","","","","2,199","9,898","860","4,306","1,135","11"
18,"Butterfish (Pacific pompano)","Value",1987,"Table 5a","Fish:","","","","$1,832","$9,154","$216","$2,753","$1,117","$6"
19,"Cabezon","Landings",1987,"Table 5a","Fish:","732","","473","4,183","1,275","1,533","422","185","30"
20,"Cabezon","Value",1987,"Table 5a","Fish:","$333","","$161","$1,076","$413","$449","$247","$64","$24"
21,"Cod, Pacific","Landings",1987,"Table 5a","Fish:","123,160","19,817","75","1,443","270","13","","105","55"
22,"Cod, Pacific","Value",1987,"Table 5a","Fish:","$40,239","$4,977","$25","$474","$75","$7","","$105","$41"
23,"Corbina, California","Landings",1987,"Table 5a","Fish:","","","","","","","","","43"
24,"Corbina, California","Value",1987,"Table 5a","Fish:","","","","","","","","","$65"
25,"Croaker, unspecified","Landings",1987,"Table 5a","Fish:","","","","80","","","","",""
26,"Croaker, unspecified","Value",1987,"Table 5a","Fish:","","","","$32","","","","",""
27,"Croaker, white","Landings",1987,"Table 5a","Fish:","","","2,939","228,603","301,620","33,684","160,116","183,217","2,774"
28,"Croaker, white","Value",1987,"Table 5a","Fish:","","","$989","$79,531","$90,801","$19,801","$73,222","$73,945","$1,764"
29,"Dolphin (fish)","Landings",1987,"Table 5a","Fish:","","","","","","","","","714"
30,"Dolphin (fish)","Value",1987,"Table 5a","Fish:","","","","","","","","","$357"
31,"Eel","Landings",1987,"Table 5a","Fish:","5","","","2","221","","","",""
32,"Eel","Value",1987,"Table 5a","Fish:","$4","","","$1","$25","","","",""
33,"Eel, California moray","Landings",1987,"Table 5a","Fish:","","","","","","","","5",""
34,"Eel, California moray","Value",1987,"Table 5a","Fish:","","","","","","","","$3",""
36,"Eel, wolf (wolf-eel)","Landings",1987,"Table 5a","Fish:","6,396","20","","82","53","106","","",""
37,"Eel, wolf (wolf-eel)","Value",1987,"Table 5a","Fish:","$2,567","$9","","$48","$15","$46","","",""
38,"Eulachon","Landings",1987,"Table 5a","Fish:","","","","","","","","3,046",""
39,"Eulachon","Value",1987,"Table 5a","Fish:","","","","","","","","$361",""
40,"Fish, unspecified","Landings",1987,"Table 5a","Fish:","5,947","279","160","1,771","128,330","88","4,912","1,337","427"
41,"Fish, unspecified","Value",1987,"Table 5a","Fish:","$2,287","$80","$98","$473","$3,067","$80","$3,337","$636","$264"
42,"Flounder, arrowtooth","Landings",1987,"Table 5a","Fish:","99,446","186","","550","","","","",""
43,"Flounder, arrowtooth","Value",1987,"Table 5a","Fish:","$14,318","$27","","$204","","","","",""
44,"Flounder, starry","Landings",1987,"Table 5a","Fish:","93,101","5","2,277","84,113","23,588","7,085","139","","665"
45,"Flounder, starry","Value",1987,"Table 5a","Fish:","$41,411","$2","$996","$36,169","$12,607","$3,218","$74","","$266"
46,"Flounder, unspecified","Landings",1987,"Table 5a","Fish:","9,353","16","12,306","9,265","21,993","17,650","202","78","12"
47,"Flounder, unspecified","Value",1987,"Table 5a","Fish:","$4,392","$6","$5,197","$3,602","$12,082","$8,160","$125","$63","$16"
48,"Flyingfish","Landings",1987,"Table 5a","Fish:","","","","","","","","179,528",""
49,"Flyingfish","Value",1987,"Table 5a","Fish:","","","","","","","","$74,548",""
50,"Garibaldi","Landings",1987,"Table 5a","Fish:","","","","","","","","95",""
51,"Garibaldi","Value",1987,"Table 5a","Fish:","","","","","","","","$2,012",""
52,"Goby, bluebanded","Landings",1987,"Table 5a","Fish:","","","","","","","","18",""
53,"Goby, bluebanded","Value",1987,"Table 5a","Fish:","","","","","","","","$5",""
54,"Greenling, kelp","Landings",1987,"Table 5a","Fish:","","","","1,315","245","18","","",""
55,"Greenling, kelp","Value",1987,"Table 5a","Fish:","","","","$304","$80","$8","","",""
56,"Grenadiers","Landings",1987,"Table 5a","Fish:","105,770","13,004","","8,330","","","","",""
57,"Grenadiers","Value",1987,"Table 5a","Fish:","$16,903","$1,964","","$288","","","","",""
58,"Grouper","Landings",1987,"Table 5a","Fish:","","","","17","","","","95","106"
59,"Grouper","Value",1987,"Table 5a","Fish:","","","","$12","","","","$76","$69"
60,"Guitarfish, shovelnose","Landings",1987,"Table 5a","Fish:","","","","11","153","2,914","38,849","12,770","339"
61,"Guitarfish, shovelnose","Value",1987,"Table 5a","Fish:","","","","$5","$113","$1,816","$14,723","$5,175","$133"
62,"Halfmoon","Landings",1987,"Table 5a","Fish:","","","","","","","","915","1,950"
63,"Halfmoon","Value",1987,"Table 5a","Fish:","","","","","","","","$641","$1,172"
64,"Halibut, California","Landings",1987,"Table 5a","Fish:","1,219","119","6,704","91,043","94,318","227,151","380,424","308,112","79,506"
65,"Halibut, California","Value",1987,"Table 5a","Fish:","$2,237","$235","$15,610","$205,733","$208,178","$480,576","$798,614","$672,703","$168,492"
66,"Halibut, Pacific","Landings",1987,"Table 5a","Fish:","","61,576","","480","","","","",""
67,"Halibut, Pacific","Value",1987,"Table 5a","Fish:","","$121,957","","$1,367","","","","",""
68,"Halibut, unspecified","Landings",1987,"Table 5a","Fish:","242","","","102","","24","28","",""
69,"Halibut, unspecified","Value",1987,"Table 5a","Fish:","$484","","","$291","","$49","$62","",""
70,"Herring roe on kelp","Landings",1987,"Table 5a","Fish:","","","","43,359","","","","",""
71,"Herring roe on kelp","Value",1987,"Table 5a","Fish:","","","","$84,739","","","","",""
72,"Herring, Pacific","Landings",1987,"Table 5a","Fish:","143,202","","1,648,162","16,655,186","49,727","","12","66,860",""
73,"Herring, Pacific","Value",1987,"Table 5a","Fish:","$96,676","","$657,347","$4,868,238","$577","","$5","$5,049",""
75,"Jacksmelt","Landings",1987,"Table 5a","Fish:","","","","515","391","","","209",""
76,"Jacksmelt","Value",1987,"Table 5a","Fish:","","","","$180","$51","","","$94",""
77,"Lingcod","Landings",1987,"Table 5a","Fish:","440,351","489,619","109,376","405,289","322,082","68,445","13,464","7,732","2,169"
78,"Lingcod","Value",1987,"Table 5a","Fish:","$191,308","$168,198","$27,237","$157,073","$117,503","$31,487","$5,623","$3,917","$1,374"
79,"Lizardfish, California","Landings",1987,"Table 5a","Fish:","","","","","","","","4,770",""
80,"Lizardfish, California","Value",1987,"Table 5a","Fish:","","","","","","","","$1,974",""
81,"Louvar","Landings",1987,"Table 5a","Fish:","","","","285","1,987","2,489","1,180","1,752","3,980"
82,"Louvar","Value",1987,"Table 5a","Fish:","","","","$455","$2,512","$3,619","$1,393","$2,211","$7,622"
83,"Mackerel, bullet","Landings",1987,"Table 5a","Fish:","","","","","","","","7,000",""
84,"Mackerel, bullet","Value",1987,"Table 5a","Fish:","","","","","","","","$350",""
85,"Mackerel, jack","Landings",1987,"Table 5a","Fish:","","3","","1,097","462,329","","17,565","17,198,581","1,793"
86,"Mackerel, jack","Value",1987,"Table 5a","Fish:","","$0.2","","$76","$31,600","","$1,640","$713,066","$967"
87,"Mackerel, Pacific","Landings",1987,"Table 5a","Fish:","","","","59","708,621","","3,050,790","55,618,278","14,980"
88,"Mackerel, Pacific","Value",1987,"Table 5a","Fish:","","","","$49","$37,774","","$203,916","$2,660,833","$5,085"
89,"Mackerel, unspecified","Landings",1987,"Table 5a","Fish:","","38","425","13,391","1,400,549","1,836","9,923,843","32,267,553","6,461"
90,"Mackerel, unspecified","Value",1987,"Table 5a","Fish:","","$7","$135","$2,828","$72,755","$458","$589,735","$1,033,747","$2,604"
91,"Midshipman, plainfin","Landings",1987,"Table 5a","Fish:","","","","","","","","","37"
92,"Midshipman, plainfin","Value",1987,"Table 5a","Fish:","","","","","","","","","$18"
93,"Mudsucker, longjaw","Landings",1987,"Table 5a","Fish:","","","","564","","","","",""
94,"Mudsucker, longjaw","Value",1987,"Table 5a","Fish:","","","","$3,578","","","","",""
95,"Mullet, striped","Landings",1987,"Table 5a","Fish:","","","","","","","2","","17,132"
96,"Mullet, striped","Value",1987,"Table 5a","Fish:","","","","","","","$2","","$12,832"
97,"Opah","Landings",1987,"Table 5a","Fish:","","10","203","1,288","7,361","11,752","5,193","19,199","47,487"
98,"Opah","Value",1987,"Table 5a","Fish:","","$4","$33","$490","$2,633","$3,544","$2,309","$7,217","$23,588"
99,"Opaleye","Landings",1987,"Table 5a","Fish:","","","","","","14","17","4,122","446"
100,"Opaleye","Value",1987,"Table 5a","Fish:","","","","","","$12","$4","$3,292","$284"
101,"Prickleback, monkeyface","Landings",1987,"Table 5a","Fish:","28","","","","","","","",""
102,"Prickleback, monkeyface","Value",1987,"Table 5a","Fish:","$14","","","","","","","",""
103,"Queenfish","Landings",1987,"Table 5a","Fish:","","","","","9","","","137","11"
104,"Queenfish","Value",1987,"Table 5a","Fish:","","","","","$4","","","$25","$6"
105,"Ray, bat","Landings",1987,"Table 5a","Fish:","","","","","","130","","1",""
106,"Ray, bat","Value",1987,"Table 5a","Fish:","","","","","","$39","","$0.2",""
107,"Ray, Pacific electric","Landings",1987,"Table 5a","Fish:","","","","","","","","4",""
108,"Ray, Pacific electric","Value",1987,"Table 5a","Fish:","","","","","","","","$2",""
109,"Ray, unspecified","Landings",1987,"Table 5a","Fish:","","","","","","","94","579",""
110,"Ray, unspecified","Value",1987,"Table 5a","Fish:","","","","","","","$52","$6,527",""
111,"Sablefish","Landings",1987,"Table 5a","Fish:","3,058,569","2,301,254","454,630","2,006,719","876,453","780,004","31,067","29,200","47,699"
112,"Sablefish","Value",1987,"Table 5a","Fish:","$1,084,729","$994,582","$133,241","$607,237","$240,051","$147,023","$10,016","$22,576","$15,562"
114,"Salmon","Landings",1987,"Table 5a","Fish:","49","14,706","105,937","7,203","3,454","19,924","2,136","174","69"
