Fish:,Eureka,Fort Bragg,Bodega Bay,San Francisco,Monterey,Morro Bay,Santa Barbara,Los Angeles,San Diego
"Anchovy, northern",,,,"935,573","1,491,055","5,225","379,108","252,691",32
"",,,,"$105,435","$64,486",$627,"$45,485","$21,661",$11
"Barracuda, California",,,28,,,538,"14,140","96,867","1,678"
"",,,$21,,,$313,"$13,160","$89,717","$1,401"
"Bass, barred sand",,,,,,404,3,,20
"",,,,,,$141,$1,,$20
"Bass, giant sea",,,,,78,672,"5,136","3,215","2,922"
"",,,,,$153,"$1,046","$6,266","$3,656","$4,504"
"Bass, kelp",,,,,23,,,,
"",,,,,$18,,,,
"Bass, rock",,,,,,,18,,
"",,,,,,,$13,,
Blacksmith,,,,,,,,"6,130",
"",,,,,,,,$307,
"Bonito, Pacific","21,259",,,52,"18,756","655,073","1,301,691","9,328,318","25,683"
"","$7,864",,,$11,"$4,532","$150,048","$232,575","$1,197,730","$7,970"
Butterfish (Pacific pompano),,,,"2,199","9,898",860,"4,306","1,135",11
"",,,,"$1,832","$9,154",$216,"$2,753","$1,117",$6
Cabezon,732,,473,"4,183","1,275","1,533",422,185,30
"",$333,,$161,"$1,076",$413,$449,$247,$64,$24
"Cod, Pacific","123,160","19,817",75,"1,443",270,13,,105,55
"","$40,239","$4,977",$25,$474,$75,$7,,$105,$41
"Corbina, California",,,,,,,,,43
"",,,,,,,,,$65
"Croaker, unspecified",,,,80,,,,,
"",,,,$32,,,,,
"Croaker, white",,,"2,939","228,603","301,620","33,684","160,116","183,217","2,774"
"",,,$989,"$79,531","$90,801","$19,801","$73,222","$73,945","$1,764"
Dolphin (fish),,,,,,,,,714
"",,,,,,,,,$357
Eel,5,,,2,221,,,,
"",$4,,,$1,$25,,,,
"Eel, California moray",,,,,,,,5,
"",,,,,,,,$3,
Table 5a (continued) Fish:,Eureka,Fort Bragg,Bodega Bay,San Francisco,Monterey,Morro Bay,Santa Barbara,Los Angeles,San Diego
"Eel, wolf (wolf-eel)","6,396",20,,82,53,106,,,
"","$2,567",$9,,$48,$15,$46,,,
Eulachon,,,,,,,,"3,046",
"",,,,,,,,$361,
"Fish, unspecified","5,947",279,160,"1,771","128,330",88,"4,912","1,337",427
"","$2,287",$80,$98,$473,"$3,067",$80,"$3,337",$636,$264
"Flounder, arrowtooth","99,446",186,,550,,,,,
"","$14,318",$27,,$204,,,,,
