Fish:,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
"Anchovy, deepbody",,,,,,,,,,50,100,650,
"",,,,,,,,,,$25,$50,$7,
"Anchovy, northern","3,063,684","3,258,054","5,399,826","7,073,116","8,848,805","2,477,803","4,317,635","3,943,602","4,157,914","9,746,774","12,606,229","3,212,545","11,417,540"
"","$237,705","$324,260","$389,062","$588,600","$1,315,710","$414,480","$406,995","$456,015","$282,323","$618,641","$536,176","$172,616","$1,000,813"
"Barracuda, California","113,250","138,053","133,323","169,923","341,641","81,210","109,812","300,832","302,790","369,134","145,377","131,131","202,726"
"","$104,613","$113,025","$94,716","$97,810","$144,096","$59,107","$76,297","$136,125","$139,244","$147,510","$82,270","$76,570","$124,178"
"Bass, barred sand",427,,15,3,,,,,,,,,
"",$162,,$14,$3,,,,,,,,,
"Bass, giant sea","12,023","12,326","8,758","7,269","11,734","8,673","4,709",899,"1,194","1,823","2,320","6,238","5,018"
"","$15,624","$16,830","$13,191","$10,887","$16,017","$13,239","$7,542","$1,302","$2,087","$2,749","$4,117","$10,415","$8,816"
"Bass, kelp",23,0.2,61,10,,113,,,,,25,2,
"",$18,$0.3,$44,$5,,$135,,,,,$13,$1,
"Bass, rock",18,23,20,,20,,,,,,,,
"",$13,$11,$12,,$10,,,,,,,,
"Bass, spotted sand",,,,,25,,,,,,,,24
"",,,,,$12,,,,,,,,$42
Blacksmith,"6,130",,275,,164,315,46,,243,"1,207",793,348,256
"",$307,,$69,,$41,$92,$12,,$243,"$1,418",$215,$437,$372
"Bonito, Pacific","11,350,831","8,682,915","2,406,750","9,589,390","562,057","2,337,818","1,047,606","921,160","157,439","980,471","641,598","2,495,167","191,269"
"","$1,600,730","$1,273,234","$369,111","$1,938,067","$107,715","$443,697","$215,624","$190,130","$40,099","$199,831","$164,281","$661,539","$29,008"
Butterfish (Pacific pompano),"18,409","20,413","21,126","29,474","22,719","14,123","20,339","14,411","6,450","7,494","2,367","2,191","1,591"
"","$15,077","$15,361","$21,819","$16,320","$23,518","$12,168","$17,575","$20,711","$9,209","$11,833","$2,482","$1,530","$2,610"
Cabezon,"8,832","12,732","24,995","25,952","16,282","36,613","39,307","82,924","193,802","245,230","264,887","372,760","274,706"
"","$2,765","$5,596","$8,732","$9,404","$13,636","$54,114","$123,617","$274,370","$665,842","$842,609","$858,279","$1,231,924","$1,014,958"
"Cabrilla, spotted",,,,,,211,,100,635,,,16,3
"",,,,,,$109,,$50,$635,,,$18,$5
"Cod, Pacific","144,938","11,017",228,12,459,"1,843",294,28,4,10,38,47,49
"","$45,943","$3,193",$84,$3,$201,"$2,046",$553,$8,$1,$4,$52,$21,$22
"Corbina, California",43,13,,,,,,,,,,,
"",$65,$21,,,,,,,,,,,
"Corvina, shortfin",,,,,,,,,"1,047","1,245",462,"2,131",58
"",,,,,,,,,$819,$929,$365,"$2,126",$58
"Croaker, black",,,50,"2,660",525,"4,388",230,,,,33,29,
"",,,$25,"$1,824",$367,"$3,084",$173,,,,$31,$40,
Table 4a (continued) Fish:,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
"Croaker, unspecified",80,46,45,40,37,77,420,,,20,,374,593
"",$32,$20,$20,$12,$15,$62,$210,,,$10,,$206,$238
"Croaker, white","912,952","1,135,750","1,042,291","774,854","996,314","715,950","714,249","474,552","565,313","528,786","345,034","142,441","203,161"
"","$340,054","$433,314","$423,025","$338,014","$439,215","$347,930","$410,514","$282,683","$348,756","$315,536","$223,235","$101,559","$134,202"
"Croaker, yellowfin",,,,,,,,,55,,,,755
"",,,,,,,,,$28,,,,$378
Dolphin (fish),714,377,828,"1,510",713,"7,123","37,250","82,211","10,915","19,502","10,318","6,970","35,795"
"",$357,$510,$59,"$1,978","$1,155","$6,253","$43,346","$74,889","$5,443","$10,656","$10,129","$10,284","$47,825"
Eel,227,117,"1,742",570,"1,284","6,104","5,826","1,514",54,132,"1,171",215,6
"",$31,$77,$822,$273,"$3,272","$14,858","$12,561","$4,594",$132,$333,"$3,803",$595,$12
"Eel, California moray",5,,,"1,187","1,110","1,219",775,"5,598","7,516","4,891","4,819","4,726",581
"",$3,,,"$4,345","$3,329","$3,323","$2,457","$13,959","$26,801","$16,344","$13,326","$13,636","$3,941"
"Eel, spotted cusk-",,,,,,,,117,,128,45,1,
"",,,,,,,,$58,,$64,$22,$1,
"Eel, wolf (wolf-eel)","6,657","2,043","12,612","2,270","1,044","1,101","1,556","1,497",434,43,11,21,4
"","$2,685",$714,"$3,316",$905,$654,$652,$715,"$2,716",$283,$77,$9,$15,$2
Escolar,,,,,,,,"10,244","2,987","1,519",568,"5,372","3,816"
"",,,,,,,,"$11,113","$3,633","$1,633",$519,"$6,786","$4,454"
Eulachon,"3,046",,,20,,,25,,,,,,
"",$361,,,$20,,,$5,,,,,,
"Fish, unspecified","143,249","101,550","46,052","25,463","23,957","14,779","8,208","2,333","9,695","6,522","4,599","4,675","1,213"
"","$10,320","$14,051","$9,562","$16,158","$6,053","$8,462","$38,275","$1,983","$4,730","$2,897","$2,710","$4,131","$1,281"
"Flounder, arrowtooth","100,182","79,997","62,465","119,468","345,090","218,173","125,347","161,936","259,994","110,415","104,739","82,109","94,500"
"","$14,548","$12,446","$8,675","$12,759","$41,464","$23,874","$12,590","$20,996","$31,969","$11,844","$11,093","$9,849","$10,292"
"Flounder, starry","210,972","217,395","135,934","80,390","102,933","78,185","41,897","33,244","25,580","49,286","94,591","100,303","76,463"
"","$94,742","$102,284","$61,171","$35,197","$51,233","$39,671","$17,982","$17,041","$14,816","$21,316","$43,416","$44,234","$35,755"
