"year","filename","X","X.1","X.2","X.3","X.4","X.5","P..Hueneme","X.6","X.7","X.8","X.9","X.10","X.11","X.12"
2007,"landings07_cpfv2.pdf","S. Diego","Oceanside","",NA,"Seal Bch","Redondo","Oxnard/ Southern","",NA,"Monterey","Princeton","S.Fran","Fort Bragg","Northern"
2007,"landings07_cpfv2.pdf","TotalCommon Name Mission Bay ***","Dana Harbor","Newport Beach",NA,"Long Bch S. Pedro","Mr del Rey Malibu","Ventura S. Barbara Total","Avila Bch Morro Bay",NA,"Moss Land S. Cruz","Bodega Bay","S.F Bay- Delta","Eureka Cres City",""
2007,"landings07_cpfv2.pdf","Barracuda, California  42,729","23,357","26,197",NA,"61,835","8,860","6,231  169,209","0",NA,"0","0","1","0","1"
2007,"landings07_cpfv2.pdf","Bass, barred sand  38,848","36,217","25,124",NA,"60,762","24,159","2,235  187,345","0",NA,"15","4","7","2","28"
2007,"landings07_cpfv2.pdf","Bass, kelp (calico)  59,052","40,050","28,845",NA,"72,592","17,195","9,695  227,429","1",NA,"0","0","0","0","1"
2007,"landings07_cpfv2.pdf","Bass, striped  0","0","0",NA,"0","0","0  0","0",NA,"0","3","5,933","0","5,936"
2007,"landings07_cpfv2.pdf","Bonito, Pacific  16,956","6,002","12,329",NA,"20,886","3,650","164  59,987","0",NA,"0","0","0","0","0"
2007,"landings07_cpfv2.pdf","Cabezon  69","34","200",NA,"197","64","171  735","251",NA,"14","534","103","280","1,182"
2007,"landings07_cpfv2.pdf","Croaker, white  182","180","503",NA,"302","10","15  1,192","0",NA,"15","32","92","0","139"
2007,"landings07_cpfv2.pdf","Fishes, unspecified^  3,145","2,704","7,694",NA,"50,113","7,718","2,335  73,709","2",NA,"20","13","10","6","51"
2007,"landings07_cpfv2.pdf","Flatfishes, unspecified^  2","92","150",NA,"331","35","74  684","136",NA,"42","239","336","96","849"
2007,"landings07_cpfv2.pdf","Greenling, kelp  0","0","0",NA,"394","1","0  395","19",NA,"451","446","485","846","2,247"
2007,"landings07_cpfv2.pdf","Halibut, California  555","335","315",NA,"597","131","345  2,278","6",NA,"321","25","3,163","5","3,520"
2007,"landings07_cpfv2.pdf","Invertebrates, unspecified^^  15,607","11,082","35,724",NA,"12,051","1,393","20,999  96,856","43",NA,"923","12,587","3,514","14,295","31,362"
2007,"landings07_cpfv2.pdf","Lingcod  4,269","39","116",NA,"1,063","498","3,526  9,511","1,207",NA,"563","2,991","8,274","2,323","15,358"
2007,"landings07_cpfv2.pdf","Mackerel, jack  4","265","30",NA,"0","1","13  313","0",NA,"289","0","0","0","289"
2007,"landings07_cpfv2.pdf","Mackerel, Pacific  5,679","4,444","3,172",NA,"12,870","6,066","2,870  35,101","172",NA,"10,445","58","804","11","11,490"
2007,"landings07_cpfv2.pdf","Other highly migratory spp^^^  24,778","193","94",NA,"186","0","10  25,261","1",NA,"1","7","9","1","19"
2007,"landings07_cpfv2.pdf","Rockfish, blue  23","1","39",NA,"303","78","19,495  19,939","57,195",NA,"34,415","38,739","55,718","16,700","202,767"
2007,"landings07_cpfv2.pdf","Rockfish, canary  882","0","64",NA,"181","0","107  1,234","200",NA,"81","0","62","24","367"
2007,"landings07_cpfv2.pdf","Rockfish, copper  1,432","182","251",NA,"386","178","26,262  28,691","7,120",NA,"5,124","2,772","3,003","2,263","20,282"
2007,"landings07_cpfv2.pdf","Rockfish, gopher  1,402","26","139",NA,"40","26","3,175  4,808","13,766",NA,"3,827","10,811","1,253","1,353","31,010"
