species,all_2007,mexico_2007,all_2006,mexico_2006
"Barracuda, California","169,210","17,417","114,551","7,348"
"Bass, barred sand","187,373","19,067","277,371","18,049"
"Bass, giant (black) sea",2,0,3,2
"Bass, kelp (calico)","227,430","8,749","267,671","9,418"
"Bass, striped","5,944",0,"2,614",0
"Bonito, Pacific","59,987","12,157","205,242","28,191"
Cabezon,"1,917",22,"2,085",20
"Croaker, unspecified***",325,0,399,0
"Croaker, white","1,331",19,"2,168",2
Dolphinfish,"6,147","6,075","46,371","35,042"
"Fishes, unspecified***","11,143",376,"8,367","1,257"
"Flatfishes, unspecified***","1,534",2,"4,757",8
"Greenling, kelp","2,642",0,"2,361",0
Halfmoon,"59,968",20,"55,826",49
"Halibut, California","5,825",415,"5,943",41
"Invertebrates, unspecified****","128,586",601,"70,612",37
Lingcod,"24,869","3,530","35,786","1,756"
"Mackerel, jack",602,4,"3,241",7
"Mackerel, Pacific","46,591",153,"49,987",452
"Marlin, striped",94,1,15,13
"Rockfish, blue","222,706",8,"329,036",685
"Rockfish, gopher","35,818",363,"28,556",91
"Rockfishes, unspecified***","853,422","50,925","788,629","33,001"
"Salmon, king (chinook)","11,170",0,"32,362",10
"Salmon, unspecified***",15,0,12,0
Sanddab,"126,699",216,"98,853","1,055"
"Scorpionfish, California","204,330","4,965","203,689","5,028"
"Seabass, white","2,195",61,"6,723",248
"Shark, blue",19,0,25,7
"Shark, bonito (mako)",135,27,242,65
"Shark, leopard",396,0,987,0
"Shark, unspecified***",399,0,568,2
"Sheephead, California","30,323",511,"31,212",691
"Sturgeon, unspecified***",147,0,301,0
"Tuna, albacore","101,487","65,001","21,056","17,691"
"Tuna, bluefin","1,009",833,"7,396","6,047"
"Tuna, skipjack",442,375,"4,733","2,968"
"Tuna, yellowfin","17,588","16,505","47,327","41,920"
Wahoo,"2,307","2,290","3,722","3,698"
"Whitefish, ocean","83,227","7,169","62,862","6,796"
Yellowtail,"79,376","64,335","174,400","129,249"
Total Landings:,"2,714,730","282,192","2,998,061","350,944"
Number of Anglers:,"546,078","60,159","586,310","65,119"
Reporting CPFVs:,311,88,310,88
