"SPECIES","CA_JETTY_TOTAL_MORTALITY_NUM","CA_JETTY_TOTAL_MORTALITY_MT","CA_BEACH_TOTAL_MORTALITY_NUM","CA_BEACH_TOTAL_MORTALITY_MT","CA_CHARTER_TOTAL_MORTALITY_NUM","CA_CHARTER_TOTAL_MORTALITY_MT","CA_PRIVATE_TOTAL_MORTALITY_NUM","CA_PRIVATE_TOTAL_MORTALITY_MT","OR_CHARTER_TOTAL_MORTALITY_NUM","OR_CHARTER_TOTAL_MORTALITY_MT","OR_PRIVATE_TOTAL_MORTALITY_NUM","OR_PRIVATE_TOTAL_MORTALITY_MT","WA_CHARTER_TOTAL_MORTALITY_NUM","WA_CHARTER_TOTAL_MORTALITY_MT","WA_PRIVATE_TOTAL_MORTALITY_NUM","WA_PRIVATE_TOTAL_MORTALITY_MT"
"Albacore",,,,,,,,,2161,17.75927288426243801427715110893139338457,1418,11.65323875515230777614298948286196937495
"Arrowtooth Flounder",,,,,,,,,14,.02667,3,.005715
"Big Skate",,,,,,,,,2,.0112433333333333333333333333333333333333,3,.016865
"Black Rockfish",,,,,,,,,179241,198.874366314019244202836385756193226061,74233,85.72390619211668022656984011446331757368
"Blue Shark",,,,,,,,,24,.2326637837837837837837837837837837837835,53,.5137991891891891891891891891891891891889
"Bocaccio",,,,,,,,,309,.6038407526208494066711338086582250999714,38,.0888598507293022274613326567468830222889
"Brown Irish Lord",,,,,,,,,10,.005625,5,.0028125
"Brown Rockfish",,,,,,,,,13,.0162281308411214953271028037383177570093,5,.00624158878504672897196261682242990654205
"Buffalo Sculpin",,,,,,,,,23,.0157382382507903055848261327713382507903,19,.0142244230769230769230769230769230769231
"Butter Sole",,,,,,,,,2,.000888474418604651162790697674418604651163
"Cabezon",,,,,,,,,3918,8.57277554922613065711845646416239444679,2925,6.67151703479253374427390104014160620608
"California Halibut",,,,,,,,,,,5,.0134359788359788359788359788359788359789
"Canary Rockfish",,,,,,,,,7285,7.59031026524710685832042722790820865514,1627,1.52281716095767801786646281601471947484
"Chilipepper",,,,,,,,,19,.0157531111111111111111111111111111111111
"China Rockfish",,,,,,,,,1830,1.7448129702380221929669228651342470689,762,.7866831869075736571562707649578914322969
"Copper Rockfish",,,,,,,,,1819,2.48446462938858413070771636129167752843,555,.8123558882301768215078181846458295466221
"Darkblotched Rockfish",,,,,,,,,2,.00126
"Deacon/Blue Rockfish Unknown",,,,,,,,,20064,13.067993587287901169853384997140453775,4530,2.97420124872064878950663851396099565605
"English Sole",,,,,,,,,,,3,.00289227272727272727272727272727272727273
"Flatfish Order",,,,,,,,,7,,50
"Gopher Rockfish",,,,,,,,,1,.000877113402061855670103092783505154639175
"Grass Rockfish",,,,,,,,,2,.00283372881355932203389830508474576271186,8,.0113349152542372881355932203389830508474
"Greenstriped Rockfish",,,,,,,,,239,.1223205107072419700337787364807099562771,100,.0527922325955362882104990502846369433624
"Jack Mackerel",,,,,,,,,5,.0066209923664122137404580152671755725191,25,.0331049618320610687022900763358778625955
"Jacksmelt",,,,,,,,,,,2,.000366666666666666666666666666666666666667
"Kelp Greenling",,,,,,,,,3470,2.3039107813982791981619402794135938249,3221,2.14166953230402803680545376072147248659
"Lingcod",,,,,,,,,11829,42.92483959474129890032342184225573950901,9094,34.29335859969794797638837513319054508056
"Longnose Skate",,,,,,,,,,,1,.00550714285714285714285714285714285714286
"Ocean Sunfish",,,,,,,,,,,4,.0116
"Pacific (Chub) Mackerel",,,,,,,,,33,.0227393891167192429022082018927444794954,38,.022252571924290220820189274447949526814
"Pacific Bonito",,,,,,,,,,,2,.0032375
"Pacific Cod",,,,,,,,,5,.0174803571428571428571428571428571428572,6,.0209764285714285714285714285714285714285
"Pacific Hake",,,,,,,,,8,.00586659,29,.02597118
"Pacific Herring",,,,,,,,,4,.00042,2,.00021
"Pacific Ocean Perch",,,,,,,,,,,4,.00528
"Pacific Sanddab",,,,,,,,,23,.005419488188976377952755905511811023622043,669,.1575163224015748031496062992125984251969
"Pacific Sardine",,,,,,,,,,,79,.00768055555555555555555555555555555555556
"Pacific Tomcod",,,,,,,,,,,28,.0045388
"Petrale Sole",,,,,,,,,5,.0052838140335772707705553164012053379251,11,.0116243908738699956952216960826517434352
"Quillback Rockfish",,,,,,,,,2619,2.77972963827490894339014064834273710317,561,.58409742626944496302179375613969815699
"Red Irish Lord",,,,,,,,,87,.0754922777777777777777777777777777777778,70,.0660778666666666666666666666666666666668
"Redbanded Rockfish",,,,,,,,,13,.0213257777777777777777777777777777777777
"Redstripe Rockfish",,,,,,,,,63,.0267041186054363691559317321980174083675,2,.000873076923076923076923076923076923076923
"Redtail Surfperch",,,,,,,,,,,48,.0327157894736842105263157894736842105263
"Rock Greenling",,,,,,,,,4,.00355527272727272727272727272727272727272,9,.00799936363636363636363636363636363636364
"Rock Sole",,,,,,,,,4,.003607671232876712328767123287671232876708,2,.00180383561643835616438356164383561643836
"Rockfish Genus",,,,,,,,,39,,197
"Rosethorn Rockfish",,,,,,,,,306,.1025444295079539346210511983420650333716,26,.008892123538011695906432748538011695906433
"Rosy Rockfish",,,,,,,,,106,.046250107108766274070728915779315616117,29,.0122897531689221466769006605589994146794
"Sablefish",,,,,,,,,562,2.71854608827710944172459406668189810202,641,3.12541635437171396498824668873796387647
"Sand Sole",,,,,,,,,67,.0435086514285714285714285714285714285715,426,.2756990742857142857142857142857142857148
"Sculpin Family",,,,,,,,,3,,31
"Silver Surfperch",,,,,,,,,,,6,.0018
"Silvergray Rockfish",,,,,,,,,41,.0507185545023696682464454976303317535543,5,.00618518957345971563981042654028436018955
"Skate Family",,,,,,,,,0,,15
"Spiny Dogfish Shark",,,,,,,,,0,0,4,.016745792
"Spotted Ratfish",,,,,,,,,,,0,0
"Starry Flounder",,,,,,,,,9,.0136548,36,.0546192
"Striped Bass",,,,,,,,,,,20,.015
"Striped Seaperch",,,,,,,,,15,.0101643356643356643356643356643356643357,69,.0467559440559440559440559440559440559441
"Thresher Shark",,,,,,,,,,,0,0
"Tiger Rockfish",,,,,,,,,239,.2742530008604240305147769511892761837322,41,.0488450505258988231124454034670752937008
"Unidentified (Sharks)",,,,,,,,,0,,41
"Vermilion Rockfish",,,,,,,,,1125,2.12494326563019086750849541761201469291,578,1.0824010395861444113419959411893754267
"Widow Rockfish",,,,,,,,,1183,1.3309579690771040740333310013574861833,77,.0680686725051206366297238259664234751023
"Wolf-Eel",,,,,,,,,4,.0142981913043478260869565217391304347826,3,.010723643478260869565217391304347826087
"Yelloweye Rockfish",,,,,,,,,978,1.82023868532998658805668689444261437579,736,1.29386243375450978878257141996610770889
"Yellowmouth Rockfish",,,,,,,,,49,.0804416666666666666666666666666666666669,1,.00164166666666666666666666666666666666667
"Yellowtail Rockfish",,,,,,,,,20364,19.07166552268230273456846545588559478326,755,.5763679919434215096281354739186453141213
