"SPECIES","CA_JETTY_TOTAL_MORTALITY_NUM","CA_JETTY_TOTAL_MORTALITY_MT","CA_BEACH_TOTAL_MORTALITY_NUM","CA_BEACH_TOTAL_MORTALITY_MT","CA_CHARTER_TOTAL_MORTALITY_NUM","CA_CHARTER_TOTAL_MORTALITY_MT","CA_PRIVATE_TOTAL_MORTALITY_NUM","CA_PRIVATE_TOTAL_MORTALITY_MT","OR_CHARTER_TOTAL_MORTALITY_NUM","OR_CHARTER_TOTAL_MORTALITY_MT","OR_PRIVATE_TOTAL_MORTALITY_NUM","OR_PRIVATE_TOTAL_MORTALITY_MT","WA_CHARTER_TOTAL_MORTALITY_NUM","WA_CHARTER_TOTAL_MORTALITY_MT","WA_PRIVATE_TOTAL_MORTALITY_NUM","WA_PRIVATE_TOTAL_MORTALITY_MT"
"Albacore",,,,,,,,,5443,44.73101448821862568797340744373603618334,12308,101.148140055299438722685412239115034603,13045,110.665997585997794928335170893054024256,1166,9.89164838522601984564498346196251378169
"Arrowtooth Flounder",,,,,,,,,12,.02286,10,.01905
"Big Skate",,,,,,,,,1,.00562166666666666666666666666666666666667,15,.0843250000000000000000000000000000000002
"Black And Yellow Rockfish",,,,,,,,,3,.00228642857142857142857142857142857142857
"Black Rockfish",,,,,,,,,196188,224.151030655943017379388370619152836664,85849,100.122352554825736884477674282603012654,126381.391319684910221899157497833987782,151.370664870981867919004127048020649664,49693.1566339090869771846648076288471314,59.98950214636099426058423976335235113487
"Blue Rockfish",,,,,,,,,,,,,536.8,.49479345,880.2,.84291863
"Blue Shark",,,,,,,,,24,.2326637837837837837837837837837837837837,174,1.68681243243243243243243243243243243243
"Bluefin Tuna",,,,,,,,,2,.0145406666666666666666666666666666666667
"Bocaccio",,,,,,,,,38,.07924960215470803706097823744882568412,16,.0391450373626373626373626373626373626374,298,1.13710461940298507462686567164179104477,115,.4388155410447761194029850746268656716421
"Brown Irish Lord",,,,,,,,,,,4,.00225
"Brown Rockfish",,,,,,,,,7,.00873822429906542056074766355140186915887,3,.00374495327102803738317757009345794392523
"Buffalo Sculpin",,,,,,,,,63,.0361649621707060063224446786090621707059,13,.00867478556375131717597471022128556375132
"Butter Sole",,,,,,,,,4,.001776948837209302325581395348837209302326,27,.0119944046511627906976744186046511627907
"Cabezon",,,,,,,,,3310,8.5161966430437259305857579982588330401,3280,8.64782635291087619507899806736823355843,516.75,1.181348864,2169.95,4.970782998
"California Halibut",,,,,,,,,5,.0134359788359788359788359788359788359789
"Canary Rockfish",,,,,,,,,1946,1.23390309435454911157195974831552159421,1438,.9221388760060305911763886488807670567892,130.760044429708222811671087533156498673,.127719097542042440318302387267904509284,572.011594405594405594405594405594405592,.5607637208923076923076923076923076923078
