"SPECIES","CA_JETTY_TOTAL_MORTALITY_NUM","CA_JETTY_TOTAL_MORTALITY_MT","CA_BEACH_TOTAL_MORTALITY_NUM","CA_BEACH_TOTAL_MORTALITY_MT","CA_CHARTER_TOTAL_MORTALITY_NUM","CA_CHARTER_TOTAL_MORTALITY_MT","CA_PRIVATE_TOTAL_MORTALITY_NUM","CA_PRIVATE_TOTAL_MORTALITY_MT","OR_CHARTER_TOTAL_MORTALITY_NUM","OR_CHARTER_TOTAL_MORTALITY_MT","OR_PRIVATE_TOTAL_MORTALITY_NUM","OR_PRIVATE_TOTAL_MORTALITY_MT","WA_CHARTER_TOTAL_MORTALITY_NUM","WA_CHARTER_TOTAL_MORTALITY_MT","WA_PRIVATE_TOTAL_MORTALITY_NUM","WA_PRIVATE_TOTAL_MORTALITY_MT"
"Albacore",,,,,,,,,6058,35.80359389391104351300660628694820418738,96452,594.431298263567369432837762772810107222,24183.67,202.395552597,63433.89,530.884568799
"American Shad",184.416240089,.005623858699,,,,,,,,,127,.0076962
"Anchovy Family",,,,,,,68.38336373,0
"Arrowtooth Flounder",,,,,,,5.592078617,0,26,.04953,18,.03429
"Banded Guitarfish",,,,,0,0
"Bank Rockfish",,,,,482.288219716,.187345012373,265.646877333,.121522908633
"Barred Sandbass",826.88636925,.73815976464,,,24852.882964756,22.717950960181,12277.487540053,12.743360903629
"Barred Surfperch",10878.469581687,2.873301063124,,,,,21.730523934,.003861073957
"Bat Ray",1216.82201543,6.46318665982,,,0,0,820.640776312,4.33874127514
"Big Skate",3.158254649,0,,,26.20526316,0,19.793324472,0,,,21,.1180550000000000000000000000000000000001
"Bigmouth Sole",,,,,199.670550376,0,14.05677168,0
"Black And Yellow Rockfish",1193.533731262,.299960458405,,,984.31667066,.460773236137,4597.167154331,2.142543778687,,,8,.00609714285714285714285714285714285714285
"Black Croaker",0,0,,,,,8.428249523,0
"Black Perch",3155.46769003,.823937456218,,,56.77283189,.01123176255,1003.07450516,.399094891934
"Black Rockfish",1713.341922153,1.114807718435,,,44144.5290472,35.485985402468,71429.111439856,73.637974321381,154418,161.368819834161976045296746435981733229,139383,143.704382921408378695081287328155515176,113756.9307,134.37002532609,88143.5324,104.18224949945
"Blacksmith",7114.94766238,1.10767224529,,,29476.95525317,5.431965714239,929.676489839,.185935297006
"Blue Rockfish",1209.969559408,.333532654679,,,341476.788221598,156.696257975827,106145.917503686,50.673076185081,2193,1.03393772392094308807916631871178311927,3696,2.04642209591911835361970864562562398147,498.7828,.42707092574,950.4304,.7851244754
"Blue Shark",,,,,,,,,1,.00969432432432432432432432432432432432432,24,.2326637837837837837837837837837837837836
"Bluebanded Ronquil",,,,,0,0
"Bluefin Tuna",,,,,,,,,7,.0508923333333333333333333333333333333332,33,.239921
"Bluntnose Sixgill Shark",,,,,,,0,0
"Bocaccio",,,,,172623.07078831,119.494932515906,24455.955528114,26.914407149473,405,.2933572947543235636874283991522147956518,338,.2819259359819723842146866128733179827626,166.6356,.627920196,553.6167,2.16623086615
"Bonefish",73.44454397,0,,,,,213.14251711,0
"Bronzespotted Rockfish",,,,,,,28.42608951,0
"Brown Irish Lord",,,,,,,10.97291562,0,,,0,0
"Brown Rockfish",3447.043170975,.355914980249,,,64205.90102923,40.965766124885,72549.09636775,42.566671144562,46,.0516481977276892065237309877221916804104,44,.0453105509803921568627450980392156862744
"Brown Smoothhound",81.96741408,.1343665288,,,0,0,751.60932656,1.203596435914
"Buffalo Sculpin",8.839162617,0,,,0,0,14.27095372,0,7,.00524057692307692307692307692307692307692,2,.00149730769230769230769230769230769230769
"Bull Sculpin",31.433220829,0
"Bullet Mackerel",,,,,,,0,0
"Butter Sole",,,,,,,,,,,20,.008884744186046511627906976744186046511635
"Cabezon",371.498190446,.355369728775,,,2961.67130158,6.160195891541,7872.525266698,16.65973402744,2191,5.69126671102223130188571105680034829061,3920,10.20707998631826953408309560365123478666,527.326,1.3619167817,3305.2119,8.52793598474
"Calico Rockfish",88.814444932,.006029128792,,,18038.192163616,1.095389567265,404.198779213,.025521779945
"Calico Surfperch",1618.471542455,.49587138714,,,,,73.84263549,.023884180661
"California Butterflyray",73.23071066,0,,,,,0,0
"California Corbina",5779.53562449,3.06387042247,,,,,7.129977316,.003482511953
"California Flyingfish",,,,,,,25.34416751,0
"California Grunion",681.28498231,0
"California Halibut",4698.94522704,11.67640971282,,,28564.23456158,85.11503528057,65183.791885865,200.703168244673,,,559,1.3491844345591633727226947565930616778
"California Lizardfish",1548.01541333,.051902994256,,,374.21906658,.061651601124,536.880443625,.088974102555
"California Moray",,,,,0,0,0,0
"California Needlefish",73.44454397,0,,,,,0,0
"California Scorpionfish",503.997031586,.232671028161,,,251932.702791476,115.018112237765,9988.011447441,5.835057150935
"California Sheephead",685.13775859,1.0172928686,,,18406.528642666,25.235112789513,15854.611341567,24.247962842225
"California Skate",7.550384739,0,,,2.916094488,0,4.280632235,0
"Canary Rockfish",,,,,51437.1486486,42.092152005862,38363.197684001,29.276530746824,20328,18.52594160185732719659275228243820642131,18863,20.16773627422307468115851986564146131088,3864.2842,4.68654263234,6586.6486,9.01426926508
"Chilipepper",,,,,17311.680823001,5.449609874938,1057.516894496,.384303681799,20,.0165822222222222222222222222222222222222,27,.022386
"China Rockfish",9.924140284,.006738633863,,,10509.325176433,6.267526582077,10999.959752054,6.86325146771,1045,.9524763516309140679391877669854627074344,1608,1.58443055801862584423789242214627360913,275.4678,.24980128328,2432.8863,2.30980817673
"Clinid Family",0,0
