source,year,n_fishers,n_vessels
FB 173 Table 3,1976-77,14948,7268
FB 173 Table 3,1977-78,17407,8421
FB 173 Table 3,1978-79,20298,9654
FB 173 Table 3,1979-80,20018,9644
FB 173 Table 3,1980-81,20363,9229
FB 173 Table 3,1981-82,18862,8427
FB 173 Table 3,1982-83,19176,8173
FB 173 Table 3,1983-84,15509,8282
FB 173 Table 3,1984-85,14383,7660
FB 173 Table 3,1985-86,14579,7170
FB 173 Table 3,1986-87,14558,6992
