"source","table","year","port_complex","category","type","comm_name_orig","comm_name","sci_name","landings_lb","landings_kg","value_usd"
"FB 173","Table 4",1977,"Eureka","Crustaceans","Landings","Crab, Dungeness","Dungeness crab","Metacarcinus magister",33325545,15116214.8706159,15553166
"FB 173","Table 4",1977,"Eureka","Crustaceans","Landings","Crab, rock","Rock crab","Cancer spp.",565,256.279721813941,NA
"FB 173","Table 4",1977,"Eureka","Crustaceans","Landings","Shrimp, Pacific ocean","Ocean (pink) shrimp","Pandalus jordani",13863465,6288362.74969435,3143369
"FB 173","Table 4",1977,"Eureka","Echinoderms","Landings","Sea urchin","Sea urchin","Strongylocentrotus spp.",355520,161261.179998748,35545
"FB 173","Table 4",1977,"Eureka","Fish","Landings","Butterfish, Pacific","Pacific pompano (butterfish)","Peprilus simillimus",100,45.3592427989276,7
"FB 173","Table 4",1977,"Eureka","Fish","Landings","Cabezon","Cabezon","Scorpaenichthys marmoratus",377,171.004345351957,76
"FB 173","Table 4",1977,"Eureka","Fish","Landings","Fish, miscellaneous","Fish","Osteichthyes spp.",1896,860.011243467668,96
"FB 173","Table 4",1977,"Eureka","Fish","Landings","Flounder, arrowtooth","Arrowtooth flounder","Atheresthes stomias",222300,100833.596742016,17417
"FB 173","Table 4",1977,"Eureka","Fish","Landings","Flounder, miscellaneous","Flounder","Pleuronectidae spp.",416118,188747.973950042,62879
"FB 173","Table 4",1977,"Eureka","Fish","Landings","Grenadier","Grenadier","Macrouridae spp.",98622,44734.1924331584,6373
"FB 173","Table 4",1977,"Eureka","Fish","Landings","Hake, Pacific","Pacific hake (whiting)","Merluccius productus",80936,36711.9567517401,4064
"FB 173","Table 4",1977,"Eureka","Fish","Landings","Halibut, California","California halibut","Paralichthys californicus",293,132.902581400858,496
"FB 173","Table 4",1977,"Eureka","Fish","Landings","Herring, Pacific","Pacific herring","Clupea pallasii pallasii",45281,20539.1187317824,8550
"FB 173","Table 4",1977,"Eureka","Fish","Landings","Lingcod","Lingcod","Ophiodon elongatus",849538,385344.004089154,151698
"FB 173","Table 4",1977,"Eureka","Fish","Landings","Mackerel","Mackerel","Scombridae spp.",4778,2167.26462093276,288
"FB 173","Table 4",1977,"Eureka","Fish","Landings","Rockfish","Rockfish","Sebastes spp.",7017253,3182972.82608503,1106676
"FB 173","Table 4",1977,"Eureka","Fish","Landings","Sablefish","Sablefish","Anoplopoma fimbria",4471835,2028390.49521743,616419
"FB 173","Table 4",1977,"Eureka","Fish","Landings","Salmon","Salmon","Oncorhynchus spp.",3380522,1533379.18185116,6625702
"FB 173","Table 4",1977,"Eureka","Fish","Landings","Sanddab, Pacific","Pacific sanddab","Citharichthys sordidus",379447,172114.286023247,92376
"FB 173","Table 4",1977,"Eureka","Fish","Landings","Shark, miscellaneous","Shark","Selachimorpha spp.",1250,566.990534986595,220
"FB 173","Table 4",1977,"Eureka","Fish","Landings","Shark, soupfin","Soupfin shark","Galeorhinus galeus",11639,5279.36226936719,2956
"FB 173","Table 4",1977,"Eureka","Fish","Landings","Skate","Skate","Rajidae spp.",55054,24972.0775305216,10400
"FB 173","Table 4",1977,"Eureka","Fish","Landings","Smelt, true","True smelt","Osmeridae spp.",522052,236798.834216658,46095
"FB 173","Table 4",1977,"Eureka","Fish","Landings","Smelt, whitebait","Whitebait smelt","Allosmerus elongatus",283373,128535.847096605,55368
"FB 173","Table 4",1977,"Eureka","Fish","Landings","Sole, Dover","Dover sole","Microstomus pacificus",14963881,6787503.1149326,2352362
"FB 173","Table 4",1977,"Eureka","Fish","Landings","Sole, English","English sole","Parophrys vetulus",1552277,704101.09334191,378366
"FB 173","Table 4",1977,"Eureka","Fish","Landings","Sole, miscellaneous","Sole","Pleuronectiformes spp.",46655,21162.3547278397,7733
"FB 173","Table 4",1977,"Eureka","Fish","Landings","Sole, petrale","Petrale sole","Eopsetta jordani",934517,423889.835027255,303065
"FB 173","Table 4",1977,"Eureka","Fish","Landings","Sole, rex","Rex sole","Glyptocephalus zachirus",1078348,489130.48753738,242079
