Licenses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Resident Fishing     (Annual),"$  33,849,985","$  34,433,560","$ 34,238,589","$  32,877,702","$  39,647,750","$  39,528,972","$  41,788,068","$  45,562,617","$ 44,532,682","$  46,283,404"
Lifetime Fishing,"$         65,457","$         91,280","$       122,815","$       159,822","$       207,704","$      223,236","$       249,971","$       276,120","$      296,741","$       316,017"
Non-Resident Fishing     (Annual),"$       842,652","$      870,643","$       873,444","$       824,564","$       957,600","$      959,318","$    1,025,402","$   1,089,851","$    1,054,333","$    1,095,090"
Non-Resident Fishing     (l0 Day),"$       385,548","$      389,116","$       355,163","$       353,867","$       480,063","$       501,206","$      549,789","$       613,014","$       592,333","$       568,929"
1-Day Sportfishing,N/A,N/A,N/A,N/A,"$   5,351,140","$    5,669,080","$    6,434,552","$    6,998,969","$    6,849,012","$   7,293,344"
2-Day Sportfishing,"$    4,321,268","$    4,711,935","$    4,998,210","$    4,958,226","$   2,631,132","$    2,436,672","$    2,483,958","$    2,601,973","$    2,480,462","$    2,528,731"
Reduced Fee Sportfishing,"$         82,425","$        82,607","$         82,588","$        58,093","$         59,310","$         61,089","$        62,557","$        59,955","$         60,294","$         65,425"
Resident Upgrade,"$       177,958","$      186,737","$       203,748","$       177,372",N/A,N/A,N/A,N/A,N/A,N/A
Resident Pacific Ocean Only,"$    2,456,591","$    2,521,118","$    2,661,214","$   2,466,457",N/A,N/A,N/A,N/A,N/A,N/A
Pacific Ocean (1 Day),"$       608,350","$      593,094","$      598,544","$       523,588",N/A,N/A,N/A,N/A,N/A,N/A
Pacific Ocean/Enhancement (1 Day),"$    1,506,619","$    1,496,541","$    1,504,494","$    1,389,650",N/A,N/A,N/A,N/A,N/A,N/A
Sub Total - Licenses,"$ 44,296,852","$ 45,376,629","$ 45,638,809","$ 43,789,339","$ 49,334,699","$ 49,379,573","$ 52,594,296","$ 57,202,498","$ 55,865,857","$ 58,150,940"
"",,,,,,,,,,
Bay-Delta Enhancement Stamp,N/A,N/A,N/A,N/A,"$   1,607,430","$   1,525,400","$   1,540,198","$    1,688,253","$   1,601,645","$    1,681,962"
Lifetime Bay-Delta Enhancement Stamp,N/A,N/A,N/A,N/A,"$        12,002","$        12,737","$         14,021","$        15,260","$         16,268","$         17,084"
Second Rod Sport Fish Stamp,"$    1,558,638","$    1,609,047","$    1,706,366","$    1,716,763","$    1,680,180","$    1,742,969","$    1,908,263","$   2,149,125","$    2,538,510","$   2,789,925"
Lifetime Second Rod Sport Fish Stamp,N/A,N/A,N/A,N/A,"$        31,718","$        33,661","$         37,056","$        40,330","$        42,994","$         45,149"
Spiny Lobster Report Card,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"$      206,040","$      258,744"
Abalone Report Card,"$       471,324","$      490,284","$       430,284","$       441,228","$       546,090","$       534,467","$       598,256","$      676,413","$      663,974","$      722,869"
North Coast Salmon Report Card,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"$        62,915","$         81,706"
Lifetime North Coast Salmon Report Card,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"$           4,649","$           4,890"
Salmon Punch Card,"$         33,741","$         40,862","$        42,234","$        41,467","$        37,448","$         44,882","$         37,382","$         48,053",N/A,N/A
Lifetime Salmon Punch Card,N/A,N/A,N/A,N/A,"$           3,429","$          3,639","$           4,006","$           4,360",N/A,N/A
Steelhead Report Card,"$      131,940","$      166,550","$      181,168","$       209,089","$       259,135","$       235,455","$       212,930","$       275,891","$       258,716","$      262,884"
Lifetime Steelhead Report Card,N/A,N/A,N/A,N/A,"$        12,863","$        13,646","$        15,023","$        16,350","$         17,434","$         18,353"
Striped Bass Stamp,"$    1,065,995","$   1,058,124","$    1,057,532","$    1,069,562",N/A,N/A,N/A,N/A,N/A,N/A
Sturgeon Fishing Report Card,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$                  -,$                   -,$                   -
Ocean Enhancement Stamp,"$      707,080","$       683,693","$       682,810","$       629,945","$      949,925","$      909,790","$    1,013,726","$   1,081,760","$    1,092,288","$   1,127,673"
Lifetime Ocean Enhancement Stamp,N/A,N/A,N/A,N/A,"$           8,573","$           9,098","$         10,015","$         10,900","$         11,620","$         12,203"
Sub Total - Stamps & Report Cards,"$   3,968,718","$   4,048,559","$   4,100,394","$   4,108,053","$   5,148,791","$   5,065,742","$   5,390,874","$   6,006,694","$   6,517,053","$   7,023,441"
"",,,,,,,,,,
TOTAL SPORT FISHING,"$  48,265,569","$  49,425,188","$ 49,739,203","$  47,897,392","$  54,483,490","$  54,445,315","$ 57,985,170","$  63,209,192","$  62,382,910","$  65,174,380"
