Licenses,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Resident Fishing (Annual),"1,191,929","1,136,673","582,588",-,-,-,-,-,-,-
Resident Fishing Voucher (Annual),"52,318","43,236","31,455",-,-,-,-,-,-,-
Lifetime Fishing,"15,751","16,574","14,042",-,-,-,-,-,-,-
Non-Resident Fishing (Annual),"16,123","15,935","7,784",-,-,-,-,-,-,-
Non-Resident Fishing (l0 Day),"13,218","16,182","2,379",-,-,-,-,-,-,-
1-Day Sportfishing (Res/Nonres),"540,998","494,883","86,762",-,-,-,-,-,-,-
2-Day Sportfishing (Res/Nonres),"92,241","80,792","8,897",-,-,-,-,-,-,-
Disabled Veteran Fishing,"19,505","19,856","13,220",-,-,-,-,-,-,-
Recovering Service Member,12,10,5,-,-,-,-,-,-,-
Reduced Fee Low Income Senior,"1,259","1,038",921,-,-,-,-,-,-,-
Free Sport Fishing,"15,765","14,860","10,181",-,-,-,-,-,-,-
Sub Total - Licenses,"1,959,119","1,840,039","758,234",-,-,-,-,-,-,-
Second Rod Sport Fish Validation,"342,801","370,137","235,331",-,-,-,-,-,-,-
Lifetime Second Rod Sport Fish Validation,"5,568","5,848","4,799",-,-,-,-,-,-,-
Spiny Lobster report Card (Full Season),"45,756","35,524",0,-,-,-,-,-,-,-
Abalone Report Card,0,0,0,-,-,-,-,-,-,-
North Coast Salmon Report Card,"19,816","19,328","7,839",-,-,-,-,-,-,-
Lifetime North Coast Salmon Report Card,"2,261","2,252","2,074",-,-,-,-,-,-,-
Steelhead Report Card,"49,450","52,486","32,299",-,-,-,-,-,-,-
Lifetime Steelhead Report Card,"2,334","2,293","2,100",-,-,-,-,-,-,-
Sturgeon Fishing Report Card,"43,005","45,585","32,879",-,-,-,-,-,-,-
Recreational Crab Trap Validation,N/A,"23,253","32,061",-,-,-,-,-,-,-
Ocean Enhancement Validation,"302,562","308,726","158,785",-,-,-,-,-,-,-
Lifetime Ocean Enhancement Validation,"5,378","5,654","4,608",-,-,-,-,-,-,-
Sub Total - Validations & Report Cards,"818,931","871,086","512,775",-,-,-,-,-,-,-
Lifetime Fishing Package - Age 0 to 9,461,466,117,-,-,-,-,-,-,-
Lifetime Fishing Package - Age 10 to 39,450,482,166,-,-,-,-,-,-,-
Lifetime Fishing Package - Age 40 to 61,479,564,181,-,-,-,-,-,-,-
Lifetime Fishing Package - Age 62 and Over,364,356,128,-,-,-,-,-,-,-
Lifetime Fishing Privilege Package,548,575,176,-,-,-,-,-,-,-
Sub Total - Lifetime Fishing Packages,"2,302","2,443",768,-,-,-,-,-,-,-
TOTAL SPORT FISHING,"2,780,352","2,713,568","1,271,777",-,-,-,-,-,-,-
