Licenses,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
COMM FISHING LICENSE (R),"$              721,500",N/A,"$           609,000",N/A,N/A,N/A,N/A,N/A,N/A,N/A
COMM FISHING LICENSE (NR),N/A,N/A,N/A,"$           112,650","$           125,250","$           141,750","$           178,500","$           173,700","$           183,150","$           190,500"
COMM FISHING - CREWMEMBER (R),N/A,"$           387,900",N/A,"$           280,900","$           275,050","$           265,900","$           242,400","$           216,750","$           206,400","$           199,300"
COMM FISHING - OPERATOR (R),"$                  2,250","$           593,100",N/A,"$           446,670","$           441,990","$           438,660","$           421,470","$           386,010","$           366,930","$           342,450"
COMM FISHING - CREWMEMBER UPGRADE (R),N/A,N/A,N/A,N/A,N/A,N/A,N/A,"$               6,000","$               5,440","$               3,520"
COMM BOAT REGISTRATION (R),"$           1,094,390","$        1,346,455","$        1,026,465","$        1,027,200","$        1,033,200","$           999,000","$           971,200","$           906,200","$           868,200","$           868,800"
COMM BOAT REGISTRATION (NR),N/A,N/A,N/A,"$           158,800","$           164,400","$           177,600","$           200,800","$           194,800","$           184,000","$           208,800"
COMM PASSENGER FISHING VESSEL,"$                36,475","$             36,570","$             25,750","$           134,883","$           141,750","$             71,900","$             70,800","$             68,600","$             72,200","$             76,800"
COMM PASSENGER FISHING VESSEL W/SALMON,N/A,N/A,N/A,N/A,N/A,"$               6,300","$               6,600","$               6,750","$               5,250","$               5,250"
COMM AIRCRAFT REGISTRATION,N/A,N/A,"$               1,485","$               4,400","$               3,800","$               4,600","$               4,200","$               3,400","$               3,000","$               2,600"
COMM SALMON STAMP,"$              988,050","$           664,800","$           378,840","$           293,675","$           259,760","$           274,040","$           572,225","$           278,443","$           516,360","$           166,345"
JOHN DOE SALMON STAMP,N/A,N/A,N/A,N/A,N/A,N/A,"$             88,830","$             41,038","$             63,440","$             25,160"
JUNIOR COMM FISH LICENSE,"$                  2,760","$               3,470","$               1,725","$               2,135","$               2,170","$               2,345","$               2,625","$               2,415","$               1,890","$               1,680"
JUNIOR COMM SALMON STAMP,,,,,,,,,,
COMM OCEAN ENHANCEMENT STAMP,"$                12,215","$             14,675","$               8,980","$               2,370","$               2,240","$             10,825","$               9,900","$               9,750","$             12,775","$             16,325"
Limited Entry & Restricted Access,,,,,,,,,,
ABALONE DIVING PERMIT,"$                24,800","$             24,000","$             29,250","$             37,950","$             36,960","$             36,300","$             33,990","$             32,010",N/A,N/A
DRIFT GILL NET SHARK/SWORDFISH PERMIT,"$                45,830","$             45,830","$             37,250","$             38,610","$             53,460","$             61,050","$             55,110","$             39,600","$             48,840","$             44,880"
