Licenses,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
Resident Hunting     (Annual),"509,964","500,733","492,366","467,539","451,344","445,194","427,217","409,553","389,292","380,010"
Junior Hunting     (Annual),"40,589","38,689","36,854","34,469","32,218","30,550","27,467","24,240","22,501","21,727"
Non-Resident Hunting     (Annual),"3,627","3,419","3,476","3,123","3,025","2,536","2,544","2,759","2,614","2,849"
Non-Resident Hunting     (1 Day),402,485,543,499,550,"1,734",712,768,805,497
Sub Total - Hunting Licenses,"554,582","543,326","533,239","505,630","487,137","480,014","457,940","437,320","415,212","405,083"
"",,,,,,,,,,
Resident First Deer Tag,"207,833","214,826","218,455","199,236","181,877","189,018","182,462","174,966","164,874","159,663"
Non-Resident First Deer Tag,"1,379","1,411","1,483","1,087",944,551,545,612,575,540
Resident Second Deer Tag,"89,769","88,159","87,876","78,953","71,154","65,732","55,879","56,506","53,972","53,155"
Non-Resident SecondDeer Tag,N/A,N/A,N/A,71,57,25,19,24,29,36
Sub Total - Deer Tags,"298,981","304,396","307,814","279,347","254,032","255,326","238,905","232,108","219,450","213,394"
"",,,,,,,,,,
Resident Pronghorn Antelope Tag,490,522,701,603,606,557,653,776,735,403
Resident Bighorn Sheep Tag,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,9,8
Non-Resident Bighorn Sheep Tag,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1
Resident Elk Tag,N/A,N/A,N/A,N/A,N/A,N/A,10,32,235,224
"Sub Total - Antelope, Bighorn Sheep, Elk Tags",$               490,$               522,$               701,$               603,$               606,$               557,$               663,$               817,$               979,$               636
"",,,,,,,,,,
Resident Bear Tags,"27,366","31,777","27,745","14,401","11,064","11,875","10,176","12,235","13,016",561
Non-Resident Bear Tags,N/A,N/A,51,56,65,98,81,116,85,0
Sub Total - Bear Tags,"27,366","31,777","27,796","14,457","11,129","11,973","10,257","12,351","13,101",561
"",,,,,,,,,,
Bobcat Hunting Tags,,427,384,322,577,777,823,908,823,890
Sub Total - Bobcat tags,0,427,384,322,577,777,823,908,823,890
"",,,,,,,,,,
Duck Stamps,"112,391","105,188","105,428","107,161","99,310","95,835","91,933","89,520","79,361","71,502"
Waterfowl Application Stamp,N/A,N/A,N/A,N/A,N/A,N/A,"116,089","133,645","113,084","133,085"
1-Day Type A Wildlife Area Permit,N/A,N/A,N/A,N/A,N/A,N/A,"35,619","37,482","26,659","29,154"
2-Day Type A Wildlife Area Pass,N/A,N/A,N/A,N/A,N/A,N/A,"8,084","8,049","6,545","6,612"
Type A Wildlife Area Season Pass,N/A,N/A,N/A,N/A,N/A,N/A,"1,488","1,461",958,"1,260"
Type B Wildlife Area Season Pass,N/A,N/A,N/A,N/A,N/A,N/A,"1,421","1,281","1,128","1,308"
Sub Total - Game Bird Hunting,"112,391","105,188","105,428","107,161","99,310","95,835","254,634","271,438","227,735","242,921"
"",,,,,,,,,,
TOTAL HUNTING,"993,320","984,687","974,277","906,595","851,608","843,148","961,736","953,217","875,498","861,959"
