Licenses,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,,,,,,,,,,,
Resident Hunting (Annual),"$11,679,539","$11,232,390","$827,600",-,-,-,-,-,-,-,,,,,,,,,,,
Lifetime Hunting,$0,$0,$0,-,-,-,-,-,-,-,,,,,,,,,,,
Junior Hunting (Annual),"$239,150","$220,168","$11,329",-,-,-,-,-,-,-,,,,,,,,,,,
Lifetime Junior Hunting,$0,$0,$0,-,-,-,-,-,-,-,,,,,,,,,,,
Disabled Veteran Hunting,"$38,130","$38,618","$4,976",-,-,-,-,-,-,-,,,,,,,,,,,
Recovering Service Member,$45,$23,$8,-,-,-,-,-,-,-,,,,,,,,,,,
Non-Resident Hunting (Annual),"$644,655","$730,660","$44,736",-,-,-,-,-,-,-,,,,,,,,,,,
Non-Resident 1-Day Hunting,"$7,695","$8,928",$0,-,-,-,-,-,-,-,,,,,,,,,,,
Non-Resident 2-Day Hunting,"$124,882","$139,376",$0,-,-,-,-,-,-,-,,,,,,,,,,,
Sub Total - Hunting Licenses,"$12,734,095","$12,370,164","$888,649",-,-,-,-,-,-,-,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,
Resident First Deer Tag,"$4,460,621","$4,529,760","$521,413",-,-,-,-,-,-,-,,,,,,,,,,,
Non-Resident First Deer Tag,"$359,822","$413,854","$49,813",-,-,-,-,-,-,-,,,,,,,,,,,
Resident Second Deer Tag,"$1,697,483","$1,752,400","$180,318",-,-,-,-,-,-,-,,,,,,,,,,,
Non-Resident Second Deer Tag,"$17,267","$26,978","$1,474",-,-,-,-,-,-,-,,,,,,,,,,,
Lifetime Deer Tag,$0,$0,$0,-,-,-,-,-,-,-,,,,,,,,,,,
Duplicate/Exchange Deer Tag,$903,"$1,312",$0,-,-,-,-,-,-,-,,,,,,,,,,,
Sub Total - Deer Tags,"$6,536,096","$6,724,304","$753,017",-,-,-,-,-,-,-,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,
Resident Pronghorn Antelope Tag,"$29,396","$20,959",$0,-,-,-,-,-,-,-,,,,,,,,,,,
Resident Pronghorn Antelope Tag (Junior),$308,$319,$0,-,-,-,-,-,-,-,,,,,,,,,,,
Non-Resident Pronghorn Antelope Tag,$468,$482,$0,-,-,-,-,-,-,-,,,,,,,,,,,
Resident Bighorn Sheep Tag,"$10,894","$11,674",$0,-,-,-,-,-,-,-,,,,,,,,,,,
Non-Resident Bighorn Sheep Tag,"$3,267","$5,050",$0,-,-,-,-,-,-,-,,,,,,,,,,,
Resident Elk Tag,"$115,770","$106,179",$0,-,-,-,-,-,-,-,,,,,,,,,,,
Resident Elk Tag (Junior),$246,$361,$0,-,-,-,-,-,-,-,,,,,,,,,,,
Non-Resident Elk Tag,"$2,808","$2,894",$0,-,-,-,-,-,-,-,,,,,,,,,,,
"Sub Total - Antelope, Bighorn Sheep, Elk Tags","$163,156","$147,917",$0,-,-,-,-,-,-,-,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,
Resident Antelope Tag Drawing Application,"$223,808","$223,905","$27,240",-,-,-,-,-,-,-,,,,,,,,,,,
Non-Resident Antelope Tag Drawing Application,"$4,920","$5,468",$893,-,-,-,-,-,-,-,,,,,,,,,,,
Resident Bighorn Sheep Tag Drawing Application,"$139,890","$140,040","$19,725",-,-,-,-,-,-,-,,,,,,,,,,,
Non-Resident Bighorn Sheep Tag Drawing Application,"$7,613","$8,130",$998,-,-,-,-,-,-,-,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",Resident Elk Tag Drawing Application,,"$332,048",,"$333,773",,"$43,613",,-,,-,,-,,-,,-,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",Non-Resident Elk Tag Drawing Application,,"$7,485",,"$8,190",,"$1,313",,-,,-,,-,,-,,-,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","Elk, Antelope, Bighorn Sheep Tag Return Fee",,"$2,910",,"$3,875",,$0,,-,,-,,-,,-,,-,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,-,,-,,-,,-,,-,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","Sub Total - Antelope, Bighorn Sheep, Elk Drawing",,"$718,673",,"$723,380",,"$93,780",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",Fundraising Deer Tag Random Drawing,,"$171,706",,"$401,395",,$0,,-,,-,,-,,-,,-,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",Fundraising Bighorn Sheep Tag Random Drawing,,"$103,481",,"$101,680",,$0,,-,,-,,-,,-,,-,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",Fundraising Antelope Tag Random Drawing,,"$62,569",,"$59,865",,$0,,-,,-,,-,,-,,-,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",Fundraising Elk Tag Random Drawing,,"$130,663",,"$151,665",,$0,,-,,-,,-,,-,,-,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,-,,-,,-,,-,,-,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",Sub Total - Fundraising Drawing,,"$468,419",,"$714,604",,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",Resident Bear Tags,,"$1,304,836",,"$1,395,718",,"$136,091",,-,,-,,-,,-,,-,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",Resident Bear Tags (Junior),,"$42,793",,"$45,269",,"$2,940",,-,,-,,-,,-,,-,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",Non-Resident Bear Tags,,"$40,538",,"$45,413",,"$4,354",,-,,-,,-,,-,,-,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
