Licenses,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
Commercial Hunting Club License,"$            1,250","$            2,225","$           2,450","$            1,925","$           1,925","$            1,675","$            1,925","$           1,900","$           7,200","$            6,700"
Dog Training Permit,$               436,$               570,$               711,$               550,$               407,$              435,$               374,$               343,$              333,$              295
Falconry License,"$            9,645","$           9,450","$         11,040","$         12,210","$          11,265","$          11,685","$         12,645","$          13,550","$         14,300","$         14,525"
Fur Agent License,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$               100
Fur Buyer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$              700
Domesticated Game Breeder License Class 1,"$            5,915","$            6,530","$           5,865","$            5,460","$           4,885","$            4,925","$            4,840","$            4,770","$            4,865","$            4,160"
Domesticated Game Breeder License Class 2,"$            2,875","$            3,375","$            3,200","$            3,100","$           2,575","$           2,425","$            2,800","$           2,800","$            2,700","$            2,700"
Domesticated Game Breeder License Class 3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$              263
Guide License (R),"$            3,790","$           4,210","$            4,760","$            5,040","$            5,075","$            5,400","$           5,750","$            5,450","$           6,650","$            8,150"
Guide License (NR),N/A,N/A,N/A,N/A,N/A,$              400,$              400,$               300,$              500,$               800
Licensed Game Bird Club A <500,"$            5,850","$            5,475","$           5,925","$            5,850","$            4,950","$           4,650","$            4,500","$            4,350","$            4,950","$            4,800"
Licensed Game Bird Club A >500,"$         12,700","$         13,500","$         13,500","$         12,600","$          12,000","$          11,100","$          10,600","$            9,500","$            9,000","$            8,400"
Licensed Domesticated Migratory Game Bird Shooting Area,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$               100
Organizational Field Trial Permit (R),$              245,$               410,$               325,$               325,$              305,$               325,$               350,$               355,$               345,$               360
Scientific Collecting Permit (R),"$            3,055","$            3,220","$           4,455","$           4,860","$           5,435","$           5,645","$            6,170","$            6,930","$          13,100","$         13,790"
Scientific Collecting Permit (Student),$               204,$               296,$               661,$              853,$              878,$              817,$               856,$               925,"$           3,660","$            2,935"
Suction Dredge Permit - Standard (R),N/A,N/A,N/A,N/A,N/A,N/A,"$          19,905","$         18,125","$         19,090","$          26,030"
Suction Dredge Permit - Special,N/A,N/A,N/A,N/A,N/A,$                   -,$              225,$              150,$               150,$               675
Trapping License (Junior),N/A,N/A,N/A,N/A,$                 20,$               570,$              820,$              815,$              970,"$           1,225"
Trapping License (R),N/A,N/A,N/A,N/A,$                50,$               375,$              850,"$            1,100","$            2,350","$            3,250"
Trapping License (NR),N/A,N/A,N/A,N/A,$               380,"$            8,020","$          14,940","$          16,440","$         20,760","$         28,620"
TOTAL MISCELLANEOUS,"$          45,965","$         49,261","$          52,892","$          52,773","$          50,150","$          58,447","$          87,950","$          87,803","$        110,923","$        128,578"
