Licenses,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
Resident Fishing     (Annual),"2,255,389","2,296,107","2,259,799","2,155,390","2,059,504","1,955,381","1,796,906","1,708,733","1,654,265","1,587,143"
Non-Resident Fishing     (Annual),"15,123","15,445","15,229","13,850","14,690","14,349","13,107","14,266","11,390","11,784"
Non-Resident Fishing     (l0 Day),"25,257","24,828","25,174","24,440","34,651","35,310","29,903",N/A,N/A,N/A
1-Day Sportfishing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"242,131","273,325","302,761"
Resident Pacific Ocean Only,N/A,N/A,N/A,N/A,"124,287","129,784","135,703","148,880","164,620","158,456"
Pacific Ocean (1 Day),"156,517","193,865","225,014","235,547","207,364","225,423","231,735","241,070","254,763","285,285"
Pacific Ocean   (3 Day),"12,087","11,382","9,297","7,482",N/A,N/A,N/A,N/A,N/A,N/A
Pacific Ocean  (5 Day),N/A,N/A,N/A,N/A,"5,997","4,729","3,976",N/A,N/A,N/A
Reduced Fee Sportfishing,N/A,N/A,N/A,N/A,"5,783","9,597","15,929","19,672","24,905","26,839"
Sub Total - Licenses,"2,464,373","2,541,627","2,534,513","2,436,709","2,452,276","2,374,573","2,227,259","2,374,752","2,383,268","2,372,268"
"",,,,,,,,,,
Resident Upgrade Stamp,"22,342","22,049","31,282","22,261",N/A,N/A,"1,303","15,312","20,947","19,383"
Colorado River Stamp (CA),"18,984","20,735","20,162","19,185","19,527","20,817","20,820","20,704","20,462","20,165"
Ocean Enhancement Stamp,N/A,N/A,N/A,N/A,"551,373","531,856","508,405","503,085","516,696","510,857"
Inland Water Stamp,"2,004,052","2,044,198","2,022,461","1,939,847",N/A,N/A,N/A,N/A,N/A,N/A
Sport Salmon Punch Card,N/A,N/A,N/A,N/A,N/A,N/A,"39,225","47,981","50,567","52,640"
Striped Bass Stamp,N/A,"1,500","528,480","539,685","591,180","574,575","516,284","496,075","497,976","481,411"
Trout Stamp,"1,764,926","1,782,955","1,744,719","1,666,541",N/A,N/A,N/A,N/A,N/A,N/A
Sub Total - Stamps & Report Cards,"3,810,304","3,871,437","4,347,104","4,187,519","1,162,080","1,127,248","1,086,037","1,083,157","1,106,648","1,084,456"
"",,,,,,,,,,
TOTAL SPORT FISHING,"6,274,677","6,413,064","6,881,617","6,624,228","3,614,356","3,501,821","3,313,296","3,457,909","3,489,916","3,456,724"
