Licenses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
FISH BUSINESS (MULTIFUNCTION),"$   1,000.00","$   1,000.00","$    1,000.00","$   1,000.00","$   1,373.00","$   1,393.75","$    1,464.25","$   1,560.25","$    1,626.75","$    1,727.50"
FISH IMPORTER,$       400.00,$       400.00,$       400.00,$       400.00,$      549.00,$       557.25,$       585.50,$      624.00,$       650.50,$        690.75
FISH PROCESSOR,$       400.00,$       400.00,$       400.00,$      400.00,$      549.00,$       557.25,$      585.50,$      624.00,$       650.50,$        690.75
FISH RECEIVER,$       400.00,$       400.00,$       400.00,$       400.00,$       549.00,$      557.25,$       585.50,$       624.00,$       650.50,$        690.75
FISH WHOLESALER LICENSE,$       270.00,$       270.00,$       270.00,$       270.00,$      371.00,$       376.50,$       395.50,$       421.50,$      439.50,$       466.75
FISHERMAN'S RETAILER,$         50.00,$         50.00,$        50.00,$         50.00,$         69.00,$        70.00,$         73.50,$        78.25,$        81.50,$          86.50
LIVE FRESH WATER BAIT LICENSE,$         55.00,$         55.00,$         55.00,$         55.00,$         55.00,$        55.75,$        58.50,$         62.25,$         65.00,$          69.00
MARINE AQUARIA RECEIVERS LICENSE,"$    1,000.00","$    1,000.00","$   1,000.00","$    1,000.00","$    1,373.00","$   1,393.75","$   1,464.25","$    1,560.25","$   1,626.75","$     1,727.50"
SPORT-CAUGHT FISH EXCHANGE,$        50.00,$        50.00,$        50.00,$        50.00,$         50.00,$        50.75,$         53.25,$        56.75,$         59.25,$          63.00
