Licenses,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
Resident Fishing     (Annual),$            5.00,$             5.75,$             6.25,$            6.75,$          13.00,$           13.75,$          18.00,$           18.00,$          18.50,$          18.75
Non-Resident Fishing     (Annual),$           20.75,$           22.75,$           24.75,$          26.50,$          35.00,$           37.00,$           45.00,$          45.00,$          50.00,$           50.75
Non-Resident Fishing     (l0 Day),$             8.25,$             9.00,$           10.00,$           10.50,$          13.00,$           13.75,$          19.00,N/A,N/A,N/A
1-Day Sportfishing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$             5.00,$             5.50,$            5.75
Resident Pacific Ocean Only,N/A,N/A,N/A,N/A,$             7.50,$             8.00,$          10.00,$           10.00,$           11.00,$          11.25
Pacific Ocean (1 Day),$            2.00,$            2.00,$             2.00,$             2.00,$             3.00,$             3.25,$             3.50,$             3.50,$             4.00,$            4.00
Pacific Ocean   (3 Day),$            4.00,$             4.50,$             5.00,$             5.25,N/A,N/A,N/A,N/A,N/A,N/A
Pacific Ocean  (5 Day),N/A,N/A,N/A,N/A,$             7.50,$             8.00,$           10.00,N/A,N/A,N/A
Reduced Fee Sportfishing,N/A,N/A,N/A,N/A,$             2.00,$             2.00,$             2.00,$            2.00,$             2.00,$             2.00
"",,,,,,,,,,
Resident Upgrade Stamp,N/A,N/A,N/A,N/A,N/A,N/A,$             8.00,$             8.00,$             7.50,$             7.50
Colorado River Stamp (CA),$            3.00,$            3.00,$            3.00,$             3.00,$             3.00,$             3.00,$             3.00,$             3.00,$            3.00,$             3.00
Ocean Enhancement Stamp,N/A,N/A,N/A,N/A,$             1.00,$            1.00,$            1.00,$             1.00,$             1.00,$            1.00
Inland Water Stamp,$            2.00,$             2.25,$             2.50,$            2.75,N/A,N/A,N/A,N/A,N/A,N/A
Sport Salmon Punch Card,N/A,N/A,N/A,N/A,N/A,N/A,$             1.00,$            1.00,$            1.00,$            1.00
Striped Bass Stamp,N/A,$             3.50,$             3.50,$             3.50,$            3.50,$             3.50,$            3.50,$             3.50,$            3.50,$            3.50
Trout Stamp,$             3.00,$             3.50,$            3.75,$             4.00,N/A,N/A,N/A,N/A,N/A,N/A
