"comm_name_orig","comm_name","sci_name","level","category","type","class","order","family","genus","species"
"Bullet Mackerel","Bullet mackerel","Auxis rochei","species","Coastal pelagics","fish","Actinopteri","Scombriformes","Scombridae","Auxis","rochei"
"Frigate Mackerel","Frigate mackerel","Auxis thazard","species","Coastal pelagics","fish","Actinopteri","Scombriformes","Scombridae","Auxis","thazard"
"Finescale Triggerfish","Finescale triggerfish","Balistes polylepis","species",NA,"fish","Actinopteri","Tetraodontiformes","Balistidae","Balistes","polylepis"
"Big Skate","Big skate","Beringraja binoculata","species","Sharks and rays","fish","Elasmobranchii","Rajiformes","Rajidae","Beringraja","binoculata"
"California Skate","California skate","Beringraja inornata","species","Sharks and rays","fish","Elasmobranchii","Rajiformes","Rajidae","Beringraja","inornata"
"Longnose Skate","Longnose skate","Beringraja rhina","species","Sharks and rays","fish","Elasmobranchii","Rajiformes","Rajidae","Beringraja","rhina"
"Silver Spotted Sculpin","Silver spotted sculpin","Blepsias cirrhosus","species",NA,"fish","Actinopteri","Perciformes/Cottoidei","Agonidae","Blepsias","cirrhosus"
"Kelp Perch","Kelp perch","Brachyistius frenatus","species",NA,"fish","Actinopteri","Ovalentaria/misc","Embiotocidae","Brachyistius","frenatus"
"Pacific Pomfret","Pacific pomfret","Brama japonica","species",NA,"fish","Actinopteri","Scombriformes","Bramidae","Brama","japonica"
"Red Brotula","Red brotula","Brosmophycis marginata","species",NA,"fish","Actinopteri","Ophidiiformes","Bythitidae","Brosmophycis","marginata"
"Brown Rock Crab","Brown rock crab","Cancer antennarius","species","Crabs","invert","Malacostraca","Decapoda","Cancridae","Cancer","antennarius"
"Yelllow Rock Crab","Yellow rock crab","Cancer anthonyi","species","Crabs","invert","Malacostraca","Decapoda","Cancridae","Cancer","anthonyi"
"Red Rock Crab","Red rock crab","Cancer productus","species","Crabs","invert","Malacostraca","Decapoda","Cancridae","Cancer","productus"
"Pacific Golden-Eyed Tilefish","Pacific golden-eyed tilefish","Caulolatilus affinis","species",NA,"fish","Actinopteri","Eupercaria/misc","Latilidae","Caulolatilus","affinis"
"Ocean Whitefish","Ocean whitefish","Caulolatilus princeps","species",NA,"fish","Actinopteri","Eupercaria/misc","Latilidae","Caulolatilus","princeps"
"Monkeyface Prickleback","Monkeyface prickleback","Cebidichthys violaceus","species",NA,"fish","Actinopteri","Perciformes/Zoarcoidei","Cebidichthyidae","Cebidichthys","violaceus"
"Swell Shark","Swell shark","Cephaloscyllium ventriosum","species","Sharks and rays","fish","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Cephaloscyllium","ventriosum"
"California Flyingfish","California flyingfish","Cheilopogon pinnatibarbatus californicus","species",NA,"fish","Actinopteri","Beloniformes","Exocoetidae","Cheilopogon","pinnatibarbatus californicus"
"Black Croaker","Black croaker","Cheilotrema saturnum","species",NA,"fish","Actinopteri","Eupercaria/misc","Sciaenidae","Cheilotrema","saturnum"
"Warty Poacher","Warty poacher","Chesnonia verrucosa","species",NA,"fish","Actinopteri","Perciformes/Cottoidei","Agonidae","Chesnonia","verrucosa"
"Blacksmith","Blacksmith","Chromis punctipinnis","species",NA,"fish","Actinopteri","Ovalentaria/misc","Pomacentridae","Chromis","punctipinnis"
"Pacific Sanddab","Pacific sanddab","Citharichthys sordidus","species","Flatfish","fish","Actinopteri","Pleuronectiformes","Cyclopsettidae","Citharichthys","sordidus"
"Speckled Sanddab","Speckled sanddab","Citharichthys stigmaeus","species","Flatfish","fish","Actinopteri","Pleuronectiformes","Cyclopsettidae","Citharichthys","stigmaeus"
"Longfin Sanddab","Longfin sanddab","Citharichthys xanthostigma","species","Flatfish","fish","Actinopteri","Pleuronectiformes","Cyclopsettidae","Citharichthys","xanthostigma"
"Pacific Herring","Pacific herring","Clupea pallasii pallasii","species","Coastal pelagics","fish","Actinopteri","Clupeiformes","Clupeidae","Clupea","pallasii pallasii"
"Pacific Saury","Pacific saury","Cololabis saira","species","Coastal pelagics","fish","Actinopteri","Beloniformes","Scomberesocidae","Cololabis","saira"
"Dolphinfish","Dolphinfish","Coryphaena hippurus","species","Tunas + large pelagics","fish","Actinopteri","Carangiformes","Coryphaenidae","Coryphaena","hippurus"
"Shiner Perch","Shiner perch","Cymatogaster aggregata","species",NA,"fish","Actinopteri","Ovalentaria/misc","Embiotocidae","Cymatogaster","aggregata"
"Shortfin Corvina","Shortfin corvina","Cynoscion parvipinnis","species",NA,"fish","Actinopteri","Eupercaria/misc","Sciaenidae","Cynoscion","parvipinnis"
"Orangemouth Corvina","Orangemouth corvina","Cynoscion xanthulus","species",NA,"fish","Actinopteri","Eupercaria/misc","Sciaenidae","Cynoscion","xanthulus"
"Diamond Stingray","Diamond stingray","Dasyatis dipterura","species","Sharks and rays",NA,NA,NA,NA,NA,NA
"Mexican Scad","Mexican scad","Decapterus macarellus","species",NA,"fish","Actinopteri","Carangiformes","Carangidae","Decapterus","macarellus"
"Blackspot Wrasse","Blackspot wrasse","Decodon melasma","species",NA,"fish","Actinopteri","Eupercaria/misc","Labridae","Decodon","melasma"
"Deepsea Sole","Deepsea sole","Embassichthys bathybius","species","Flatfish","fish","Actinopteri","Pleuronectiformes","Pleuronectidae","Embassichthys","bathybius"
"Black Perch","Black perch","Embiotoca jacksoni","species",NA,"fish","Actinopteri","Ovalentaria/misc","Embiotocidae","Embiotoca","jacksoni"
"Striped Seaperch","Striped seaperch","Embiotoca lateralis","species",NA,"fish","Actinopteri","Ovalentaria/misc","Embiotocidae","Embiotoca","lateralis"
"Northern Anchovy","Northern anchovy","Engraulis mordax","species","Coastal pelagics","fish","Actinopteri","Clupeiformes","Engraulidae","Engraulis","mordax"
"Buffalo Sculpin","Buffalo sculpin","Enophrys bison","species",NA,"fish","Actinopteri","Perciformes/Cottoidei","Cottidae","Enophrys","bison"
"Pacific Lamprey","Pacific lamprey","Entosphenus tridentatus","species",NA,"fish","Petromyzonti","Petromyzontiformes","Petromyzontidae","Entosphenus","tridentatus"
"Petrale Sole","Petrale sole","Eopsetta jordani","species","Flatfish","fish","Actinopteri","Pleuronectiformes","Pleuronectidae","Eopsetta","jordani"
"Black Hagfish","Black hagfish","Eptatretus deani","species",NA,"fish","Myxini","Myxiniformes","Myxinidae","Eptatretus","deani"
"Pacific Hagfish","Pacific hagfish","Eptatretus stoutii","species",NA,"fish","Myxini","Myxiniformes","Myxinidae","Eptatretus","stoutii"
"Round Herring","Round herring","Etrumeus acuminatus","species","Coastal pelagics","fish","Actinopteri","Clupeiformes","Dussumieriidae","Etrumeus","acuminatus"
"Black Skipjack","Black skipjack tuna","Euthynnus lineatus","species","Tunas + large pelagics","fish","Actinopteri","Scombriformes","Scombridae","Euthynnus","lineatus"
"Pacific Cod","Pacific cod","Gadus macrocephalus","species","Roundfish","fish","Actinopteri","Gadiformes","Gadidae","Gadus","macrocephalus"
"Soupfin Shark","Soupfin shark","Galeorhinus galeus","species","Sharks and rays","fish","Elasmobranchii","Carcharhiniformes","Triakidae","Galeorhinus","galeus"
"White Croaker","White croaker","Genyonemus lineatus","species",NA,"fish","Actinopteri","Eupercaria/misc","Sciaenidae","Genyonemus","lineatus"
"Spotted Kelpfish","Spotted kelpfish","Gibbonsia elegans","species",NA,"fish","Actinopteri","Blenniiformes","Clinidae","Gibbonsia","elegans"
"Striped Kelpfish","Striped kelpfish","Gibbonsia metzi","species",NA,"fish","Actinopteri","Blenniiformes","Clinidae","Gibbonsia","metzi"
"Crevice Kelpfish","Crevice kelpfish","Gibbonsia montereyensis","species",NA,"fish","Actinopteri","Blenniiformes","Clinidae","Gibbonsia","montereyensis"
"Longjaw Mudsucker","Longjaw mudsucker","Gillichthys mirabilis","species",NA,"fish","Actinopteri","Gobiiformes","Gobiidae","Gillichthys","mirabilis"
"Opaleye","Opaleye","Girella nigricans","species",NA,"fish","Actinopteri","Centrarchiformes","Girellidae","Girella","nigricans"
"Rex Sole","Rex sole","Glyptocephalus zachirus","species","Flatfish","fish","Actinopteri","Pleuronectiformes","Pleuronectidae","Glyptocephalus","zachirus"
"Salmon family","Salmon family",NA,"general","Salmon",NA,NA,NA,NA,NA,NA
"California Moray","California moray eel","Gymnothorax mordax","species",NA,"fish","Actinopteri","Anguilliformes","Muraenidae","Gymnothorax","mordax"
"Cow Shark Family","Cow shark family",NA,"general","Sharks and rays",NA,NA,NA,NA,NA,NA
"Dogfish Shark Family","Dogfish shark family",NA,"general","Sharks and rays",NA,NA,NA,NA,NA,NA
"Mackerel Shark Family","Mackerel shark family",NA,"general","Sharks and rays",NA,NA,NA,NA,NA,NA
"Requiem Shark Family","Requiem shark family",NA,"general","Sharks and rays",NA,NA,NA,NA,NA,NA
"Skate And Ray Order","Skate and ray order",NA,"general","Sharks and rays",NA,NA,NA,NA,NA,NA
"Skate Family","Skate family",NA,"general","Sharks and rays",NA,NA,NA,NA,NA,NA
"Stingray Family","Stingray family",NA,"general","Sharks and rays",NA,NA,NA,NA,NA,NA
"Stingray Genus","Stingray genus",NA,"general","Sharks and rays",NA,NA,NA,NA,NA,NA
"Unidentified (Sharks)","Unidentified (sharks)",NA,"general","Sharks and rays",NA,NA,NA,NA,NA,NA
"Unidentified Inshore Sharks","Unidentified inshore sharks",NA,"general","Sharks and rays",NA,NA,NA,NA,NA,NA
"Unidentified Offshore Sharks","Unidentified offshore sharks",NA,"general","Sharks and rays",NA,NA,NA,NA,NA,NA
"California Butterflyray","California butterflyray","Gymnura marmorata","species","Sharks and rays","fish","Elasmobranchii","Myliobatiformes","Gymnuridae","Gymnura","marmorata"
"Salema","Salema","Haemulon californiensis","species",NA,"fish","Actinopteri","Eupercaria/misc","Haemulidae","Haemulon","californiensis"
"Rock Wrasse","Rock wrasse","Halichoeres semicinctus","species",NA,"fish","Actinopteri","Eupercaria/misc","Labridae","Halichoeres","semicinctus"
"Reef Perch","Reef perch","Helicolenus percoides","species",NA,"fish","Actinopteri","Perciformes/Scorpaenoidei","Sebastidae","Helicolenus","percoides"
"Hookthroat Bass","Hookthroat bass","Hemanthias signifer","species",NA,"fish","Actinopteri","Perciformes/Serranoidei","Serranidae","Hemanthias","signifer"
"Red Irish Lord","Red irish lord","Hemilepidotus hemilepidotus","species",NA,"fish","Actinopteri","Perciformes/Cottoidei","Cottidae","Hemilepidotus","hemilepidotus"
"Brown Irish Lord","Brown irish lord","Hemilepidotus spinosus","species",NA,"fish","Actinopteri","Perciformes/Cottoidei","Cottidae","Hemilepidotus","spinosus"
"Horn Shark","Horn shark","Heterodontus francisci","species","Sharks and rays","fish","Elasmobranchii","Heterodontiformes","Heterodontidae","Heterodontus","francisci"
"Giant Kelpfish","Giant kelpfish","Heterostichus rostratus","species",NA,"fish","Actinopteri","Blenniiformes","Clinidae","Heterostichus","rostratus"
"Kelp Greenling","Kelp greenling","Hexagrammos decagrammus","species","Roundfish","fish","Actinopteri","Perciformes/Cottoidei","Hexagrammidae","Hexagrammos","decagrammus"
"Rock Greenling","Rock greenling","Hexagrammos lagocephalus","species","Roundfish","fish","Actinopteri","Perciformes/Cottoidei","Hexagrammidae","Hexagrammos","lagocephalus"
"Whitespotted Greenling","Whitespotted greenling","Hexagrammos stelleri","species","Roundfish","fish","Actinopteri","Perciformes/Cottoidei","Hexagrammidae","Hexagrammos","stelleri"
"Bluntnose Sixgill Shark","Bluntnose sixgill shark","Hexanchus griseus","species","Sharks and rays","fish","Elasmobranchii","Hexanchiformes","Hexanchidae","Hexanchus","griseus"
"Bigmouth Sole","Bigmouth sole","Hippoglossina stomata","species","Flatfish","fish","Actinopteri","Pleuronectiformes","Paralichthyidae","Hippoglossina","stomata"
"Flathead Sole","Flathead sole","Hippoglossoides elassodon","species","Flatfish","fish","Actinopteri","Pleuronectiformes","Pleuronectidae","Hippoglossoides","elassodon"
"Spotted Ratfish","Spotted ratfish","Hydrolagus colliei","species","Other groundfish","fish","Holocephali","Chimaeriformes","Chimaeridae","Hydrolagus","colliei"
"Spotfin Surfperch","Spotfin surfperch","Hyperprosopon anale","species","Surfperch","fish","Actinopteri","Ovalentaria/misc","Embiotocidae","Hyperprosopon","anale"
"Walleye Surfperch","Walleye surfperch","Hyperprosopon argenteum","species","Surfperch","fish","Actinopteri","Ovalentaria/misc","Embiotocidae","Hyperprosopon","argenteum"
"Silver Surfperch","Silver surfperch","Hyperprosopon ellipticum","species","Surfperch","fish","Actinopteri","Ovalentaria/misc","Embiotocidae","Hyperprosopon","ellipticum"
"Surf Smelt","Surf smelt","Hypomesus pretiosus","species","Coastal pelagics","fish","Actinopteri","Osmeriformes","Osmeridae","Hypomesus","pretiosus"
"Gulf Coney","Gulf coney","Hyporthodus acanthistius","species",NA,"fish","Actinopteri","Perciformes/Serranoidei","Serranidae","Hyporthodus","acanthistius"
"Diamond Turbot","Diamond turbot","Hypsopsetta guttulata","species","Flatfish","fish","Actinopteri","Pleuronectiformes","Pleuronectidae","Hypsopsetta","guttulata"
"Rainbow Seaperch","Rainbow seaperch","Hypsurus caryi","species",NA,"fish","Actinopteri","Ovalentaria/misc","Embiotocidae","Hypsurus","caryi"
"Garibaldi","Garibaldi","Hypsypops rubicundus","species",NA,"fish","Actinopteri","Ovalentaria/misc","Pomacentridae","Hypsypops","rubicundus"
"Spotfin Sculpin","Spotfin sculpin","Icelinus tenuis","species",NA,"fish","Actinopteri","Perciformes/Cottoidei","Cottidae","Icelinus","tenuis"
"Butter Sole","Butter sole","Isopsetta isolepis","species","Flatfish","fish","Actinopteri","Pleuronectiformes","Pleuronectidae","Isopsetta","isolepis"
"Tunas (Non-Mackerel)","Tunas (non-mackerel)",NA,"general","Tunas + large pelagics",NA,NA,NA,NA,NA,NA
"Shortfin Mako Shark","Shortfin mako shark","Isurus oxyrinchus","species","Sharks and rays","fish","Elasmobranchii","Lamniformes","Lamnidae","Isurus","oxyrinchus"
"Zebraperch","Zebraperch","Kyphosus azureus","species",NA,"fish","Actinopteri","Centrarchiformes","Kyphosidae","Kyphosus","azureus"
"Salmon Shark","Salmon shark","Lamna ditropis","species","Sharks and rays","fish","Elasmobranchii","Lamniformes","Lamnidae","Lamna","ditropis"
"Abalone Genus","Abalone genus",NA,"general","Invertebrate",NA,NA,NA,NA,NA,NA
"Anchovy Family","Anchovy family",NA,"general","Coastal pelagics",NA,NA,NA,NA,NA,NA
"Anchovy Genus","Anchovy genus",NA,"general","Coastal pelagics",NA,NA,NA,NA,NA,NA
"Billfish Family","Billfish family",NA,"general","Tunas + large pelagics",NA,NA,NA,NA,NA,NA
"Bivalve Class","Bivalve class",NA,"general",NA,NA,NA,NA,NA,NA,NA
"Bottomfish (Groundfish)","Bottomfish (groundfish)",NA,"general",NA,NA,NA,NA,NA,NA,NA
"Butterfish Family","Butterfish family",NA,"general",NA,NA,NA,NA,NA,NA,NA
"Cancer Genus","Cancer genus",NA,"general","Crabs",NA,NA,NA,NA,NA,NA
"Clinid Family","Clinid family",NA,"general",NA,NA,NA,NA,NA,NA,NA
"Cod Family","Cod family",NA,"general",NA,NA,NA,NA,NA,NA,NA
"Combtooth Blenny Family","Combtooth blenny family",NA,"general",NA,NA,NA,NA,NA,NA,NA
"Crustacean Subphylum","Crustacean subphylum",NA,"general",NA,NA,NA,NA,NA,NA,NA
"Cusk Eel Family","Cusk eel family",NA,"general",NA,NA,NA,NA,NA,NA,NA
"Drum Family","Drum family",NA,"general",NA,NA,NA,NA,NA,NA,NA
"Eel Order","Eel order",NA,"general",NA,NA,NA,NA,NA,NA,NA
"Eelpout Family","Eelpout family",NA,"general",NA,NA,NA,NA,NA,NA,NA
"Flatfish Order","Flatfish order",NA,"general","Flatfish",NA,NA,NA,NA,NA,NA
"Flyingfish Family","Flyingfish family",NA,"general",NA,NA,NA,NA,NA,NA,NA
"Goby Family","Goby family",NA,"general",NA,NA,NA,NA,NA,NA,NA
"Greenling Family","Greenling family",NA,"general","Roundfish",NA,NA,NA,NA,NA,NA
"Greenling Genus","Greenling genus",NA,"general","Roundfish",NA,NA,NA,NA,NA,NA
"Grouper Genus (Epinephelus)","Grouper genus (epinephelus)",NA,"general",NA,NA,NA,NA,NA,NA,NA
"Grunt Family","Grunt family",NA,"general",NA,NA,NA,NA,NA,NA,NA
"Guitarfish Family","Guitarfish family",NA,"general",NA,NA,NA,NA,NA,NA,NA
"Hagfish Order","Hagfish order",NA,"general",NA,NA,NA,NA,NA,NA,NA
"Herring Family","Herring family",NA,"general","Coastal pelagics",NA,NA,NA,NA,NA,NA
"Irish Lord Genus","Irish lord genus",NA,"general",NA,NA,NA,NA,NA,NA,NA
"Jack Family","Jack family",NA,"general",NA,NA,NA,NA,NA,NA,NA
"Lefteye Flounder Family","Lefteye flounder family",NA,"general","Flatfish",NA,NA,NA,NA,NA,NA
"Lizardfish Family","Lizardfish family",NA,"general",NA,NA,NA,NA,NA,NA,NA
"Mackerel Family","Mackerel family",NA,"general","Coastal pelagics",NA,NA,NA,NA,NA,NA
"Midshipman Genus","Midshipman genus",NA,"general",NA,NA,NA,NA,NA,NA,NA
"Mola Family","Mola family",NA,"general","Tunas + large pelagics",NA,NA,NA,NA,NA,NA
"Mollusk Phylum","Mollusk phylum",NA,"general","Invertebrate",NA,NA,NA,NA,NA,NA
"Octopus Order","Octopus order",NA,"general","Invertebrate",NA,NA,NA,NA,NA,NA
"Perch Family","Perch family",NA,"general",NA,NA,NA,NA,NA,NA,NA
"Pipefish Family","Pipefish family",NA,"general",NA,NA,NA,NA,NA,NA,NA
"Pomfret Family","Pomfret family",NA,"general",NA,NA,NA,NA,NA,NA,NA
"Prickleback Family","Prickleback family",NA,"general",NA,NA,NA,NA,NA,NA,NA
"Puffer Family","Puffer family",NA,"general",NA,NA,NA,NA,NA,NA,NA
"Righteye Flounder Family","Righteye flounder family",NA,"general","Flatfish",NA,NA,NA,NA,NA,NA
"Ronquil Family","Ronquil family",NA,"general",NA,NA,NA,NA,NA,NA,NA
"Sablefish Family","Sablefish family",NA,"general","Roundfish",NA,NA,NA,NA,NA,NA
"Sandbass Genus","Sandbass genus",NA,"general",NA,NA,NA,NA,NA,NA,NA
"Scorpionfish Family","Scorpionfish family",NA,"general",NA,NA,NA,NA,NA,NA,NA
"Sculpin Family","Sculpin family",NA,"general",NA,NA,NA,NA,NA,NA,NA
"Sea Bass Family","Sea bass family",NA,"general",NA,NA,NA,NA,NA,NA,NA
"Sea Chub Family","Sea chub family",NA,"general",NA,NA,NA,NA,NA,NA,NA
"Sea Cucumber Class","Sea cucumber class",NA,"general",NA,NA,NA,NA,NA,NA,NA
"Sea Run Trouts","Sea run trouts",NA,"general",NA,NA,NA,NA,NA,NA,NA
"Sea Urchin Family","Sea urchin family",NA,"general","Invertebrate",NA,NA,NA,NA,NA,NA
"Silverside Family","Silverside family",NA,"general","Coastal pelagics",NA,NA,NA,NA,NA,NA
"Smelt Family","Smelt family",NA,"general","Coastal pelagics",NA,NA,NA,NA,NA,NA
"Smoothhound Genus","Smoothhound genus",NA,"general",NA,NA,NA,NA,NA,NA,NA
"Snake Eel Family","Snake eel family",NA,"general",NA,NA,NA,NA,NA,NA,NA
"Squid Class","Squid class",NA,"general","Coastal pelagics",NA,NA,NA,NA,NA,NA
"Stickleback Family","Stickleback family",NA,"general",NA,NA,NA,NA,NA,NA,NA
"Sturgeon Genus","Sturgeon genus",NA,"general",NA,NA,NA,NA,NA,NA,NA
"Sunfish Family","Sunfish family",NA,"general",NA,NA,NA,NA,NA,NA,NA
"Surfperch Family","Surfperch family",NA,"general","Surfperch",NA,NA,NA,NA,NA,NA
"Unidentified (Surface Fish)","Unidentified (surface fish)",NA,"general",NA,NA,NA,NA,NA,NA,NA
"Unidentified Fish","Unidentified fish",NA,"general",NA,NA,NA,NA,NA,NA,NA
"Wrasse Family","Wrasse family",NA,"general",NA,NA,NA,NA,NA,NA,NA
"Opah","Opah","Lampris guttatus","species",NA,"fish","Actinopteri","Lampriformes","Lampridae","Lampris","guttatus"
"Bay Goby","Bay goby","Lepidogobius lepidus","species",NA,"fish","Actinopteri","Gobiiformes","Gobiidae","Lepidogobius","lepidus"
"Pacific Staghorn Sculpin","Pacific staghorn sculpin","Leptocottus armatus","species",NA,"fish","Actinopteri","Perciformes/Cottoidei","Cottidae","Leptocottus","armatus"
"California Grunion","California grunion","Leuresthes tenuis","species",NA,"fish","Actinopteri","Atheriniformes","Atherinopsidae","Leuresthes","tenuis"
"Slender Sole","Slender sole","Lyopsetta exilis","species","Flatfish","fish","Actinopteri","Pleuronectiformes","Pleuronectidae","Lyopsetta","exilis"
"Blue Marlin","Blue marlin","Makaira nigricans","species","Tunas + large pelagics","fish","Actinopteri","Carangiformes","Istiophoridae","Makaira","nigricans"
"Halfmoon","Halfmoon","Medialuna californiensis","species",NA,"fish","Actinopteri","Centrarchiformes","Scorpididae","Medialuna","californiensis"
"California Corbina","California corbina","Menticirrhus undulatus","species",NA,"fish","Actinopteri","Eupercaria/misc","Sciaenidae","Menticirrhus","undulatus"
"Pacific Hake","Pacific hake","Merluccius productus","species","Roundfish","fish","Actinopteri","Gadiformes","Merlucciidae","Merluccius","productus"
"Graceful Rock Crab","Graceful rock crab","Metacarcinus gracilis","species","Crabs",NA,NA,NA,NA,NA,NA
"Dungeness Crab","Dungeness crab","Metacarcinus magister","species","Crabs","invert","Malacostraca","Decapoda","Cancridae","Metacarcinus","magister"
"Pacific Tomcod","Pacific tomcod","Microgadus proximus","species",NA,"fish","Actinopteri","Gadiformes","Gadidae","Microgadus","proximus"
"Dwarf Perch","Dwarf perch","Micrometrus minimus","species",NA,"fish","Actinopteri","Ovalentaria/misc","Embiotocidae","Micrometrus","minimus"
"Dover Sole","Dover sole","Microstomus pacificus","species","Flatfish","fish","Actinopteri","Pleuronectiformes","Pleuronectidae","Microstomus","pacificus"
"Ocean Sunfish","Ocean sunfish","Mola mola","species","Tunas + large pelagics","fish","Actinopteri","Tetraodontiformes","Molidae","Mola","mola"
"Striped Bass","Striped bass","Morone saxatilis","species",NA,"fish","Actinopteri","Eupercaria/misc","Moronidae","Morone","saxatilis"
