"comm_name_orig","comm_name","sci_name","level","category","type","class","order","family","genus","species"
"Popeye Catalufa","Popeye catalufa","Pristigenys serrula","species",NA,"fish","Actinopteri","Eupercaria/misc","Priacanthidae","Pristigenys","serrula"
"Threadfin Bass","Threadfin bass","Pronotogrammus multifasciatus","species",NA,"fish","Actinopteri","Perciformes/Serranoidei","Serranidae","Pronotogrammus","multifasciatus"
"Sand Sole","Sand sole","Psettichthys melanostictus","species","Flatfish","fish","Actinopteri","Pleuronectiformes","Pleuronectidae","Psettichthys","melanostictus"
"Shovelnose Guitarfish","Shovelnose guitarfish","Pseudobatos productus","species",NA,"fish","Elasmobranchii","Rhinopristiformes","Rhinobatidae","Pseudobatos","productus"
"Pelagic Stingray","Pelagic stingray","Pteroplatytrygon violacea","species","Sharks and rays","fish","Elasmobranchii","Myliobatiformes","Dasyatidae","Pteroplatytrygon","violacea"
"Thornback","Thornback skate","Raja clavata","species","Sharks and rays","fish","Elasmobranchii","Rajiformes","Rajidae","Raja","clavata"
"Starry Skate","Starry skate","Raja stellulata","species","Sharks and rays",NA,NA,NA,NA,NA,NA
"Bluebanded Ronquil","Bluebanded ronquil","Rathbunella hypoplecta","species",NA,"fish","Actinopteri","Perciformes/Zoarcoidei","Bathymasteridae","Rathbunella","hypoplecta"
"Rubberlip Seaperch","Rubberlip seaperch","Rhacochilus toxotes","species",NA,"fish","Actinopteri","Ovalentaria/misc","Embiotocidae","Rhacochilus","toxotes"
"Pile Perch","Pile perch","Rhacochilus vacca","species",NA,"fish","Actinopteri","Ovalentaria/misc","Embiotocidae","Rhacochilus","vacca"
"Spotfin Croaker","Spotfin croaker","Roncador stearnsii","species",NA,"fish","Actinopteri","Eupercaria/misc","Sciaenidae","Roncador","stearnsii"
"Northern Ronquil","Northern ronquil","Ronquilus jordani","species",NA,"fish","Actinopteri","Perciformes/Zoarcoidei","Bathymasteridae","Ronquilus","jordani"
"Arctic Char","Arctic char","Salvelinus alpinus","species",NA,"fish","Actinopteri","Salmoniformes","Salmonidae","Salvelinus","alpinus"
"Pacific Bonito","Pacific bonito","Sarda chiliensis","species","Tunas + large pelagics","fish","Actinopteri","Scombriformes","Scombridae","Sarda","chiliensis"
"Pacific Sardine","Pacific sardine","Sardinops sagax","species","Coastal pelagics","fish","Actinopteri","Clupeiformes","Clupeidae","Sardinops","sagax"
