"comm_name_orig","comm_name","sci_name","level"
"Abalone Genus","Abalone genus",NA,"general"
"Albacore","Albacore tuna","Thunnus alalunga","species"
"American Shad","American shad","Alosa sapidissima","species"
"Anchovy Family","Anchovy family",NA,"general"
"Anchovy Genus","Anchovy genus",NA,"general"
"Arctic Char","Arctic char",NA,"species"
"Arrowtooth Flounder","Arrowtooth flounder","Atheresthes stomias","species"
"Banded Guitarfish","Banded guitarfish",NA,"species"
"Bank Rockfish","Bank rockfish","Sebastes rufus","species"
"Barred Sandbass","Barred sand bass","Paralabrax nebulifer","species"
"Barred Surfperch","Barred surfperch","Amphistichus argenteus","species"
"Bat Ray","Bat ray","Myliobatis californica","species"
"Bay Goby","Bay goby",NA,"species"
"Bay Pipefish","Bay pipefish",NA,"species"
"Big Skate","Big skate","Beringraja binoculata","species"
"Bigmouth Sole","Bigmouth sole","Hippoglossina stomata","species"
"Billfish Family","Billfish family",NA,"general"
"Bivalve Class","Bivalve class",NA,"general"
"Black And Yellow Rockfish","Black-and-yellow rockfish","Sebastes chrysomelas","species"
"Black Croaker","Black croaker","Cheilotrema saturnum","species"
"Black Hagfish","Black hagfish","Eptatretus deani","species"
"Black Perch","Black perch",NA,"species"
"Black Prickleback","Black prickleback",NA,"species"
"Black Rockfish","Black rockfish","Sebastes melanops","species"
"Black Skipjack","Black skipjack tuna","Euthynnus lineatus","species"
"Blacksmith","Blacksmith","Chromis punctipinnis","species"
"Blackspot Wrasse","Blackspot wrasse",NA,"species"
"Blue Marlin","Blue marlin","Makaira nigricans","species"
"Blue Rockfish","Blue rockfish","Sebastes mystinus","species"
"Blue Shark","Blue shark","Prionace glauca","species"
"Bluebanded Ronquil","Bluebanded ronquil",NA,"species"
"Bluefin Tuna","Bluefin tuna","Thunnus thynnus","species"
"Bluntnose Sixgill Shark","Bluntnose sixgill shark",NA,"species"
"Bocaccio","Bocaccio rockfish","Sebastes paucispinis","species"
"Bonefish","Bonefish",NA,"species"
"Bonehead Sculpin","Bonehead sculpin",NA,"species"
"Bottomfish (Groundfish)","Bottomfish (groundfish)",NA,"species"
"Bronzespotted Rockfish","Bronzespotted rockfish","Sebastes gilli","species"
"Broomtail Grouper","Broomtail grouper","Mycteroperca xenarcha","species"
"Brown Irish Lord","Brown irish lord","Hemilepidotus spinosus","species"
"Brown Rock Crab","Brown rock crab","Cancer antennarius","species"
"Brown Rockfish","Brown rockfish","Sebastes auriculatus","species"
"Brown Smoothhound","Brown smoothhound shark","Mustelus henlei","species"
"Buffalo Sculpin","Buffalo sculpin","Enophrys bison","species"
"Bull Sculpin","Bull sculpin",NA,"species"
"Bullet Mackerel","Bullet mackerel","Auxis rochei","species"
"Butter Sole","Butter sole","Isopsetta isolepis","species"
"Butterfish Family","Butterfish family",NA,"general"
