"comm_name_orig","comm_name","sci_name","level"
"C-O Sole","C-O sole","Pleuronichthys coenosus","species"
"Cabezon","Cabezon","Scorpaenichthys marmoratus","species"
"Calico Rockfish","Calico rockfish","Sebastes dallii","species"
"Calico Surfperch","Calico surfperch","Amphistichus koelzi","species"
"California Butterflyray","California butterflyray",NA,"species"
"California Corbina","California corbina","Menticirrhus undulatus","species"
"California Flyingfish","California flyingfish",NA,"species"
"California Grunion","California grunion","Leuresthes tenuis","species"
"California Halibut","California halibut","Paralichthys californicus","species"
"California Lizardfish","California lizardfish","Synodus lucioceps","species"
"California Moray","California moray eel","Gymnothorax mordax","species"
"California Needlefish","California needlefish","Strongylura exilis","species"
"California Scorpionfish","California scorpionfish","Scorpaena guttata","species"
"California Sheephead","California sheephead","Semicossyphus pulcher","species"
"California Skate","California skate","Beringraja inornata","species"
"Canary Rockfish","Canary rockfish","Sebastes pinniger","species"
"Cancer Genus","Cancer genus",NA,"general"
"Chameleon Goby","Chameleon goby",NA,"species"
"Chameleon Rockfish","Chameleon rockfish","Sebastes phillipsi","species"
"Chilipepper","Chilipepper rockfish","Sebastes goodei","species"
"China Rockfish","China rockfish","Sebastes nebulosus","species"
"Clinid Family","Clinid family",NA,"general"
"Cod Family","Cod family",NA,"general"
"Combtooth Blenny Family","Combtooth blenny family",NA,"general"
"Copper Rockfish","Copper rockfish","Sebastes caurinus","species"
"Cow Shark Family","Cow shark family",NA,"general"
"Cowcod","Cowcod rockfish","Sebastes levis","species"
"Crevice Kelpfish","Crevice kelpfish",NA,"species"
"Crustacean Subphylum","Crustacean subphylum",NA,"species"
"Curlfin Sole","Curlfin sole","Pleuronichthys decurrens","species"
"Cusk Eel Family","Cusk eel family",NA,"general"
"Darkblotched Rockfish","Darkblotched rockfish","Sebastes crameri","species"
"Deacon Rockfish","Deacon rockfish","Sebastes diaconus","species"
"Deacon/Blue Rockfish Unknown","Deacon/blue rockfish unknown",NA,"general"
"Deepbody Anchovy","Deepbody anchovy","Anchoa compressa","species"
"Deepsea Sole","Deepsea sole","Embassichthys bathybius","species"
"Deepwater Serrano","Deepwater serrano",NA,"species"
"Diamond Stingray","Diamond stingray",NA,"species"
"Diamond Turbot","Diamond turbot","Hypsopsetta guttulata","species"
"Dogfish Shark Family","Dogfish shark family",NA,"general"
"Dolphinfish","Dolphinfish",NA,"species"
"Dover Sole","Dover sole","Microstomus pacificus","species"
"Drum Family","Drum family",NA,"general"
"Dungeness Crab","Dungeness crab","Metacarcinus magister","species"
"Dwarf Perch","Dwarf perch",NA,"species"
"Eel Order","Eel order",NA,"general"
"Eelpout Family","Eelpout family",NA,"general"
"English Sole","English sole","Parophrys vetulus","species"
"Eulachon","Eulachon","Thaleichthys pacificus","species"
"Fantail Sole","Fantail sole","Xystreurys liolepis","species"
"Finescale Triggerfish","Finescale triggerfish",NA,"species"
"Flag Rockfish","Flag rockfish","Sebastes rubrivinctus","species"
"Flatfish Order","Flatfish order",NA,"general"
"Flathead Sole","Flathead sole","Hippoglossoides elassodon","species"
"Flyingfish Family","Flyingfish family",NA,"general"
"Freckled Rockfish","Freckled rockfish","Sebastes lentiginosus","species"
"Frigate Mackerel","Frigate mackerel",NA,"species"
"Garibaldi","Garibaldi","Hypsypops rubicundus","species"
"Giant Kelpfish","Giant kelpfish","Heterostichus rostratus","species"
"Giant Seabass","Giant sea bass","Stereolepis gigas","species"
"Goby Family","Goby family",NA,"general"
"Gopher Rockfish","Gopher rockfish","Sebastes carnatus","species"
"Graceful Rock Crab","Graceful rock crab",NA,"species"
"Grass Rockfish","Grass rockfish","Sebastes rastrelliger","species"
"Gray Smoothhound","Gray smoothhound shark","Mustelus californicus","species"
"Green Sturgeon","Green sturgeon","Acipenser medirostris","species"
"Greenblotched Rockfish","Greenblotched rockfish","Sebastes rosenblatti","species"
"Greenling Family","Greenling family",NA,"general"
"Greenling Genus","Greenling genus",NA,"general"
"Greenspotted Rockfish","Greenspotted rockfish","Sebastes chlorostictus","species"
"Greenstriped Rockfish","Greenstriped rockfish","Sebastes elongatus","species"
"Grouper Genus (Epinephelus)","Grouper genus (epinephelus)",NA,"general"
"Grunt Family","Grunt family",NA,"general"
"Guitarfish Family","Guitarfish family",NA,"general"
"Gulf Coney","Gulf coney",NA,"species"
"Hagfish Order","Hagfish order",NA,"general"
"Halfbanded Rockfish","Halfbanded rockfish","Sebastes semicinctus","species"
"Halfmoon","Halfmoon","Medialuna californiensis","species"
"Herring Family","Herring family",NA,"general"
"Honeycomb Rockfish","Honeycomb rockfish","Sebastes umbrosus","species"
"Hookthroat Bass","Hookthroat bass",NA,"species"
"Horn Shark","Horn shark","Heterodontus francisci","species"
"Hornyhead Turbot","Hornyhead turbot","Pleuronichthys verticalis","species"
"Irish Lord Genus","Irish lord genus",NA,"general"
"Jack Family","Jack family",NA,"general"
"Jack Mackerel","Jack mackerel","Trachurus symmetricus","species"
"Jacksmelt","Jacksmelt","Atherinopsis californiensis","species"
"Kelp Bass","Kelp bass","Paralabrax clathratus","species"
"Kelp Greenling","Kelp greenling","Hexagrammos decagrammus","species"
"Kelp Perch","Kelp perch",NA,"species"
"Kelp Rockfish","Kelp rockfish","Sebastes atrovirens","species"
"Lefteye Flounder Family","Lefteye flounder family",NA,"general"
"Leopard Shark","Leopard shark","Triakis semifasciata","species"
"Lingcod","Lingcod","Ophiodon elongatus","species"
"Lizardfish Family","Lizardfish family",NA,"general"
"Longfin Sanddab","Longfin sanddab","Citharichthys xanthostigma","species"
"Longjaw Mudsucker","Longjaw mudsucker","Gillichthys mirabilis","species"
"Longnose Lancetfish","Longnose lancetfish",NA,"species"
"Longnose Skate","Longnose skate","Beringraja rhina","species"
"Longspine Combfish","Longspine combfish",NA,"species"
"Longspine Thornyhead","Longspine thornyhead","Sebastolobus altivelis","species"
"Lumptail Searobin","Lumptail searobin",NA,"species"
"Mackerel Family","Mackerel family",NA,"general"
"Mackerel Shark Family","Mackerel shark family",NA,"general"
"Mexican Rockfish","Mexican rockfish","Sebastes macdonaldi","species"
"Mexican Scad","Mexican scad",NA,"species"
"Midshipman Genus","Midshipman genus",NA,"general"
"Mola Family","Mola family",NA,"general"
"Mollusk Phylum","Mollusk phylum",NA,"species"
"Monkeyface Prickleback","Monkeyface prickleback","Cebidichthys violaceus","species"
"Night Smelt","Night smelt","Spirinchus starksi","species"
"Northern Anchovy","Northern anchovy","Engraulis mordax","species"
"Northern Ronquil","Northern ronquil",NA,"species"
"Ocean Sunfish","Ocean sunfish","Mola mola","species"
"Ocean Whitefish","Ocean whitefish","Caulolatilus princeps","species"
"Octopus Order","Octopus order",NA,"general"
"Olive Rockfish","Olive rockfish","Sebastes serranoides","species"
"Onespot Fringehead","Onespot fringehead",NA,"species"
"Opah","Opah","Lampris guttatus","species"
"Opaleye","Opaleye","Girella nigricans","species"
"Orangemouth Corvina","Orangemouth corvina",NA,"species"
"Pacific (Chub) Mackerel","Pacific (chub) mackerel",NA,"species"
"Pacific Angel Shark","Pacific angel shark","Squatina californica","species"
"Pacific Argentine","Pacific argentine",NA,"species"
"Pacific Barracuda","Pacific barracuda","Sphyraena argentea","species"
"Pacific Bonito","Pacific bonito","Sarda chiliensis","species"
"Pacific Cod","Pacific cod","Gadus macrocephalus","species"
"Pacific Electric Ray","Pacific electric ray","Tetronarce californica","species"
"Pacific Golden-Eyed Tilefish","Pacific golden-eyed tilefish",NA,"species"
"Pacific Hagfish","Pacific hagfish","Eptatretus stoutii","species"
"Pacific Hake","Pacific hake",NA,"species"
"Pacific Herring","Pacific herring","Clupea pallasii pallasii","species"
"Pacific Lamprey","Pacific lamprey","Entosphenus tridentatus","species"
"Pacific Ocean Perch","Pacific ocean perch rockfish","Sebastes alutus","species"
"Pacific Pomfret","Pacific pomfret","Brama japonica","species"
"Pacific Pompano (Butterfish)","Pacific pompano (butterfish)","Peprilus simillimus","species"
"Pacific Sand Lance","Pacific sand lance",NA,"species"
"Pacific Sanddab","Pacific sanddab","Citharichthys sordidus","species"
"Pacific Sardine","Pacific sardine","Sardinops sagax","species"
"Pacific Saury","Pacific saury","Cololabis saira","species"
"Pacific Staghorn Sculpin","Pacific staghorn sculpin",NA,"species"
"Pacific Tomcod","Pacific tomcod","Microgadus proximus","species"
"Pacific Worm Eel","Pacific worm eel",NA,"species"
"Painted Greenling","Painted greenling",NA,"species"
"Pelagic Stingray","Pelagic stingray",NA,"species"
"Perch Family","Perch family",NA,"general"
"Petrale Sole","Petrale sole","Eopsetta jordani","species"
"Pile Perch","Pile perch",NA,"species"
"Pink Seaperch","Pink seaperch",NA,"species"
"Pinkrose Rockfish","Pinkrose rockfish","Sebastes simulator","species"
"Pipefish Family","Pipefish family",NA,"general"
"Plainfin Midshipman","Plainfin midshipman","Porichthys notatus","species"
"Pomfret Family","Pomfret family",NA,"general"
"Popeye Catalufa","Popeye catalufa",NA,"species"
"Prickleback Family","Prickleback family",NA,"general"
"Prowfish","Prowfish","Zaprora silenus","species"
"Puffer Family","Puffer family",NA,"general"
"Queenfish","Queenfish","Seriphus politus","species"
"Quillback Rockfish","Quillback rockfish","Sebastes maliger","species"
"Rainbow Seaperch","Rainbow seaperch",NA,"species"
"Red Brotula","Red brotula",NA,"species"
"Red Irish Lord","Red irish lord","Hemilepidotus hemilepidotus","species"
"Red Rock Crab","Red rock crab","Cancer productus","species"
"Redbanded Rockfish","Redbanded rockfish","Sebastes babcocki","species"
"Redstripe Rockfish","Redstripe rockfish","Sebastes proriger","species"
"Redtail Surfperch","Redtail surfperch","Amphistichus rhodoterus","species"
"Reef Perch","Reef perch",NA,"species"
"Requiem Shark Family","Requiem shark family",NA,"general"
"Rex Sole","Rex sole","Glyptocephalus zachirus","species"
"Righteye Flounder Family","Righteye flounder family",NA,"general"
"Rock Greenling","Rock greenling","Hexagrammos lagocephalus","species"
"Rock Prickleback","Rock prickleback",NA,"species"
"Rock Sole","Rock sole","Paraplagusia bilineata","species"
"Rock Wrasse","Rock wrasse","Halichoeres semicinctus","species"
"Rockfish Genus","Rockfish genus",NA,"general"
"Rockpool Blenny","Rockpool blenny",NA,"species"
"Rockweed Gunnel","Rockweed gunnel",NA,"species"
"Ronquil Family","Ronquil family",NA,"general"
"Rosethorn Rockfish","Rosethorn rockfish","Sebastes helvomaculatus","species"
"Rosy Rockfish","Rosy rockfish","Sebastes rosaceus","species"
"Round Herring","Round herring","Etrumeus acuminatus","species"
"Round Stingray","Round stingray",NA,"species"
"Rubberlip Seaperch","Rubberlip seaperch",NA,"species"
"Sablefish","Sablefish","Anoplopoma fimbria","species"
"Sablefish Family","Sablefish family",NA,"general"
"Salema","Salema","Haemulon californiensis","species"
"Salmon Shark","Salmon shark","Lamna ditropis","species"
"Sand Sole","Sand sole","Psettichthys melanostictus","species"
"Sandbass Genus","Sandbass genus",NA,"general"
"Sanddab Genus","Sanddab genus",NA,"general"
"Sarcastic Fringehead","Sarcastic fringehead",NA,"species"
"Sargo","Sargo","Anisotremus davidsonii","species"
"Scissortail Sculpin","Scissortail sculpin",NA,"species"
"Scorpionfish Family","Scorpionfish family",NA,"general"
"Sculpin Family","Sculpin family",NA,"general"
"Sea Bass Family","Sea bass family",NA,"general"
"Sea Chub Family","Sea chub family",NA,"general"
"Sea Cucumber Class","Sea cucumber class",NA,"general"
"Sea Run Trouts","Sea run trouts",NA,"species"
"Sea Urchin Family","Sea urchin family",NA,"general"
"Senorita","Senorita","Oxyjulis californica","species"
"Seven Gill Shark","Sevengill shark","Notorynchus cepedianus","species"
"Sharpnose Seaperch","Sharpnose seaperch",NA,"species"
"Shiner Perch","Shiner perch",NA,"species"
"Shortbelly Rockfish","Shortbelly rockfish","Sebastes jordani","species"
"Shortfin Corvina","Shortfin corvina","Cynoscion parvipinnis","species"
"Shortfin Mako Shark","Shortfin mako shark","Isurus oxyrinchus","species"
"Shortspine Combfish","Shortspine combfish",NA,"species"
"Shortspine Thornyhead","Shortspine thornyhead","Sebastolobus alascanus","species"
"Shovelnose Guitarfish","Shovelnose guitarfish","Pseudobatos productus","species"
"Sicklefin Smoothhound","Sicklefin smoothhound",NA,"species"
"Silver Spotted Sculpin","Silver spotted sculpin",NA,"species"
"Silver Surfperch","Silver surfperch","Hyperprosopon ellipticum","species"
"Silvergray Rockfish","Silvergray rockfish","Sebastes brevispinis","species"
"Silverside Family","Silverside family",NA,"general"
"Skate And Ray Order","Skate and ray order",NA,"general"
"Skate Family","Skate family",NA,"general"
"Slender Sole","Slender sole","Lyopsetta exilis","species"
"Smelt Family","Smelt family",NA,"general"
"Smooth Hammerhead Shark","Smooth hammerhead shark","Sphyrna zygaena","species"
"Smoothhead Sculpin","Smoothhead sculpin",NA,"species"
"Smoothhound Genus","Smoothhound genus",NA,"general"
"Snake Eel Family","Snake eel family",NA,"general"
"Soupfin Shark","Soupfin shark","Galeorhinus galeus","species"
"Speckled Rockfish","Speckled rockfish","Sebastes ovalis","species"
"Speckled Sanddab","Speckled sanddab","Citharichthys stigmaeus","species"
"Specklefin Midshipman","Specklefin midshipman",NA,"species"
"Spiny Dogfish Shark","Spiny dogfish shark","Squalus acanthias","species"
"Spiny Lobster","Spiny lobster",NA,"species"
"Spotfin Croaker","Spotfin croaker",NA,"species"
"Spotfin Sculpin","Spotfin sculpin",NA,"species"
"Spotfin Surfperch","Spotfin surfperch",NA,"species"
"Spotted Kelpfish","Spotted kelpfish",NA,"species"
"Spotted Ratfish","Spotted ratfish","Hydrolagus colliei","species"
"Spotted Sandbass","Spotted sand bass","Paralabrax maculatofasciatus","species"
"Spotted Turbot","Spotted turbot","Pleuronichthys ritteri","species"
"Squarespot Rockfish","Squarespot rockfish","Sebastes hopkinsi","species"
"Squid Class","Squid class",NA,"general"
"Starry Flounder","Starry flounder","Platichthys stellatus","species"
"Starry Rockfish","Starry rockfish","Sebastes constellatus","species"
"Starry Skate","Starry skate","Raja stellulata","species"
"Stickleback Family","Stickleback family",NA,"general"
"Stingray Family","Stingray family",NA,"general"
"Stingray Genus","Stingray genus",NA,"general"
"Striped Bass","Striped bass","Morone saxatilis","species"
"Striped Kelpfish","Striped kelpfish",NA,"species"
"Striped Mullet","Striped mullet","Mugil cephalus","species"
"Striped Seaperch","Striped seaperch","Embiotoca lateralis","species"
"Stripetail Rockfish","Stripetail rockfish","Sebastes saxicola","species"
"Sturgeon Genus","Sturgeon genus",NA,"general"
"Sunfish Family","Sunfish family",NA,"general"
"Surf Smelt","Surf smelt","Hypomesus pretiosus","species"
"Surfperch Family","Surfperch family",NA,"general"
"Swell Shark","Swell shark","Cephaloscyllium ventriosum","species"
"Swordspine Rockfish","Swordspine rockfish","Sebastes ensifer","species"
"Thornback","Thornback skate","Raja clavata","species"
"Threadfin Bass","Threadfin bass",NA,"species"
"Thresher Shark","Thresher shark",NA,"species"
"Tiger Rockfish","Tiger rockfish","Sebastes nigrocinctus","species"
"Topsmelt","Topsmelt","Atherinops affinis","species"
"Treefish","Treefish rockfish","Sebastes serriceps","species"
"True Crabs","True crabs",NA,"species"
"Tunas (Non-Mackerel)","Tunas (non-mackerel)",NA,"species"
"Unidentified (Sharks)","Unidentified (sharks)",NA,"general"
"Unidentified (Surface Fish)","Unidentified (surface fish)",NA,"general"
"Unidentified Fish","Unidentified fish",NA,"general"
"Unidentified Inshore Sharks","Unidentified inshore sharks",NA,"general"
"Unidentified Offshore Sharks","Unidentified offshore sharks",NA,"general"
"Vermilion Rockfish","Vermilion rockfish","Sebastes miniatus","species"
"Walleye Surfperch","Walleye surfperch","Hyperprosopon argenteum","species"
"Warty Poacher","Warty poacher",NA,"species"
"White Croaker","White croaker","Genyonemus lineatus","species"
"White Seabass","White seabass","Atractoscion nobilis","species"
"White Seaperch","White seaperch",NA,"species"
"White Sturgeon","White sturgeon","Acipenser transmontanus","species"
"Whitespotted Greenling","Whitespotted greenling",NA,"species"
"Widow Rockfish","Widow rockfish","Sebastes entomelas","species"
"Wolf-Eel","Wolf eel","Anarrhichthys ocellatus","species"
"Wrasse Family","Wrasse family",NA,"general"
"Yelllow Rock Crab","Yellow rock crab","Cancer anthonyi","species"
"Yellow Snake Eel","Yellow snake eel",NA,"species"
"Yelloweye Rockfish","Yelloweye rockfish","Sebastes ruberrimus","species"
"Yellowfin Croaker","Yellowfin croaker","Umbrina roncador","species"
"Yellowfin Goby","Yellowfin goby","Acanthogobius flavimanus","species"
"Yellowmouth Rockfish","Yellowmouth rockfish","Sebastes reedi","species"
"Yellowtail","Yellowtail","Seriola lalandi","species"
"Yellowtail Rockfish","Yellowtail rockfish","Sebastes flavidus","species"
"Zebraperch","Zebraperch","Kyphosus azureus","species"
