"year","filename","X","X.1","X.2","X.3","X.4","X.5","P..Hueneme","X.6","X.7","X.8","X.9","X.10","X.11","X.12"
2004,"landings04_cpfv2.pdf","S. Diego","Oceanside","",NA,"Seal Bch","Redondo","Oxnard/ Southern","",NA,"Monterey","Princeton","S.Fran","Fort Bragg","Northern"
2004,"landings04_cpfv2.pdf","TotalCommon Name Mission Bay ***","Dana Harbor","Newport Beach",NA,"Long Bch S. Pedro","Mr del Rey Malibu","Ventura S. Barbara Total","Avila Bch Morro Bay",NA,"Moss Land S. Cruz","Bodega Bay","S.F Bay- Delta","Eureka Cres City",""
2004,"landings04_cpfv2.pdf","Barracuda, California  44,015","24,652","25,968",NA,"95,722","18,102","6,352  214,811","36",NA,"2","0","0","0","38"
2004,"landings04_cpfv2.pdf","Bass, barred sand  52,799","96,255","112,226",NA,"181,357","75,053","51,327  569,017","648",NA,"0","0","0","0","648"
2004,"landings04_cpfv2.pdf","Bass, kelp (calico)  98,616","44,641","30,926",NA,"92,093","32,142","23,855  322,273","38",NA,"5","0","0","0","43"
2004,"landings04_cpfv2.pdf","Bass, striped  0","0","0",NA,"0","0","0  0","0",NA,"0","44","6,559","0","6,603"
2004,"landings04_cpfv2.pdf","Bonito, Pacific  30,760","15,925","18,701",NA,"36,076","19,531","3,132  124,125","27",NA,"0","0","0","0","27"
2004,"landings04_cpfv2.pdf","Cabezon  112","13","69",NA,"235","124","128  681","152",NA,"51","1,152","262","348","1,965"
2004,"landings04_cpfv2.pdf","Croaker, white  88","218","212",NA,"203","120","32  873","1",NA,"12","32","404","1","450"
2004,"landings04_cpfv2.pdf","Fishes, unspecified^  5,764","1,982","2,620",NA,"26,946","5,168","2,626  45,106","2",NA,"1,305","102","719","30","2,158"
2004,"landings04_cpfv2.pdf","Flatfishes, unspecified^  6","30","68",NA,"85","36","31  256","388",NA,"12,689","143","31,385","2","44,607"
2004,"landings04_cpfv2.pdf","Greenling, kelp  0","0","0",NA,"0","0","0  0","34",NA,"232","1,140","902","1,029","3,337"
2004,"landings04_cpfv2.pdf","Halibut, California  448","424","287",NA,"361","749","352  2,621","163",NA,"146","50","3,308","1","3,668"
2004,"landings04_cpfv2.pdf","Invertebrates, unspecified^^  977","300","112",NA,"3,611","0","11,168  16,168","0",NA,"784","5,412","14,986","15,522","36,704"
2004,"landings04_cpfv2.pdf","Lingcod  2,274","108","97",NA,"737","252","869  4,337","1,513",NA,"797","1,793","1,894","1,643","7,640"
