species,all_2004,mexico_2004,all_2003,mexico_2003
"Barracuda, California","214,849","14,902","114,388","16,677"
"Bass, barred sand","569,665","18,937","524,671","35,726"
"Bass, giant (black) sea",3,0,6,2
"Bass, kelp (calico)","322,316","22,561","273,514","10,140"
"Bass, striped","6,603",0,"7,942",0
"Bonito, Pacific","124,152","8,925","30,103","1,136"
Cabezon,"2,646",74,"3,845",112
"Croaker, unspecified***",136,0,867,0
"Croaker, white","1,323",2,"3,469",28
Dolphinfish,"8,231","7,560","3,217","3,143"
"Fishes, unspecified***","10,435",992,"19,621","1,036"
"Flatfishes, unspecified***","44,863",4,"20,712",28
"Greenling, kelp","3,337",0,"5,208",0
Halfmoon,"30,344",43,"43,392",47
"Halibut, California","6,289",108,"16,342",119
"Invertebrates, unspecified****","52,872",363,"49,458",79
Lingcod,"11,977","1,745","44,197","6,049"
"Mackerel, jack",284,13,739,112
"Mackerel, Pacific","24,143","1,246","44,802",206
"Marlin, striped",4,3,4,4
"Rockfish, blue","181,325",8,"133,406",97
"Rockfish, gopher","28,533",71,"40,418",65
"Rockfishes, unspecified***","643,314","26,601","423,742","23,253"
"Salmon, king (chinook)","108,052",0,"42,522",0
"Salmon, unspecified***","1,803",0,102,1
Sanddab,"80,314",35,"98,532",75
"Scorpionfish, California","71,572","4,265","88,263","11,075"
"Seabass, white","3,244",144,"8,530",123
"Shark, blue",6,0,47,0
"Shark, bonito (mako)",303,54,115,36
"Shark, leopard",526,0,703,0
"Shark, unspecified***",543,5,396,0
"Sheephead, California","17,965",695,"20,768","1,134"
"Sturgeon, unspecified***",191,0,436,0
"Tuna, albacore","181,855","161,814","250,326","194,501"
"Tuna, bluefin","3,356","2,873","22,334","19,475"
"Tuna, skipjack","4,475","3,740","32,532","22,172"
"Tuna, yellowfin","67,519","59,191","30,050","27,262"
Wahoo,"5,005","4,645","4,370","4,370"
"Whitefish, ocean","66,131","7,667","46,453","8,888"
Yellowtail,"131,113","94,611","77,849","53,321"
Total Landings:,"3,031,617","443,897","2,528,391","440,492"
Number of Anglers:,"600,441","81,866","562,406","80,567"
Reporting CPFVs:,315,96,320,100
