mark_cat, description, nominal_species, species_grp,
0,Unknown, unspecified,UNK,UNK
1,Tuna, yellowfin,YTNA,OTHER
2,Tuna, skipjack,STNA,OTHER
3,Bonito, Pacific,BONI,OTHER
4,Tuna, bluefin,BTNA,OTHER
5,Tuna, albacore,ALBC,OTHER
6,Tuna, unspecified,OTNA,OTHER
8,Tuna, bigeye,OTNA,OTHER
9,Tuna," skipjack,  black",STNA,OTHER
11,Tuna, longtail,OTNA,OTHER
12,Tuna, blackfin,OTNA,OTHER
15,Escolar,MISC,OTHER,
17,Oilfish,MISC,OTHER,
19,Mackerel, bullet,UMCK,OTHER
40,Yellowtail,MISC,OTHER,
41,Jack, Pacific crevalle,JACK,OTHER
42,Jacks, unspecified,JACK,OTHER
43,Jack, almaco (amberjack),JACK,OTHER
50,Mackerel, unspecified,UMCK,OTHER
51,Mackerel, Pacific,PMCK,OTHER
52,Sierra, Pacific,MISC,OTHER
55,Mackerel, jack,JMCK,OTHER
56,jack mackeral, large,MISC,OTHER
57,Wahoo,WAHO,OTHER,
80,Butterfish (Pacific pompano),MISC,OTHER,
81,Pacific Pomfret,MISC,OTHER,
91,Swordfish,SWRD,OTHER,
92,Marlin, striped,MARL,OTHER
95,Sailfish,SAIL,OTHER,
96,Shark, white,SHRK,ELASMOBRANCH
97,Shark, bigeye thresher,SHRK,ELASMOBRANCH
98,Shark, pelagic thresher,SHRK,ELASMOBRANCH
100,Sardine, Pacific,PSDN,OTHER
101,Sardine, juvenile,PSDN,OTHER
105,Herring, round,PHRG,OTHER
110,Anchovy, northern,NANC,OTHER
111,Anchovy, deepbody,NANC,OTHER
113,Anchovy, slough,NANC,OTHER
121,Herring, Pacific,PHRG,OTHER
122,Herring, Roe,HROE,OTHER
130,Barracuda, California,CUDA,OTHER
135,Mullet, striped,MULL,OTHER
144,Senorita,MISC,OTHER,
145,Sheephead, California,SHPD,OTHER
146,Wrasse, rock,MISC,OTHER
147,Skate, Longnose,LSKT,ELASMOBRANCH
149,Shark, blacktip,SHRK,ELASMOBRANCH
150,Shark, unspecified,SHRK,ELASMOBRANCH
151,Shark, shortfin mako,SHRK,ELASMOBRANCH
152,Shark, spiny dogfish,DSRK,ELASMOBRANCH
153,Shark, leopard,LSRK,ELASMOBRANCH
154,Shark, brown smoothhound,SHRK,ELASMOBRANCH
155,Shark, thresher,SHRK,ELASMOBRANCH
156,Shark, basking,SHRK,ELASMOBRANCH
158,Shark, smooth hammerhead,SHRK,ELASMOBRANCH
159,Shark, soupfin,SSRK,ELASMOBRANCH
160,Sharks, cow,SHRK,ELASMOBRANCH
161,Shark, sixgill,SHRK,ELASMOBRANCH
162,Shark, sevengill,SHRK,ELASMOBRANCH
163,Shark, swell,SHRK,ELASMOBRANCH
164,Shark, dusky,SHRK,ELASMOBRANCH
165,Shark, Pacific angel,ASRK,ELASMOBRANCH
166,Ratfish, spotted,RATF,ELASMOBRANCH
167,Shark, blue,SHRK,ELASMOBRANCH
168,Shark, salmon,SHRK,ELASMOBRANCH
169,Shark, horn,SHRK,ELASMOBRANCH
170,Ray, unspecified,URAY,ELASMOBRANCH
171,Ray, bat,URAY,ELASMOBRANCH
172,Ray, Pacific electric,URAY,ELASMOBRANCH
173,Stingray,URAY,ELASMOBRANCH,
174,Guitarfish, shovelnose,SHRK,ELASMOBRANCH
175,Skate, unspecified,USKT,ELASMOBRANCH
176,Skate, big,BSKT,ELASMOBRANCH
177,Skate, California,CSKT,ELASMOBRANCH
178,Skate, thornback,USKT,ELASMOBRANCH
179,Shark, gray smoothhound,SHRK,ELASMOBRANCH
180,Smelts, true,SMLT,OTHER
181,Grunion, California,SMLT,OTHER
182,Smelt, surf,SMLT,OTHER
183,Smelt, Bay,MISC,OTHER
184,Jacksmelt,SMLT,OTHER,
185,Smelt, whitebait,SMLT,OTHER
186,Topsmelt,SMLT,OTHER,
187,Smelt, night,SMLT,OTHER
188,Eulachon,EULC,OTHER,
189,Silversides,MISC,OTHER,
190,Sablefish,SABL,OTHER_GF,
191,Louvar,MISC,OTHER,
195,Lingcod,LCOD,OTHER_GF,
196,Tomcod, Pacific,MISC,OTHER_GF
197,Cod, Pacific,PCOD,OTHER_GF
198,Grenadiers,GRDR,OTHER_GF,
200,Sole, unspecified,UFLT,FLATFISH
201,Flounder, arrowtooth,ARTH,FLATFISH
202,Sole, bigmouth,UFLT,FLATFISH
203,Sole, rock,RSOL,FLATFISH
204,Sole, fantail,FNTS,FLATFISH
205,Sole, sand,SSOL,FLATFISH
206,Sole, English,EGLS,FLATFISH
207,Sole, rex,REX,FLATFISH
208,Sole, butter,BSOL,FLATFISH
209,Sole, petrale,PTRL,FLATFISH
