calcom_code,description,port_complex, INPFC,,,
376,MODESTO,OCA,UNK,,,
377,UPPER LAKE,OCA,UNK,,,
378,TRACY,OCA,UNK,,,
379,MANTECA,OCA,UNK,,,
387,OAKLEY,OCA,MNT,,,
388,TRUCKEE,OCA,UNK,,,
390,WOODLAND,OCA,UNK,,,
391,MONO LAKE,OCA,UNK,,,
393,RIO LINDA,OCA,UNK,,,
394,LEE VINING,OCA,UNK,,,
395,NICOLAUS,OCA,UNK,,,
396,EL DORADO HILLS,OCA,UNK,,,
397,YOLO,OCA,UNK,,,
398,CORDELIA,OCA,UNK,,,
4,BDG, OSF, Catch recon only,2,UNK,
401,FREMONT,OSF,MNT,,,
402,ALAMO,OSF,MNT,,,
403,LOS GATOS,OSF,MNT,,,
404,FORREST KNOLLS,OSF,MNT,,,
405,SAINT HELENA,OSF,MNT,,,
406,MONTE VISTA,OSF,MNT,,,
407,ROHNERT PARK,OSF,MNT,,,
408,GREENBRAE,OSF,MNT,,,
409,FOSTER CITY,OSF,MNT,,,
410,BURLINGAME,OSF,MNT,,,
411,LOS ALTOS,OSF,MNT,,,
412,GLEN COVE,OSF,MNT,,,
413,LIVERMORE,OSF,MNT,,,
414,SAN BRUNO,OSF,MNT,,,
415,NICASIO,BDG,MNT,,,
416,YOUNTVILLE,OSF,MNT,,,
417,NEWARK,OSF,MNT,,,
419,SONOMA,BDG,MNT,,,
420,GUERNEVILLE,BDG,MNT,,,
422,EL SOBRANTE,OSF,MNT,,,
423,MUIR BEACH,BDG,MNT,,,
424,TIMBER COVE,BDG,MNT,,,
425,EMERYVILLE,OSF,MNT,,,
426,KENTFIELD,OSF,MNT,,,
427,ANCHOR BAY,BRG,MNT,,,
428,EL CERRITO,OSF,MNT,,,
429,NAPA,OSF,MNT,,,
430,SAN LEANDRO,OSF,MNT,,,
431,MILL VALLEY,OSF,MNT,,,
432,LAFAYETTE,OSF,MNT,,,
434,MOUNTAIN VIEW,OSF,MNT,,,
435,HEALDSBURG,BDG,MNT,,,
436,HAYWARD,OSF,MNT,,,
437,DRAKES BAY,BDG,MNT,,,
438,SUNNYVALE,OSF,MNT,,,
439,PACIFICA,OSF,MNT,,,
441,DILLON BEACH,BDG,MNT,,,
442,REDWOOD CITY,OSF,MNT,,,
443,MOSS BEACH,OSF,MNT,,,
444,SAN CARLOS,OSF,MNT,,,
445,MARTINS BEACH,OSF,MNT,,,
446,CAMPBELL,OSF,MNT,,,
448,DALY CITY,OSF,MNT,,,
449,ALVISO,OSF,MNT,,,
450,PINOLE,OSF,MNT,,,
451,RODEO,OSF,MNT,,,
453,VALLEJO,OSF,MNT,,,
454,SAN JOSE,OSF,MNT,,,
455,CHINA CAMP,OSF,MNT,,,
457,NOVATO,BDG,MNT,,,
458,PEDRO VALLEY,OSF,MNT,,,
459,PETALUMA,BDG,MNT,,,
462,MARSHALL,BDG,MNT,,,
463,MCNEARS POINT,OSF,MNT,,,
465,SAN MATEO,OSF,MNT,,,
466,SAN QUENTIN,OSF,MNT,,,
468,SAN RAFAEL,OSF,MNT,,,
470,SOUTH SAN FRANCISCO,OSF,MNT,,,
474,INVERNESS,BDG,MNT,,,
475,SANTA ROSA,BDG,MNT,,,
479,PIGEON POINT,OSF,MNT,,,
481,POINT MONTARA,OSF,MNT,,,
482,PESCADERO,OSF,MNT,,,
483,POINT SAN PEDRO,OSF,MNT,,,
484,ALBANY,OSF,MNT,,,
485,FARALLONE IS,OSF,MNT,,,
486,MILLERTON,BDG,MNT,,,
488,MARCONI,BDG,MNT,,,
489,JENNER,BDG,MNT,,,
490,HAMLET,BDG,MNT,,,
491,CORTE MADERA,OSF,MNT,,,
492,SEBASTOPOL,BDG,MNT,,,
494,PALO ALTO,OSF,MNT,,,
495,CALIFORNIA CITY,OSF,MNT,,,
496,TIBURON,OSF,MNT,,,
497,STINSON BEACH,BDG,MNT,,,
498,ROCKAWAY BEACH,OSF,MNT,,,
499,WINDSOR,BDG,MNT,,,
501,CERES,OCA,UNK,,,
502,SOQUEL,MNT,MNT,,,
503,KINGSBURG,MNT,MNT,,,
504,CLOVIS,OCA,UNK,,,
505,LOS BANOS,OCA,UNK,,,
506,FELTON,MNT,MNT,,,
507,SAN JUAN BAUTISTA,MNT,MNT,,,
508,VISALIA,OCA,UNK,,,
509,LINDSAY,OCA,UNK,,,
510,OAKHURST,OCA,UNK,,,
511,BIG SUR,MNT,MNT,,,
512,SAN MIGUEL,MRO,CON,,,
513,PASO ROBLES,MRO,CON,,,
514,COALINGA,OCA,UNK,,,
517,WILLOW CREEK,MNT,MNT,,,
542,GILROY,MNT,MNT,,,
549,FORT ORD,MNT,MNT,,,
551,KERMAN,OCA,UNK,,,
553,MORGAN HILL,MNT,MNT,,,
556,PIXLEY,OCA,UNK,,,
