Licenses,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
FISH BUSINESS (MULTIFUNCTION),N/A,N/A,N/A,N/A,N/A,N/A,N/A,$      750.00,$      750.00,$       750.00
FISH IMPORTER,$       125.00,$       125.00,$       125.00,$       125.00,$      125.00,$       125.00,$      125.00,$       300.00,$      300.00,$       300.00
FISH PROCESSOR,$      190.00,$       190.00,$       190.00,$       190.00,$      190.00,$       190.00,$       190.00,$       300.00,$       300.00,$        300.00
FISH RECEIVER,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$       300.00,$       300.00,$        300.00
FISH WHOLESALER LICENSE,$         65.00,$         65.00,$        65.00,$         65.00,$         65.00,$         65.00,$         65.00,$       200.00,$      200.00,$        200.00
FISHERMAN'S RETAILER,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$        25.00,$        25.00,$         25.00
LIVE FRESH WATER BAIT LICENSE,$         25.00,$         25.00,$        25.00,$        25.00,$         25.00,$         25.00,$        25.00,$         40.00,$         40.00,$          40.00
SPORT-CAUGHT FISH EXCHANGE,N/A,N/A,N/A,N/A,N/A,N/A,$         50.00,$         50.00,$         50.00,$         50.00
