Licenses,1970,1971,1972,1973,1974,1975,1975,1977,1978,1977
FISH IMPORTER,$       100.00,$       100.00,$       100.00,$      100.00,$       100.00,$      100.00,$       100.00,$       100.00,$       100.00,$        125.00
"",,,,,,,,,,
