Licenses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
FISH BUSINESS (MULTIFUNCTION),"$     293,000","$     274,000","$    268,000","$     264,000","$     337,758","$     342,863","$     351,420","$    365,099","$    361,139","$      373,140"
FISH IMPORTER,"$       74,000","$       70,400","$      74,000","$       64,400","$      76,860","$       74,114","$      78,457","$       88,608","$     102,779","$       97,396"
FISH PROCESSOR,"$       22,800","$       20,400","$      19,600","$       21,200","$      21,960","$       25,634","$      26,348","$       21,216","$       27,972","$       29,012"
FISH RECEIVER,"$     112,800","$    114,400","$    129,200","$     134,800","$     168,543","$     158,816","$     160,427","$    157,872","$     168,480","$      174,760"
FISH WHOLESALER LICENSE,"$     100,170","$      95,310","$      93,150","$       86,940","$     113,897","$     104,291","$    110,740","$     115,913","$     121,302","$      127,890"
FISHERMAN'S RETAILER,"$      28,250","$       27,800","$      28,650","$       26,650","$      33,534","$       30,730","$       30,429","$      31,535","$      27,792","$        32,438"
LIVE FRESH WATER BAIT LICENSE,"$       16,830","$       15,950","$       14,135","$       12,870","$      12,375","$      10,983","$      10,823","$      10,583","$      10,725","$        11,868"
MARINE AQUARIA RECEIVERS LICENSE,"$         7,000","$         6,000","$        5,000","$         5,000","$       12,357","$      12,544","$      13,178","$      10,922","$       13,014","$        15,548"
SPORT-CAUGHT FISH EXCHANGE,"$         1,500","$        1,650","$        1,600","$        1,600","$        1,500","$         1,472","$         1,385","$        1,305","$         1,363","$          1,386"
TOTAL COMMERCIAL FISH BUSINESS,"$     656,350","$    625,910","$     633,335","$     617,460","$    778,784","$    761,445","$    783,206","$    803,051","$     834,564","$      863,436"
