Licenses,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
Resident Hunting     (Annual),$             4.00,$             4.00,$              6.00,$              6.00,$              6.00,$           10.00,$            10.00,$            10.00,$           10.00,$            10.00
Junior Hunting     (Annual),$              1.00,$              1.00,$              2.00,$              2.00,$              2.00,$             2.00,$             2.00,$              2.00,$             2.00,$             2.00
Non-Resident Hunting     (Annual),$            25.00,$            25.00,$           35.00,$            35.00,$           35.00,$           35.00,$            35.00,$            35.00,$           35.00,$           35.00
Non-Resident 1-Day Hunting,$             5.00,$             5.00,$              5.00,$             5.00,$              5.00,$             5.00,$             5.00,$              5.00,$             5.00,$              5.00
"",,,,,,,,,,
"",,,,,,,,,,
Resident First Deer Tag,$              2.00,$              2.00,$             3.00,$             3.00,$              3.00,$             3.00,$              3.00,$              3.00,$              3.00,$             3.00
Non-Resident First Deer Tag,$            10.00,$            10.00,$           25.00,$            25.00,$            25.00,$            25.00,$           25.00,$            25.00,$            25.00,$            25.00
Resident Second Deer Tag,N/A,N/A,N/A,N/A,N/A,$              3.00,$             3.00,$              3.00,$              8.00,$             8.00
Non-Resident Second Deer Tag,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$            60.00,$            60.00
"",,,,,,,,,,
"",,,,,,,,,,
Resident Bear Tags,$              1.00,$              1.00,$              1.00,$              1.00,$             1.00,$             1.00,$              1.00,$              1.00,$             1.00,$              1.00
"",,,,,,,,,,
"",,,,,,,,,,
Duck Stamps,N/A,$              1.00,$             1.00,$             1.00,$             1.00,$              1.00,$              1.00,1.00/5.00,$             5.00,$              5.00
