Licenses,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
Aquaculture Registration (Renewal),N/A,N/A,N/A,306,355,355,298,347,354,346
Commercial Hunting Club License,56,55,45,48,69,47,38,46,40,38
Dog Training Permit,304,327,378,335,422,472,342,412,421,489
Falconry License,567,593,552,555,578,540,563,641,627,615
Fur Agent License,13,10,8,6,6,6,7,7,4,2
Fur Buyer,33,29,19,24,23,24,27,N/A,N/A,N/A
Fur Dealer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31,23,15
Domesticated Game Breeder License Class 1,753,819,813,863,708,671,617,570,653,665
Domesticated Game Breeder License Class 2,99,90,90,96,96,111,98,89,87,82
Domesticated Game Breeder License Class 3,48,56,50,59,53,54,35,39,38,50
Guide License (R),489,343,548,613,685,766,719,293,806,866
Guide License (NR),13,13,12,9,12,11,16,17,36,40
Licensed Guide Employee Registration,N/A,N/A,N/A,N/A,N/A,N/A,N/A,52,72,48
Licensed Game Bird Club A <500,62,59,61,62,59,71,70,68,74,79
Licensed Game Bird Club A >500,82,83,83,84,90,98,84,87,84,88
Licensed Domesticated Migratory Game Bird Shooting Area,2,3,2,2,4,5,5,8,9,7
Organizational Field Trial Permit (R),70,70,74,77,77,75,35,76,95,93
Scientific Collecting Permit (R),"1,387","1,269","1,166","1,067","1,121","1,138","1,124","1,123","1,140","1,286"
Scientific Collecting Permit (NR),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,57
Scientific Collecting Permit (Student),535,465,464,341,328,285,266,245,250,311
Suction Dredge Permit - Standard (R),"12,763","11,436","9,380","9,983","9,408","8,424","8,876","8,087","7,544","4,792"
Suction Dredge Permit - Standard (NR),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,374
Suction Dredge Permit - Special,34,22,49,4,15,9,6,2,10,11
Trapping License (Junior),235,228,223,64,52,45,45,56,44,34
Trapping License (R),"2,865","3,316","3,540","1,468","1,567","1,293","1,250","1,375","1,121",772
Trapping License (NR),111,124,145,36,43,43,45,56,37,11
TOTAL MISCELLANEOUS,"20,521","19,410","17,702","16,102","15,771","14,543","14,566","13,727","13,569","11,171"
