Licenses,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Aquaculture Registration (New),N/A,"$         6,400","$         2,200","$         7,600","$       11,200","$         6,000","$       10,400","$         7,600","$         4,000","$          6,800"
Aquaculture Registration (Renewal),"$       37,100","$       61,600","$       29,100","$       52,200","$       49,600","$       49,200","$       45,600","$       44,800","$       44,400","$        43,000"
Aquaculture Registration - Surcharge,No Data,No Data,No Data,No Data,No Data,"$       22,500","$       24,900","$       24,600","$       23,100","$        23,700"
Aquaculture Registration - Interest (per month ),No Data,No Data,No Data,No Data,No Data,$            118,$           449,$            355,$            164,$             154
Aquaculture Registration - Penalty,No Data,No Data,No Data,No Data,No Data,$            300,$            825,$            800,$            550,$             450
Commercial Hunting Club License,"$         8,323","$         8,713","$         8,242","$       12,868","$       18,057","$       18,684","$       22,204","$       21,694","$       23,198","$        25,176"
Dog Training Permit,"$         1,055","$         1,428","$         1,441","$         1,444","$         1,612","$         1,628","$         1,683","$         1,856","$         2,093","$          2,093"
Domesticated Game Bird Seals,"$         1,739","$         1,204","$         1,450","$         1,277","$         1,655",$            857,$            519,$            370,$            392,$             510
Domesticated Game Breeder's License Class 1,"$         6,250","$         7,042","$         6,934","$         6,644","$         6,120","$         5,463","$         5,158","$         4,912","$         4,775","$          4,526"
Domesticated Game Breeder's License Class 2,"$         3,743","$         3,536","$         4,212","$         4,161","$         3,938","$         4,428","$         4,977","$         4,104","$         4,188","$          4,064"
Falconer Raptor Capture Permit (NR),N/A,N/A,N/A,N/A,N/A,N/A,$            384,$            397,$                 -,$                 -
Falconry License - Application Fee,N/A,N/A,N/A,$            300,"$         4,162","$         4,904","$         4,810","$         5,313","$         5,049","$          5,310"
Falconry License,"$       22,496","$       25,272","$       25,415","$       26,402","$       26,620","$       27,135","$       27,110","$       29,136","$       28,273","$        29,651"
Fallow Deer Farming Permit,N/A,N/A,N/A,N/A,N/A,"$         3,900","$         4,020",N/A,"$         3,068","$          3,120"
Fallow Deer Farming Permit - Application Fee,N/A,N/A,N/A,N/A,N/A,N/A,$            518,$            536,$              92,$               63
Fallow Deer Farming Permit - Inspection Fee,N/A,N/A,N/A,N/A,N/A,$              50,$            100,$            200,$            338,$             338
Fur Agent License,$                 -,$                 -,$              47,$                 -,$                 -,$              50,$              52,$              54,$                 -,$                 -
Fur Dealer License,$            946,"$         2,430","$         1,602","$         1,337","$         1,274","$         1,003","$         1,035",$            856,$            765,$             556
