Licenses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
FISH BUSINESS (MULTIFUNCTION),293,274,268,264,246,246,240,234,222,216
FISH IMPORTER,185,176,185,161,140,133,134,142,158,141
FISH PROCESSOR,57,51,49,53,40,46,45,34,43,42
FISH RECEIVER,282,286,323,337,307,285,274,253,259,253
FISH WHOLESALER LICENSE,371,353,345,322,307,277,280,275,276,274
FISHERMAN'S RETAILER,565,556,573,533,486,439,414,403,341,375
LIVE FRESH WATER BAIT LICENSE,306,290,257,234,225,197,185,170,165,172
MARINE AQUARIA RECEIVERS LICENSE,7,6,5,5,9,9,9,7,8,9
SPORT-CAUGHT FISH EXCHANGE,30,33,32,32,30,29,26,23,23,22
TOTAL COMMERCIAL FISH BUSINESS,"2,096","2,025","2,037","1,941","1,790","1,661","1,607","1,541","1,495","1,504"
