Licenses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Aquaculture Registration (New),20,9,11,16,13,9,6,8,4,14
Aquaculture Registration (Renewal),221,225,222,211,203,202,188,186,186,175
Aquaculture Registration - Late Fee,N/A,N/A,N/A,N/A,N/A,15,10,20,18,18
Aquaculture Registration - Surcharge,75,78,77,76,96,60,79,80,79,76
Aquaculture Registration - Interest (per month ),35,16,16,32,75,N/A,N/A,N/A,N/A,N/A
Aquaculture Registration - Penalty,35,16,16,17,17,N/A,N/A,N/A,N/A,N/A
Commercial Hunting Club License,98,89,99,96,96,101,98,92,80,74
Commercial Hunt Club Lic - Additional Properties,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,23
Dog Training Permit,871,995,"1,095",811,308,N/A,N/A,N/A,N/A,N/A
Domesticated Game Bird Seals,"20,776","18,312","49,220","50,213","32,062","23,448","20,335","28,854","39,566","30,446"
Domesticated Game Breeder's License Class 1,387,360,367,348,276,259,246,245,214,192
Domesticated Game Breeder's License Class 2,65,68,69,65,56,60,51,44,44,42
Falconer Raptor Capture Permit (NR),0,0,0,0,1,1,0,1,0,0
Falconry License - Application Fee,584,591,626,647,643,615,577,596,566,569
Falconry License,611,600,636,635,637,612,577,607,566,573
Fallow Deer Farming Permit,16,17,16,15,12,11,10,12,11,10
Fallow Deer Farming Permit - Application Fee,2,1,0,1,1,1,0,1,1,1
Fallow Deer Farming Permit - Inspection Fee,5,1,0,0,0,1,0,2,4,2
Fully Protected Species Permit,N/A,N/A,N/A,2,2,5,1,0,3,1
Fur Agent License,0,0,0,0,0,0,0,0,0,0
Fur Dealer License,7,5,4,5,4,4,4,6,5,3
Game Bird Club Seals,"282,282","306,815","334,417","326,000","324,800","318,771","312,100","298,050","258,750","255,850"
Guide License (R),"1,092","1,109","1,273","1,322","1,256","1,253","1,258","1,304","1,267","1,255"
Guide License (NR),46,53,66,59,66,72,78,78,78,67
Licensed Guide Employee Registration,61,71,77,65,73,61,54,59,41,39
"Licensed Game Bird Club, Zone A - 500 acres or less",39,39,46,46,43,40,38,37,30,27
"Licensed Game Bird Club, Zone A - over 500 acres",41,39,44,42,46,45,44,40,36,41
"Licensed Game Bird Club, Zone B - 500 acres or less",27,30,31,29,32,30,29,25,26,34
"Licensed Game Bird Club, Zone B - over 500 acres",37,34,43,39,36,36,35,35,38,28
Lic. Domesticated Migratory Game Bird Shooting Area,4,3,3,4,5,2,3,4,3,4
Native Reptile Captive Propagation Permit,99,89,88,82,80,74,71,70,75,75
Native Reptile & Amphibian Permit (Take by Biol. Supply House),2,1,1,1,1,1,1,1,1,1
Organizational Field Trial Permit,97,112,110,113,77,N/A,N/A,N/A,N/A,N/A
"Restricted Species Permit - Animal Care, Detrimental",13,14,8,12,13,12,7,5,5,5
"Restricted Species Permit - Animal Care, Welfare",48,39,30,27,24,22,20,23,14,16
Restricted Species Permit - Application Fee (Amended or Renewal),409,394,386,367,346,358,345,356,355,329
"Restricted Species Permit - AZA, Detrimental",23,21,21,22,23,22,20,22,21,19
Restricted Species Permit - Breeding,32,35,35,26,29,26,28,26,28,26
Restricted Species Permit - Broker/Dealer (R),2,1,2,1,1,1,2,2,2,4
Restricted Species Permit - Broker/Dealer (NR),2,2,3,2,2,1,1,1,1,2
Restricted Species Permit - Exhibiting (R),131,137,140,129,140,130,131,122,121,126
Restricted Species Permit - Exhibiting (NR),37,39,36,24,28,27,28,27,28,21
"Restricted Species Permit - Inspection Fee (ExceptAquaculture & Fish)",12,14,13,18,15,13,8,12,10,10
Restricted Species Permit - Native Species Exhibiting,20,18,15,11,13,14,16,17,17,18
Restricted Species Permit - Nuisance Bird Abatement (R),N/A,N/A,N/A,N/A,2,6,8,9,9,9
Restricted Species Permit - Nuisance Bird Abatement (NR),N/A,N/A,N/A,N/A,1,1,2,2,1,1
"Restricted Species Permit - Research, Detrimental",42,50,50,50,38,45,43,48,48,44
Restricted Species Permit - Shelter,7,13,14,15,14,16,17,15,22,21
Restricted Species Permit - Single Event Breeding,5,1,2,1,5,4,5,3,2,1
Scientific Collecting Permit (R),666,744,855,948,"1,284","1,273","1,305","1,429","1,143","1,277"
Scientific Collecting Permit (NR),31,41,67,85,137,131,137,149,134,120
Scientific Collecting Permit (Student),278,293,296,273,285,313,360,343,266,251
Suction Dredge - Inspection Fee (R),0,0,0,0,0,0,0,0,0,0
Suction Dredge - Inspection Fee (NR),0,0,0,0,0,0,0,0,0,0
Suction Dredge - Standard (R),"2,727","2,510","2,541","2,534","2,446","2,451","2,551","2,408","2,966","3,068"
Suction Dredge - Standard (NR),393,359,385,476,462,480,460,476,557,585
Trapping License (Junior),1,1,3,2,0,0,1,0,3,1
Trapping License (R),78,85,138,191,212,202,272,336,433,518
Trapping License (NR),0,0,1,0,0,0,1,3,4,4
TOTAL MISCELLANEOUS,"309,393","331,634","390,646","383,003","363,417","348,204","338,376","333,068","303,939","291,940"
