Licenses,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
Commercial Hunting Club License,50,89,98,77,77,67,77,19,72,67
Dog Training Permit,436,570,711,550,407,435,374,343,333,295
Falconry License,643,630,736,814,751,779,843,542,572,581
Fur Agent License,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4
Fur Buyer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14
Domesticated Game Breeder License Class 1,"1,183","1,306","1,173","1,092",977,985,968,954,973,832
Domesticated Game Breeder License Class 2,115,135,128,124,103,97,112,112,108,108
Domesticated Game Breeder License Class 3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21
Guide License (R),379,421,476,504,203,216,230,218,266,326
Guide License (NR),N/A,N/A,N/A,N/A,N/A,4,4,3,5,8
Licensed Game Bird Club A <500,78,73,79,78,66,62,60,58,66,64
Licensed Game Bird Club A >500,127,135,135,126,120,111,106,95,90,84
Licensed Domesticated Migratory Game Bird Shooting A,"eaN/A",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2
Organizational Field Trial Permit (R),49,82,65,65,61,65,70,71,69,72
Scientific Collecting Permit (R),611,644,891,972,"1,087","1,129","1,234",693,"1,310","1,379"
Scientific Collecting Permit (Student),204,296,661,853,878,817,856,185,732,587
Suction Dredge Permit - Standard (R),N/A,N/A,N/A,N/A,N/A,N/A,"3,981","3,625","3,818","5,206"
Suction Dredge Permit - Special,N/A,N/A,N/A,N/A,N/A,0,3,2,2,9
Trapping License (Junior),N/A,N/A,N/A,N/A,4,114,164,163,194,245
Trapping License (R),N/A,N/A,N/A,N/A,2,15,34,44,94,130
Trapping License (NR),N/A,N/A,N/A,N/A,38,802,"1,494","1,644","2,076","2,862"
TOTAL MISCELLANEOUS,"3,875","4,381","5,153","5,255","4,774","5,698","10,610","8,771","10,780","12,896"
