Licenses,1970,1971,1972,1973,1974,1975,1975,1977,1978,1977
FISH IMPORTER,98,80,85,85,88,84,87,95,96,106
TOTAL COMMERCIAL FISH BUSINESS,98,80,85,85,88,84,87,95,96,106
