Licenses,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
Resident Hunting     (Annual),"$     2,763,160","$      2,506,504","$      3,504,234","$     3,645,822","$      3,605,328","$      5,450,270","$      5,239,390","$      5,114,830","$     4,873,310","$      4,951,160"
Junior Hunting     (Annual),"$           70,964","$           68,589","$         129,640","$         128,934","$        128,026","$         122,304","$         113,918","$         103,140","$          88,116","$           81,740"
Non-Resident Hunting     (Annual),"$           44,175","$           49,050","$           54,285","$           58,905","$           66,185","$           68,565","$          86,065","$          92,015","$          99,960","$        115,885"
Non-Resident 1-Day Hunting,$              750,"$             1,015","$             1,215","$             1,380","$            1,455","$             1,585","$            1,590","$             1,990","$             2,885","$            2,905"
Sub Total - Hunting Licenses,"$     2,879,049","$     2,625,158","$     3,689,374","$     3,835,041","$     3,800,994","$     5,642,724","$     5,440,963","$     5,311,975","$     5,064,271","$     5,151,690"
"",,,,,,,,,,
Resident First Deer Tag,"$         780,996","$        754,080","$      1,072,734","$      1,161,477","$      1,045,950","$         923,538","$         929,844","$        911,658","$        562,074","$         593,943"
Non-Resident First Deer Tag,"$             6,020","$            7,020","$          11,425","$          14,350","$           12,350","$           10,425","$           15,150","$          17,000","$          20,725","$           26,875"
Resident Second Deer Tag,N/A,N/A,N/A,N/A,N/A,"$          42,021","$           50,361","$           60,420","$         785,720","$        697,720"
Non-Resident Second Deer Tag,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"$             3,960","$            4,740"
Sub Total - Deer Tags,"$        787,016","$        761,100","$     1,084,159","$     1,175,827","$     1,058,300","$        975,984","$        995,355","$        989,078","$     1,372,479","$     1,323,278"
"",,,,,,,,,,
Resident Bear Tags,"$           32,437","$           24,735","$          25,126","$           30,585","$          29,677","$          26,950","$          26,232","$           26,273","$          19,537","$           22,557"
Sub Total - Bear,"$          32,437","$          24,735","$          25,126","$          30,585","$          29,677","$          26,950","$          26,232","$          26,273","$          19,537","$          22,557"
"",,,,,,,,,,
Duck Stamps,N/A,"$         178,445","$        160,427","$         155,872","$         162,442","$         156,224","$        149,315","$         149,952","$        639,065","$        605,070"
Sub Total - Game Bird Hunting,$                    -,"$        178,445","$        160,427","$        155,872","$        162,442","$        156,224","$        149,315","$        149,952","$        639,065","$        605,070"
TOTAL,"$      3,698,502","$      3,589,438","$      4,959,086","$      5,197,325","$      5,051,413","$     6,801,882","$      6,611,865","$     6,477,278","$      7,095,352","$      7,102,595"
