Licenses,1970,1971,1972,1973,1974,1975,1975,1977,1978,1977
FISH IMPORTER,"$         9,800","$         8,000","$        8,500","$        8,500","$        8,800","$         8,400","$         8,700","$         9,500","$         9,600","$        13,250"
TOTAL COMMERCIAL FISH BUSINESS,"$        9,800","$         8,000","$         8,500","$         8,500","$        8,800","$         8,400","$         8,700","$         9,500","$        9,600","$        13,250"
