Licenses,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Aquaculture Registration (New),N/A,16,22,19,28,15,26,19,10,17
Aquaculture Registration (Renewal),371,308,291,261,248,246,228,224,222,215
Aquaculture Registration - Surcharge,No Data,No Data,No Data,No Data,No Data,75,83,82,77,79
Aquaculture Registration - Interest (per month ),No Data,No Data,No Data,No Data,No Data,12,33,32,22,18
Aquaculture Registration - Penalty,No Data,No Data,No Data,No Data,No Data,12,33,32,22,18
Commercial Hunting Club License,41,41,37,57,78,79,91,86,90,96
Dog Training Permit,422,571,524,525,586,592,612,675,761,761
Domesticated Game Bird Seals,"57,961","40,118","48,331","42,557","55,173","28,582","17,294","12,347","13,058","16,988"
Domesticated Game Breeder's License Class 1,641,687,645,604,544,475,439,401,382,355
Domesticated Game Breeder's License Class 2,76,69,78,76,70,77,84,67,67,64
Falconer Raptor Capture Permit (NR),N/A,N/A,N/A,N/A,N/A,N/A,2,2,0,0
Falconry License - Application Fee,N/A,N/A,N/A,40,537,613,583,625,577,590
Falconry License,608,624,598,614,605,603,583,607,577,596
Fallow Deer Farming Permit,N/A,N/A,N/A,N/A,N/A,15,15,15,15,15
Fallow Deer Farming Permit - Application Fee,N/A,N/A,N/A,N/A,N/A,16,15,15,3,2
Fallow Deer Farming Permit - Inspection Fee,N/A,N/A,N/A,N/A,N/A,1,2,4,4,4
Fur Agent License,0,0,1,0,0,1,1,1,0,0
Fur Dealer License,11,27,17,14,13,10,10,8,7,5
Game Bird Club Seals,"303,094","257,102","216,352.00","243,307","240,878","285,610","271,208","230,797","254,553","272,820"
Guide License (R),897,763,727,762,796,897,928,967,986,"1,059"
Guide License (NR),45,32,36,35,25,35,43,48,41,47
Licensed Guide Employee Registration,55,42,67,46,64,72,63,93,72,64
"Licensed Game Bird Club, Zone A - 500 acres or less",78,86,59,52,45,47,45,39,39,45
"Licensed Game Bird Club, Zone A - over 500 acres",85,86,50,53,54,49,43,41,39,43
"Licensed Game Bird Club, Zone B - 500 acres or less",N/A,N/A,32,38,33,34,31,29,25,30
"Licensed Game Bird Club, Zone B - over 500 acres",N/A,N/A,33,27,27,27,29,28,26,30
Lic. Domesticated Migratory Game Bird Shooting Area,6,5,7,6,5,3,4,3,3,4
Native Reptile Captive Propagation Permit,N/A,N/A,N/A,N/A,N/A,N/A,18,108,99,99
Native Reptile & Amphibian Permit (Take by Biol. Supply House),N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,2,1
Organizational Field Trial Permit,91,90,84,80,95,87,97,99,98,90
"Restricted Species Permit - Animal Care, Detrimental",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,22
"Restricted Species Permit - Animal Care, Welfare",N/A,N/A,N/A,N/A,N/A,N/A,36,58,51,52
Restricted Species Permit - Application Fee (Amended or Renewal),N/A,N/A,N/A,N/A,N/A,N/A,252,333,404,388
"Restricted Species Permit - AZA, Detrimental",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,21
Restricted Species Permit - Breeding,N/A,N/A,N/A,N/A,N/A,N/A,20,31,34,30
Restricted Species Permit - Broker/Dealer (R),N/A,N/A,N/A,N/A,N/A,N/A,0,1,1,0
Restricted Species Permit - Broker/Dealer (NR),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1
Restricted Species Permit - Clearinghouse,N/A,N/A,N/A,N/A,N/A,N/A,1,1,N/A,N/A
Restricted Species Permit - Detrimental Species,N/A,N/A,N/A,N/A,N/A,N/A,59,83,56,N/A
Restricted Species Permit - Exhibiting (R),N/A,N/A,N/A,N/A,N/A,N/A,69,117,120,130
Restricted Species Permit - Exhibiting (NR),N/A,N/A,N/A,N/A,N/A,N/A,25,34,41,39
Restricted Species Permit - Inspection Fee (Except Aquaculture & Fish),N/A,N/A,N/A,N/A,N/A,N/A,12,4,18,15
Restricted Species Permit - Native Species Exhibiting,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,6
"Restricted Species Permit - Research, Detrimental",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,33
Restricted Species Permit - Shelter,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,7
Restricted Species Permit - Single Event Breeding,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,4
Scientific Collecting Permit (R),248,"1,043",505,934,636,921,618,866,553,836
Scientific Collecting Permit (NR),27,42,57,45,40,34,61,49,37,41
Scientific Collecting Permit (Student),180,262,250,220,255,252,310,297,323,292
Suction Dredge - Inspection Fee (R),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,6
Suction Dredge - Inspection Fee (NR),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,3
Suction Dredge - Standard (R),"4,174","4,020","4,059","5,420","5,065","4,780","4,213","4,673","3,718","3,017"
Suction Dredge - Standard (NR),337,283,382,401,427,427,407,522,400,374
Suction Dredge - Special (R),4,680,143,578,"1,186","1,515",938,"2,746",N/A,N/A
Suction Dredge - Special (NR),N/A,N/A,N/A,N/A,251,256,529,820,N/A,N/A
Trapping License (Junior),21,12,6,8,6,7,2,6,4,0
Trapping License (R),494,351,323,264,294,230,269,271,135,93
Trapping License (NR),3,3,4,2,3,2,2,2,2,0
