"source","table","year","open_bed_t","leased_bed_t","total_t"
"FB 170","Appendix III",1916,134537,0,134537
"FB 170","Appendix III",1917,394974,0,394974
"FB 170","Appendix III",1918,395098,0,395098
"FB 170","Appendix III",1919,16673,0,16673
"FB 170","Appendix III",1920,25464,0,25464
"FB 170","Appendix III",1921,NA,NA,NA
"FB 170","Appendix III",1922,NA,NA,NA
"FB 170","Appendix III",1923,NA,NA,NA
"FB 170","Appendix III",1924,NA,NA,NA
"FB 170","Appendix III",1925,NA,NA,NA
"FB 170","Appendix III",1926,NA,NA,NA
"FB 170","Appendix III",1927,NA,NA,NA
"FB 170","Appendix III",1928,NA,NA,NA
"FB 170","Appendix III",1929,NA,NA,NA
"FB 170","Appendix III",1930,NA,NA,NA
"FB 170","Appendix III",1931,0,260,260
"FB 170","Appendix III",1932,301.61,10013.08,10314.69
"FB 170","Appendix III",1933,52.75,21568.65,21621.4
"FB 170","Appendix III",1934,1827.21,14052.57,15879.78
"FB 170","Appendix III",1935,0,30601.83,30601.83
"FB 170","Appendix III",1936,14336.7,34980.34,49317.04
"FB 170","Appendix III",1937,9612.7,34340.65,43953.35
"FB 170","Appendix III",1938,18284.06,29413.25,47697.31
"FB 170","Appendix III",1939,25546.3,31189.7,56736
"FB 170","Appendix III",1940,33322.2,25682.2,59004.4
"FB 170","Appendix III",1941,36103,19614,55717
"FB 170","Appendix III",1942,44880.11,17017.65,61897.76
"FB 170","Appendix III",1943,19547.44,28410.86,47958.3
"FB 170","Appendix III",1944,22710.5,30319.4,53029.9
"FB 170","Appendix III",1945,37541.3,21639.9,59181.2
"FB 170","Appendix III",1946,60384.9,30683.6,91068.5
"FB 170","Appendix III",1947,46028.8,28207.8,74236.6
"FB 170","Appendix III",1948,50966.1,27675,78641.1
"FB 170","Appendix III",1949,56076,27270,83346
"FB 170","Appendix III",1950,49955,50647,100602
"FB 170","Appendix III",1951,30318,84442,114760
"FB 170","Appendix III",1952,37906,72252.5,110158.5
"FB 170","Appendix III",1953,37172.5,89476.5,126649
"FB 170","Appendix III",1954,40269,65946.5,106215.5
"FB 170","Appendix III",1955,38992,85071,124063
"FB 170","Appendix III",1956,35476.5,82339,117815.5
"FB 170","Appendix III",1957,32810.75,61396.5,94207.25
"FB 170","Appendix III",1958,41105.75,72955.75,114061.5
"FB 170","Appendix III",1959,42289.65,47309.45,89599.1
"FB 170","Appendix III",1960,61914.95,58384.85,120299.8
"FB 170","Appendix III",1961,71952.7,57303.3,129256
"FB 170","Appendix III",1962,86227.7,54005.1,140232.8
"FB 170","Appendix III",1963,57517,63514.8,121031.8
"FB 170","Appendix III",1964,35592.9,91660.85,127253.75
"FB 170","Appendix III",1965,33464.1,101664.9,135129
"FB 170","Appendix III",1966,11100.7,108363.2,119463.9
"FB 170","Appendix III",1967,9331,122164,131495
"FB 170","Appendix III",1968,20388.2,114465.15,134853.35
"FB 170","Appendix III",1969,10028.7,121210.5,131239.2
"FB 170","Appendix III",1970,8058,118981,127039
"FB 170","Appendix III",1971,19476,136083,155559
"FB 170","Appendix III",1972,12332,150179,162511
"FB 170","Appendix III",1973,24539,128541,153080
"FB 170","Appendix III",1974,37994.12,132187,170181.12
"FB 170","Appendix III",1975,30213.6,141384,171597.6
"FB 170","Appendix III",1976,27279.48,131092,158371.48
