"source_landings","source_cpfvs","source_anglers","source_time","region","port_complex_group","port_complex","year","landings_n","cpfvs_n","anglers_n","days_n","hours_n"
"CDFW 2009 landings08_cpfv2.pdf","CDFW 2009 landings08_cpfv2.pdf","CDFW 2009 landings08_cpfv2.pdf","CDFW 2009 landings08_cpfv2.pdf","Northern","Bodega Bay","Princeton-Bodega Bay",2008,103405,18,12068,NA,NA
"CDFW 2009 landings08_cpfv2.pdf","CDFW 2009 landings08_cpfv2.pdf","CDFW 2009 landings08_cpfv2.pdf","CDFW 2009 landings08_cpfv2.pdf","Northern","Eureka","Fort Bragg-Eureka-Crescent City",2008,44529,17,5876,NA,NA
"CDFW 2009 landings08_cpfv2.pdf","CDFW 2009 landings08_cpfv2.pdf","CDFW 2009 landings08_cpfv2.pdf","CDFW 2009 landings08_cpfv2.pdf","Southern","Los Angeles","Newport Beach",2008,142463,19,49375,NA,NA
"CDFW 2009 landings08_cpfv2.pdf","CDFW 2009 landings08_cpfv2.pdf","CDFW 2009 landings08_cpfv2.pdf","CDFW 2009 landings08_cpfv2.pdf","Southern","Los Angeles","Oceanside-Dana Harbor",2008,124849,25,55051,NA,NA
"CDFW 2009 landings08_cpfv2.pdf","CDFW 2009 landings08_cpfv2.pdf","CDFW 2009 landings08_cpfv2.pdf","CDFW 2009 landings08_cpfv2.pdf","Southern","Los Angeles","Redondo-Marina del Rey-Malibu",2008,173595,12,42137,NA,NA
"CDFW 2009 landings08_cpfv2.pdf","CDFW 2009 landings08_cpfv2.pdf","CDFW 2009 landings08_cpfv2.pdf","CDFW 2009 landings08_cpfv2.pdf","Southern","Los Angeles","Seal Beach-Long Beach-San Pedro",2008,511280,43,92185,NA,NA
"CDFW 2009 landings08_cpfv2.pdf","CDFW 2009 landings08_cpfv2.pdf","CDFW 2009 landings08_cpfv2.pdf","CDFW 2009 landings08_cpfv2.pdf","Northern","Monterey","Monterey-Moss Landing-Santa Cruz",2008,125100,13,12465,NA,NA
"CDFW 2009 landings08_cpfv2.pdf","CDFW 2009 landings08_cpfv2.pdf","CDFW 2009 landings08_cpfv2.pdf","CDFW 2009 landings08_cpfv2.pdf","Northern","Morro Bay","Avila Beach-Morro Bay",2008,155726,9,17470,NA,NA
"CDFW 2009 landings08_cpfv2.pdf","CDFW 2009 landings08_cpfv2.pdf","CDFW 2009 landings08_cpfv2.pdf","CDFW 2009 landings08_cpfv2.pdf","Southern","San Diego","San Diego-Mission Bay",2008,458554,80,119910,NA,NA
"CDFW 2009 landings08_cpfv2.pdf","CDFW 2009 landings08_cpfv2.pdf","CDFW 2009 landings08_cpfv2.pdf","CDFW 2009 landings08_cpfv2.pdf","Northern","San Francisco","San Francisco-SF Bay-Delta",2008,106562,49,30663,NA,NA
"CDFW 2009 landings08_cpfv2.pdf","CDFW 2009 landings08_cpfv2.pdf","CDFW 2009 landings08_cpfv2.pdf","CDFW 2009 landings08_cpfv2.pdf","Southern","Santa Barbara","Port Hueneme-Oxnard-Ventura-Santa Barbara",2008,291859,33,40863,NA,NA
"CDFW 2010 landings09_cpfv1.pdf","CDFW 2010 landings09_cpfv1.pdf","CDFW 2010 landings09_cpfv1.pdf","CDFW 2010 landings09_cpfv1.pdf","Northern","Bodega Bay","Princeton-Bodega Bay",2009,92607,16,10706,NA,NA
"CDFW 2010 landings09_cpfv1.pdf","CDFW 2010 landings09_cpfv1.pdf","CDFW 2010 landings09_cpfv1.pdf","CDFW 2010 landings09_cpfv1.pdf","Northern","Eureka","Fort Bragg-Eureka-Crescent City",2009,58250,17,7389,NA,NA
"CDFW 2010 landings09_cpfv1.pdf","CDFW 2010 landings09_cpfv1.pdf","CDFW 2010 landings09_cpfv1.pdf","CDFW 2010 landings09_cpfv1.pdf","Southern","Los Angeles","Newport Beach",2009,117444,20,42559,NA,NA
"CDFW 2010 landings09_cpfv1.pdf","CDFW 2010 landings09_cpfv1.pdf","CDFW 2010 landings09_cpfv1.pdf","CDFW 2010 landings09_cpfv1.pdf","Southern","Los Angeles","Oceanside-Dana Harbor",2009,110448,23,49452,NA,NA
"CDFW 2010 landings09_cpfv1.pdf","CDFW 2010 landings09_cpfv1.pdf","CDFW 2010 landings09_cpfv1.pdf","CDFW 2010 landings09_cpfv1.pdf","Southern","Los Angeles","Redondo-Marina del Rey-Malibu",2009,165428,11,39662,NA,NA
"CDFW 2010 landings09_cpfv1.pdf","CDFW 2010 landings09_cpfv1.pdf","CDFW 2010 landings09_cpfv1.pdf","CDFW 2010 landings09_cpfv1.pdf","Southern","Los Angeles","Seal Beach-Long Beach-San Pedro",2009,465966,46,80988,NA,NA
"CDFW 2010 landings09_cpfv1.pdf","CDFW 2010 landings09_cpfv1.pdf","CDFW 2010 landings09_cpfv1.pdf","CDFW 2010 landings09_cpfv1.pdf","Northern","Monterey","Monterey-Moss Landing-Santa Cruz",2009,132684,13,12624,NA,NA
"CDFW 2010 landings09_cpfv1.pdf","CDFW 2010 landings09_cpfv1.pdf","CDFW 2010 landings09_cpfv1.pdf","CDFW 2010 landings09_cpfv1.pdf","Northern","Morro Bay","Avila Beach-Morro Bay",2009,138143,8,16890,NA,NA
"CDFW 2010 landings09_cpfv1.pdf","CDFW 2010 landings09_cpfv1.pdf","CDFW 2010 landings09_cpfv1.pdf","CDFW 2010 landings09_cpfv1.pdf","Southern","San Diego","San Diego-Mission Bay",2009,446821,83,104780,NA,NA
"CDFW 2010 landings09_cpfv1.pdf","CDFW 2010 landings09_cpfv1.pdf","CDFW 2010 landings09_cpfv1.pdf","CDFW 2010 landings09_cpfv1.pdf","Northern","San Francisco","San Francisco-SF Bay-Delta",2009,83424,47,26606,NA,NA
"CDFW 2010 landings09_cpfv1.pdf","CDFW 2010 landings09_cpfv1.pdf","CDFW 2010 landings09_cpfv1.pdf","CDFW 2010 landings09_cpfv1.pdf","Southern","Santa Barbara","Port Hueneme-Oxnard-Ventura-Santa Barbara",2009,281283,31,41207,NA,NA
"CDFW 2011 CPFV Annual Report - Page 1.pdf","CDFW 2011 CPFV Annual Report - Page 1.pdf","CDFW 2011 CPFV Annual Report - Page 1.pdf","CDFW 2011 CPFV Annual Report - Page 1.pdf","Northern","Bodega Bay","Princeton-Bodega Bay",2010,85040,21,12160,NA,NA
"CDFW 2011 CPFV Annual Report - Page 1.pdf","CDFW 2011 CPFV Annual Report - Page 1.pdf","CDFW 2011 CPFV Annual Report - Page 1.pdf","CDFW 2011 CPFV Annual Report - Page 1.pdf","Northern","Eureka","Fort Bragg-Eureka-Crescent City",2010,52520,18,6217,NA,NA
"CDFW 2011 CPFV Annual Report - Page 1.pdf","CDFW 2011 CPFV Annual Report - Page 1.pdf","CDFW 2011 CPFV Annual Report - Page 1.pdf","CDFW 2011 CPFV Annual Report - Page 1.pdf","Southern","Los Angeles","Newport Beach",2010,112698,16,40335,NA,NA
"CDFW 2011 CPFV Annual Report - Page 1.pdf","CDFW 2011 CPFV Annual Report - Page 1.pdf","CDFW 2011 CPFV Annual Report - Page 1.pdf","CDFW 2011 CPFV Annual Report - Page 1.pdf","Southern","Los Angeles","Oceanside-Dana Harbor",2010,87732,18,40849,NA,NA
"CDFW 2011 CPFV Annual Report - Page 1.pdf","CDFW 2011 CPFV Annual Report - Page 1.pdf","CDFW 2011 CPFV Annual Report - Page 1.pdf","CDFW 2011 CPFV Annual Report - Page 1.pdf","Southern","Los Angeles","Redondo-Marina del Rey-Malibu",2010,146052,12,34692,NA,NA
"CDFW 2011 CPFV Annual Report - Page 1.pdf","CDFW 2011 CPFV Annual Report - Page 1.pdf","CDFW 2011 CPFV Annual Report - Page 1.pdf","CDFW 2011 CPFV Annual Report - Page 1.pdf","Southern","Los Angeles","Seal Beach-Long Beach-San Pedro",2010,422437,42,73518,NA,NA
"CDFW 2011 CPFV Annual Report - Page 1.pdf","CDFW 2011 CPFV Annual Report - Page 1.pdf","CDFW 2011 CPFV Annual Report - Page 1.pdf","CDFW 2011 CPFV Annual Report - Page 1.pdf","Northern","Monterey","Monterey-Moss Landing-Santa Cruz",2010,122941,16,15765,NA,NA
"CDFW 2011 CPFV Annual Report - Page 1.pdf","CDFW 2011 CPFV Annual Report - Page 1.pdf","CDFW 2011 CPFV Annual Report - Page 1.pdf","CDFW 2011 CPFV Annual Report - Page 1.pdf","Northern","Morro Bay","Avila Beach-Morro Bay",2010,128630,10,16297,NA,NA
"CDFW 2011 CPFV Annual Report - Page 1.pdf","CDFW 2011 CPFV Annual Report - Page 1.pdf","CDFW 2011 CPFV Annual Report - Page 1.pdf","CDFW 2011 CPFV Annual Report - Page 1.pdf","Southern","San Diego","San Diego-Mission Bay",2010,321882,83,85680,NA,NA
"CDFW 2011 CPFV Annual Report - Page 1.pdf","CDFW 2011 CPFV Annual Report - Page 1.pdf","CDFW 2011 CPFV Annual Report - Page 1.pdf","CDFW 2011 CPFV Annual Report - Page 1.pdf","Northern","San Francisco","San Francisco-SF Bay-Delta",2010,95199,54,27636,NA,NA
"CDFW 2011 CPFV Annual Report - Page 1.pdf","CDFW 2011 CPFV Annual Report - Page 1.pdf","CDFW 2011 CPFV Annual Report - Page 1.pdf","CDFW 2011 CPFV Annual Report - Page 1.pdf","Southern","Santa Barbara","Port Hueneme-Oxnard-Ventura-Santa Barbara",2010,256930,28,36376,NA,NA
"CDFW 2012 CPFV Annual Report - Page 1.pdf","CDFW 2012 CPFV Annual Report - Page 1.pdf","CDFW 2012 CPFV Annual Report - Page 1.pdf","CDFW 2012 CPFV Annual Report - Page 1.pdf","Northern","Bodega Bay","Princeton-Bodega Bay",2011,139796,25,17004,NA,NA
"CDFW 2012 CPFV Annual Report - Page 1.pdf","CDFW 2012 CPFV Annual Report - Page 1.pdf","CDFW 2012 CPFV Annual Report - Page 1.pdf","CDFW 2012 CPFV Annual Report - Page 1.pdf","Northern","Eureka","Fort Bragg-Eureka-Crescent City",2011,72741,23,10699,NA,NA
"CDFW 2012 CPFV Annual Report - Page 1.pdf","CDFW 2012 CPFV Annual Report - Page 1.pdf","CDFW 2012 CPFV Annual Report - Page 1.pdf","CDFW 2012 CPFV Annual Report - Page 1.pdf","Southern","Los Angeles","Newport Beach",2011,191943,25,52899,NA,NA
"CDFW 2012 CPFV Annual Report - Page 1.pdf","CDFW 2012 CPFV Annual Report - Page 1.pdf","CDFW 2012 CPFV Annual Report - Page 1.pdf","CDFW 2012 CPFV Annual Report - Page 1.pdf","Southern","Los Angeles","Oceanside-Dana Harbor",2011,102783,21,43142,NA,NA
"CDFW 2012 CPFV Annual Report - Page 1.pdf","CDFW 2012 CPFV Annual Report - Page 1.pdf","CDFW 2012 CPFV Annual Report - Page 1.pdf","CDFW 2012 CPFV Annual Report - Page 1.pdf","Southern","Los Angeles","Redondo-Marina del Rey-Malibu",2011,209872,10,40359,NA,NA
"CDFW 2012 CPFV Annual Report - Page 1.pdf","CDFW 2012 CPFV Annual Report - Page 1.pdf","CDFW 2012 CPFV Annual Report - Page 1.pdf","CDFW 2012 CPFV Annual Report - Page 1.pdf","Southern","Los Angeles","Seal Beach-Long Beach-San Pedro",2011,536458,53,78329,NA,NA
"CDFW 2012 CPFV Annual Report - Page 1.pdf","CDFW 2012 CPFV Annual Report - Page 1.pdf","CDFW 2012 CPFV Annual Report - Page 1.pdf","CDFW 2012 CPFV Annual Report - Page 1.pdf","Northern","Monterey","Monterey-Moss Landing-Santa Cruz",2011,136771,16,17879,NA,NA
"CDFW 2012 CPFV Annual Report - Page 1.pdf","CDFW 2012 CPFV Annual Report - Page 1.pdf","CDFW 2012 CPFV Annual Report - Page 1.pdf","CDFW 2012 CPFV Annual Report - Page 1.pdf","Northern","Morro Bay","Avila Beach-Morro Bay",2011,166284,12,19238,NA,NA
"CDFW 2012 CPFV Annual Report - Page 1.pdf","CDFW 2012 CPFV Annual Report - Page 1.pdf","CDFW 2012 CPFV Annual Report - Page 1.pdf","CDFW 2012 CPFV Annual Report - Page 1.pdf","Southern","San Diego","San Diego-Mission Bay",2011,414099,81,90357,NA,NA
"CDFW 2012 CPFV Annual Report - Page 1.pdf","CDFW 2012 CPFV Annual Report - Page 1.pdf","CDFW 2012 CPFV Annual Report - Page 1.pdf","CDFW 2012 CPFV Annual Report - Page 1.pdf","Northern","San Francisco","San Francisco-SF Bay-Delta",2011,150125,62,33908,NA,NA
"CDFW 2012 CPFV Annual Report - Page 1.pdf","CDFW 2012 CPFV Annual Report - Page 1.pdf","CDFW 2012 CPFV Annual Report - Page 1.pdf","CDFW 2012 CPFV Annual Report - Page 1.pdf","Southern","Santa Barbara","Port Hueneme-Oxnard-Ventura-Santa Barbara",2011,399518,30,51788,NA,NA
"CDFW 2013 CPFV ANNUAL 2.pdf","CDFW 2013 CPFV ANNUAL 2.pdf","CDFW 2013 CPFV ANNUAL 2.pdf","CDFW 2013 CPFV ANNUAL 2.pdf","Northern","Bodega Bay","Princeton-Bodega Bay",2012,126143,32,19047,NA,NA
"CDFW 2013 CPFV ANNUAL 2.pdf","CDFW 2013 CPFV ANNUAL 2.pdf","CDFW 2013 CPFV ANNUAL 2.pdf","CDFW 2013 CPFV ANNUAL 2.pdf","Northern","Eureka","Fort Bragg-Eureka-Crescent City",2012,72185,22,12023,NA,NA
"CDFW 2013 CPFV ANNUAL 2.pdf","CDFW 2013 CPFV ANNUAL 2.pdf","CDFW 2013 CPFV ANNUAL 2.pdf","CDFW 2013 CPFV ANNUAL 2.pdf","Southern","Los Angeles","Newport Beach",2012,214799,19,58915,NA,NA
"CDFW 2013 CPFV ANNUAL 2.pdf","CDFW 2013 CPFV ANNUAL 2.pdf","CDFW 2013 CPFV ANNUAL 2.pdf","CDFW 2013 CPFV ANNUAL 2.pdf","Southern","Los Angeles","Oceanside-Dana Harbor",2012,96501,23,43947,NA,NA
"CDFW 2013 CPFV ANNUAL 2.pdf","CDFW 2013 CPFV ANNUAL 2.pdf","CDFW 2013 CPFV ANNUAL 2.pdf","CDFW 2013 CPFV ANNUAL 2.pdf","Southern","Los Angeles","Redondo-Marina del Rey-Malibu",2012,215036,15,43221,NA,NA
"CDFW 2013 CPFV ANNUAL 2.pdf","CDFW 2013 CPFV ANNUAL 2.pdf","CDFW 2013 CPFV ANNUAL 2.pdf","CDFW 2013 CPFV ANNUAL 2.pdf","Southern","Los Angeles","Seal Beach-Long Beach-San Pedro",2012,509417,56,74457,NA,NA
"CDFW 2013 CPFV ANNUAL 2.pdf","CDFW 2013 CPFV ANNUAL 2.pdf","CDFW 2013 CPFV ANNUAL 2.pdf","CDFW 2013 CPFV ANNUAL 2.pdf","Northern","Monterey","Monterey-Moss Landing-Santa Cruz",2012,145185,22,22721,NA,NA
"CDFW 2013 CPFV ANNUAL 2.pdf","CDFW 2013 CPFV ANNUAL 2.pdf","CDFW 2013 CPFV ANNUAL 2.pdf","CDFW 2013 CPFV ANNUAL 2.pdf","Northern","Morro Bay","Avila Beach-Morro Bay",2012,132708,9,16998,NA,NA
"CDFW 2013 CPFV ANNUAL 2.pdf","CDFW 2013 CPFV ANNUAL 2.pdf","CDFW 2013 CPFV ANNUAL 2.pdf","CDFW 2013 CPFV ANNUAL 2.pdf","Southern","San Diego","San Diego-Mission Bay",2012,493977,102,117335,NA,NA
"CDFW 2013 CPFV ANNUAL 2.pdf","CDFW 2013 CPFV ANNUAL 2.pdf","CDFW 2013 CPFV ANNUAL 2.pdf","CDFW 2013 CPFV ANNUAL 2.pdf","Northern","San Francisco","San Francisco-SF Bay-Delta",2012,161523,58,36910,NA,NA
"CDFW 2013 CPFV ANNUAL 2.pdf","CDFW 2013 CPFV ANNUAL 2.pdf","CDFW 2013 CPFV ANNUAL 2.pdf","CDFW 2013 CPFV ANNUAL 2.pdf","Southern","Santa Barbara","Port Hueneme-Oxnard-Ventura-Santa Barbara",2012,491817,30,62355,NA,NA
"CDFW 2014 CPFV 2.pdf","CDFW 2014 CPFV 2.pdf","CDFW 2014 CPFV 2.pdf","CDFW 2014 CPFV 2.pdf","Northern","Bodega Bay","Princeton-Bodega Bay",2013,139857,32,18827,NA,NA
"CDFW 2014 CPFV 2.pdf","CDFW 2014 CPFV 2.pdf","CDFW 2014 CPFV 2.pdf","CDFW 2014 CPFV 2.pdf","Northern","Eureka","Fort Bragg-Eureka-Crescent City",2013,69711,24,12134,NA,NA
"CDFW 2014 CPFV 2.pdf","CDFW 2014 CPFV 2.pdf","CDFW 2014 CPFV 2.pdf","CDFW 2014 CPFV 2.pdf","Southern","Los Angeles","Newport Beach",2013,265926,16,58355,NA,NA
"CDFW 2014 CPFV 2.pdf","CDFW 2014 CPFV 2.pdf","CDFW 2014 CPFV 2.pdf","CDFW 2014 CPFV 2.pdf","Southern","Los Angeles","Oceanside-Dana Harbor",2013,112301,24,43388,NA,NA
"CDFW 2014 CPFV 2.pdf","CDFW 2014 CPFV 2.pdf","CDFW 2014 CPFV 2.pdf","CDFW 2014 CPFV 2.pdf","Southern","Los Angeles","Redondo-Marina del Rey-Malibu",2013,267375,17,47326,NA,NA
"CDFW 2014 CPFV 2.pdf","CDFW 2014 CPFV 2.pdf","CDFW 2014 CPFV 2.pdf","CDFW 2014 CPFV 2.pdf","Southern","Los Angeles","Seal Beach-Long Beach-San Pedro",2013,527140,58,79740,NA,NA
"CDFW 2014 CPFV 2.pdf","CDFW 2014 CPFV 2.pdf","CDFW 2014 CPFV 2.pdf","CDFW 2014 CPFV 2.pdf","Northern","Monterey","Monterey-Moss Landing-Santa Cruz",2013,203566,19,21943,NA,NA
"CDFW 2014 CPFV 2.pdf","CDFW 2014 CPFV 2.pdf","CDFW 2014 CPFV 2.pdf","CDFW 2014 CPFV 2.pdf","Northern","Morro Bay","Avila Beach-Morro Bay",2013,178942,9,21202,NA,NA
"CDFW 2014 CPFV 2.pdf","CDFW 2014 CPFV 2.pdf","CDFW 2014 CPFV 2.pdf","CDFW 2014 CPFV 2.pdf","Southern","San Diego","San Diego-Mission Bay",2013,551420,106,127559,NA,NA
"CDFW 2014 CPFV 2.pdf","CDFW 2014 CPFV 2.pdf","CDFW 2014 CPFV 2.pdf","CDFW 2014 CPFV 2.pdf","Northern","San Francisco","San Francisco-SF Bay-Delta",2013,238285,63,46908,NA,NA
"CDFW 2014 CPFV 2.pdf","CDFW 2014 CPFV 2.pdf","CDFW 2014 CPFV 2.pdf","CDFW 2014 CPFV 2.pdf","Southern","Santa Barbara","Port Hueneme-Oxnard-Ventura-Santa Barbara",2013,488966,32,64307,NA,NA
"CDFW 2015 Annual CPFV 2.pdf","CDFW 2015 Annual CPFV 2.pdf","CDFW 2015 Annual CPFV 2.pdf","CDFW 2015 Annual CPFV 2.pdf","Northern","Bodega Bay","Princeton-Bodega Bay",2014,158506,29,17883,NA,NA
"CDFW 2015 Annual CPFV 2.pdf","CDFW 2015 Annual CPFV 2.pdf","CDFW 2015 Annual CPFV 2.pdf","CDFW 2015 Annual CPFV 2.pdf","Northern","Eureka","Fort Bragg-Eureka-Crescent City",2014,83141,34,12565,NA,NA
"CDFW 2015 Annual CPFV 2.pdf","CDFW 2015 Annual CPFV 2.pdf","CDFW 2015 Annual CPFV 2.pdf","CDFW 2015 Annual CPFV 2.pdf","Southern","Los Angeles","Newport Beach",2014,231728,17,65379,NA,NA
"CDFW 2015 Annual CPFV 2.pdf","CDFW 2015 Annual CPFV 2.pdf","CDFW 2015 Annual CPFV 2.pdf","CDFW 2015 Annual CPFV 2.pdf","Southern","Los Angeles","Oceanside-Dana Harbor",2014,101353,26,49210,NA,NA
"CDFW 2015 Annual CPFV 2.pdf","CDFW 2015 Annual CPFV 2.pdf","CDFW 2015 Annual CPFV 2.pdf","CDFW 2015 Annual CPFV 2.pdf","Southern","Los Angeles","Redondo-Marina del Rey-Malibu",2014,215266,18,39036,NA,NA
"CDFW 2015 Annual CPFV 2.pdf","CDFW 2015 Annual CPFV 2.pdf","CDFW 2015 Annual CPFV 2.pdf","CDFW 2015 Annual CPFV 2.pdf","Southern","Los Angeles","Seal Beach-Long Beach-San Pedro",2014,547062,63,91701,NA,NA
"CDFW 2015 Annual CPFV 2.pdf","CDFW 2015 Annual CPFV 2.pdf","CDFW 2015 Annual CPFV 2.pdf","CDFW 2015 Annual CPFV 2.pdf","Northern","Monterey","Monterey-Moss Landing-Santa Cruz",2014,306834,20,23941,NA,NA
"CDFW 2015 Annual CPFV 2.pdf","CDFW 2015 Annual CPFV 2.pdf","CDFW 2015 Annual CPFV 2.pdf","CDFW 2015 Annual CPFV 2.pdf","Northern","Morro Bay","Avila Beach-Morro Bay",2014,204832,11,23651,NA,NA
"CDFW 2015 Annual CPFV 2.pdf","CDFW 2015 Annual CPFV 2.pdf","CDFW 2015 Annual CPFV 2.pdf","CDFW 2015 Annual CPFV 2.pdf","Southern","San Diego","San Diego-Mission Bay",2014,591331,120,132737,NA,NA
"CDFW 2015 Annual CPFV 2.pdf","CDFW 2015 Annual CPFV 2.pdf","CDFW 2015 Annual CPFV 2.pdf","CDFW 2015 Annual CPFV 2.pdf","Northern","San Francisco","San Francisco-SF Bay-Delta",2014,250868,74,50238,NA,NA
"CDFW 2015 Annual CPFV 2.pdf","CDFW 2015 Annual CPFV 2.pdf","CDFW 2015 Annual CPFV 2.pdf","CDFW 2015 Annual CPFV 2.pdf","Southern","Santa Barbara","Port Hueneme-Oxnard-Ventura-Santa Barbara",2014,548527,36,65357,NA,NA
"CDFW 2016 Annual CPFV 2.pdf","CDFW 2016 Annual CPFV 2.pdf","CDFW 2016 Annual CPFV 2.pdf","CDFW 2016 Annual CPFV 2.pdf","Northern","Bodega Bay","Princeton-Bodega Bay",2015,166071,32,18776,NA,NA
"CDFW 2016 Annual CPFV 2.pdf","CDFW 2016 Annual CPFV 2.pdf","CDFW 2016 Annual CPFV 2.pdf","CDFW 2016 Annual CPFV 2.pdf","Northern","Eureka","Fort Bragg-Eureka-Crescent City",2015,96678,30,12877,NA,NA
"CDFW 2016 Annual CPFV 2.pdf","CDFW 2016 Annual CPFV 2.pdf","CDFW 2016 Annual CPFV 2.pdf","CDFW 2016 Annual CPFV 2.pdf","Southern","Los Angeles","Newport Beach",2015,198499,19,67876,NA,NA
"CDFW 2016 Annual CPFV 2.pdf","CDFW 2016 Annual CPFV 2.pdf","CDFW 2016 Annual CPFV 2.pdf","CDFW 2016 Annual CPFV 2.pdf","Southern","Los Angeles","Oceanside-Dana Harbor",2015,114718,23,58116,NA,NA
"CDFW 2016 Annual CPFV 2.pdf","CDFW 2016 Annual CPFV 2.pdf","CDFW 2016 Annual CPFV 2.pdf","CDFW 2016 Annual CPFV 2.pdf","Southern","Los Angeles","Redondo-Marina del Rey-Malibu",2015,243458,18,48742,NA,NA
"CDFW 2016 Annual CPFV 2.pdf","CDFW 2016 Annual CPFV 2.pdf","CDFW 2016 Annual CPFV 2.pdf","CDFW 2016 Annual CPFV 2.pdf","Southern","Los Angeles","Seal Beach-Long Beach-San Pedro",2015,439718,68,109967,NA,NA
"CDFW 2016 Annual CPFV 2.pdf","CDFW 2016 Annual CPFV 2.pdf","CDFW 2016 Annual CPFV 2.pdf","CDFW 2016 Annual CPFV 2.pdf","Northern","Monterey","Monterey-Moss Landing-Santa Cruz",2015,282589,18,23458,NA,NA
"CDFW 2016 Annual CPFV 2.pdf","CDFW 2016 Annual CPFV 2.pdf","CDFW 2016 Annual CPFV 2.pdf","CDFW 2016 Annual CPFV 2.pdf","Northern","Morro Bay","Avila Beach-Morro Bay",2015,228580,16,24705,NA,NA
"CDFW 2016 Annual CPFV 2.pdf","CDFW 2016 Annual CPFV 2.pdf","CDFW 2016 Annual CPFV 2.pdf","CDFW 2016 Annual CPFV 2.pdf","Southern","San Diego","San Diego-Mission Bay",2015,555898,114,141427,NA,NA
"CDFW 2016 Annual CPFV 2.pdf","CDFW 2016 Annual CPFV 2.pdf","CDFW 2016 Annual CPFV 2.pdf","CDFW 2016 Annual CPFV 2.pdf","Northern","San Francisco","San Francisco-SF Bay-Delta",2015,218851,79,50941,NA,NA
"CDFW 2016 Annual CPFV 2.pdf","CDFW 2016 Annual CPFV 2.pdf","CDFW 2016 Annual CPFV 2.pdf","CDFW 2016 Annual CPFV 2.pdf","Southern","Santa Barbara","Port Hueneme-Oxnard-Ventura-Santa Barbara",2015,530184,33,63938,NA,NA
"CDFW 2017 AnnualPortSideLogReport.pdf","CDFW 2017 AnnualPortSideLogReport.pdf","CDFW 2017 AnnualPortSideLogReport.pdf","CDFW 2017 AnnualPortSideLogReport.pdf","Northern","Bodega Bay","Princeton-Bodega Bay",2016,162617,30,17413,NA,NA
"CDFW 2017 AnnualPortSideLogReport.pdf","CDFW 2017 AnnualPortSideLogReport.pdf","CDFW 2017 AnnualPortSideLogReport.pdf","CDFW 2017 AnnualPortSideLogReport.pdf","Northern","Eureka","Fort Bragg-Eureka-Crescent City",2016,71586,31,10463,NA,NA
"CDFW 2017 AnnualPortSideLogReport.pdf","CDFW 2017 AnnualPortSideLogReport.pdf","CDFW 2017 AnnualPortSideLogReport.pdf","CDFW 2017 AnnualPortSideLogReport.pdf","Southern","Los Angeles","Newport Beach",2016,146850,14,49934,NA,NA
"CDFW 2017 AnnualPortSideLogReport.pdf","CDFW 2017 AnnualPortSideLogReport.pdf","CDFW 2017 AnnualPortSideLogReport.pdf","CDFW 2017 AnnualPortSideLogReport.pdf","Southern","Los Angeles","Oceanside-Dana Harbor",2016,106014,22,48378,NA,NA
"CDFW 2017 AnnualPortSideLogReport.pdf","CDFW 2017 AnnualPortSideLogReport.pdf","CDFW 2017 AnnualPortSideLogReport.pdf","CDFW 2017 AnnualPortSideLogReport.pdf","Southern","Los Angeles","Redondo-Marina del Rey-Malibu",2016,259507,13,43172,NA,NA
"CDFW 2017 AnnualPortSideLogReport.pdf","CDFW 2017 AnnualPortSideLogReport.pdf","CDFW 2017 AnnualPortSideLogReport.pdf","CDFW 2017 AnnualPortSideLogReport.pdf","Southern","Los Angeles","Seal Beach-Long Beach-San Pedro",2016,417206,58,86081,NA,NA
"CDFW 2017 AnnualPortSideLogReport.pdf","CDFW 2017 AnnualPortSideLogReport.pdf","CDFW 2017 AnnualPortSideLogReport.pdf","CDFW 2017 AnnualPortSideLogReport.pdf","Northern","Monterey","Monterey-Moss Landing-Santa Cruz",2016,183036,16,18217,NA,NA
"CDFW 2017 AnnualPortSideLogReport.pdf","CDFW 2017 AnnualPortSideLogReport.pdf","CDFW 2017 AnnualPortSideLogReport.pdf","CDFW 2017 AnnualPortSideLogReport.pdf","Northern","Morro Bay","Avila Beach-Morro Bay",2016,240537,16,26934,NA,NA
"CDFW 2017 AnnualPortSideLogReport.pdf","CDFW 2017 AnnualPortSideLogReport.pdf","CDFW 2017 AnnualPortSideLogReport.pdf","CDFW 2017 AnnualPortSideLogReport.pdf","Southern","San Diego","San Diego-Mission Bay",2016,310584,98,98656,NA,NA
"CDFW 2017 AnnualPortSideLogReport.pdf","CDFW 2017 AnnualPortSideLogReport.pdf","CDFW 2017 AnnualPortSideLogReport.pdf","CDFW 2017 AnnualPortSideLogReport.pdf","Northern","San Francisco","San Francisco-SF Bay-Delta",2016,225071,71,45872,NA,NA
"CDFW 2017 AnnualPortSideLogReport.pdf","CDFW 2017 AnnualPortSideLogReport.pdf","CDFW 2017 AnnualPortSideLogReport.pdf","CDFW 2017 AnnualPortSideLogReport.pdf","Southern","Santa Barbara","Port Hueneme-Oxnard-Ventura-Santa Barbara",2016,452917,34,57105,NA,NA
"CDFW 2018 AnnualPortSideLogReport.pdf","CDFW 2018 AnnualPortSideLogReport.pdf","CDFW 2018 AnnualPortSideLogReport.pdf","CDFW 2018 AnnualPortSideLogReport.pdf","Northern","Bodega Bay","Princeton-Bodega Bay",2017,171355,35,19756,NA,NA
