"source","year","type","harvest_lb","harvest_t","harvest_kg","harvest_mt"
"FB 170",1916,"Reported",269074000,134537,122049928.968787,122049.928968787
"FB 170",1917,"Reported",789948000,394974,358314431.305273,358314.431305273
"FB 170",1918,"Reported",790196000,395098,358426922.227414,358426.922227414
"FB 170",1919,"Reported",33346000,16673,15125493.1037304,15125.4931037304
"FB 170",1920,"Reported",50928000,25464,23100555.1726379,23100.5551726379
"FB 170",1921,"Reported",NA,NA,NA,NA
"FB 170",1922,"Reported",NA,NA,NA,NA
"FB 170",1923,"Reported",NA,NA,NA,NA
"FB 170",1924,"Reported",NA,NA,NA,NA
"FB 170",1925,"Reported",NA,NA,NA,NA
"FB 170",1926,"Reported",NA,NA,NA,NA
"FB 170",1927,"Reported",NA,NA,NA,NA
"FB 170",1928,"Reported",NA,NA,NA,NA
"FB 170",1929,"Reported",NA,NA,NA,NA
"FB 170",1930,"Reported",NA,NA,NA,NA
"FB 170",1931,"Reported",520000,260,235868.062554424,235.868062554424
"FB 170",1932,"Reported",20629380,10314.69,9357330.56211342,9357.33056211342
"FB 170",1933,"Reported",43242800,21621.4,19614606.6450547,19614.6066450547
"FB 170",1934,"Reported",31759560,15879.78,14405895.9322711,14405.8959322711
"FB 170",1935,"Reported",61203660,30601.83,27761516.7412302,27761.5167412302
"FB 170",1936,"Reported",98634080,49317.04,44739671.8296885,44739.6718296885
"FB 170",1937,"Reported",87906700,43953.35,39873813.4895249,39873.8134895249
"FB 170",1938,"Reported",95394620,47697.31,43270277.3029144,43270.2773029144
"FB 170",1939,"Reported",113472000,56736,51470039.9887992,51470.0399887992
"FB 170",1940,"Reported",118008800,59004.4,53527898.1161009,53527.8981161009
"FB 170",1941,"Reported",111434000,55717,50545618.620557,50545.618620557
"FB 170",1942,"Reported",123795520,61897.76,56152710.490995,56152.710490995
"FB 170",1943,"Reported",95916600,47958.3,43507043.4784762,43507.0434784762
"FB 170",1944,"Reported",106059800,53029.9,48107922.1940571,48107.9221940571
"FB 170",1945,"Reported",118362400,59181.2,53688288.3986379,53688.2883986379
"FB 170",1946,"Reported",182137000,91068.5,82615964.0566828,82615.9640566828
"FB 170",1947,"Reported",148473200,74236.6,67346319.2793374,67346.3192793374
"FB 170",1948,"Reported",157282200,78641.1,71342014.977495,71342.014977495
"FB 170",1949,"Reported",166692000,83346,75610229.0063885,75610.2290063885
"FB 170",1950,"Reported",201204000,100602,91264610.8811544,91264.6108811544
"FB 170",1951,"Reported",229520000,114760,104108534.072099,104108.534072099
