"waters","comm_name","comm_name_orig","sci_name","year","landings_n"
"Mexico","Albacore tuna","Tuna, albacore","Thunnus alalunga",2000,104763
"Mexico","Albacore tuna","Tuna, albacore","Thunnus alalunga",2001,140354
"Mexico","Albacore tuna","Tuna, albacore","Thunnus alalunga",2002,192940
"Mexico","Albacore tuna","Tuna, albacore","Thunnus alalunga",2003,193593
"Mexico","Albacore tuna","Tuna, albacore","Thunnus alalunga",2004,161814
"Mexico","Albacore tuna","Tuna, albacore","Thunnus alalunga",2005,82795
"Mexico","Albacore tuna","Tuna, albacore","Thunnus alalunga",2006,17655
"Mexico","Albacore tuna","Tuna, albacore","Thunnus alalunga",2007,65001
"Mexico","Albacore tuna","Tuna, albacore","Thunnus alalunga",2008,31269
"Mexico","Albacore tuna","Tuna, albacore","Thunnus alalunga",2009,30500
"Mexico","Albacore tuna","Tuna, albacore","Thunnus alalunga",2010,15114
"Mexico","Albacore tuna","Tuna, albacore","Thunnus alalunga",2011,254
"Mexico","Albacore tuna","Tuna, albacore","Thunnus alalunga",2012,1690
"Mexico","Albacore tuna","Tuna, albacore","Thunnus alalunga",2013,23
"Mexico","Albacore tuna","Tuna, albacore","Thunnus alalunga",2014,0
"Mexico","Albacore tuna","Tuna, albacore","Thunnus alalunga",2015,0
"Mexico","Albacore tuna","Tuna, albacore","Thunnus alalunga",2016,1
"Mexico","Albacore tuna","Tuna, albacore","Thunnus alalunga",2017,0
"Mexico","Albacore tuna","Tuna, albacore","Thunnus alalunga",2018,0
"Mexico","Albacore tuna","Tuna, albacore","Thunnus alalunga",2019,0
"Mexico","Barred sand bass","Bass, barred sand","Paralabrax nebulifer",2000,18852
"Mexico","Barred sand bass","Bass, barred sand","Paralabrax nebulifer",2001,16775
"Mexico","Barred sand bass","Bass, barred sand","Paralabrax nebulifer",2002,29651
"Mexico","Barred sand bass","Bass, barred sand","Paralabrax nebulifer",2003,35726
"Mexico","Barred sand bass","Bass, barred sand","Paralabrax nebulifer",2004,18937
"Mexico","Barred sand bass","Bass, barred sand","Paralabrax nebulifer",2005,23542
"Mexico","Barred sand bass","Bass, barred sand","Paralabrax nebulifer",2006,17892
"Mexico","Barred sand bass","Bass, barred sand","Paralabrax nebulifer",2007,19067
"Mexico","Barred sand bass","Bass, barred sand","Paralabrax nebulifer",2008,23545
"Mexico","Barred sand bass","Bass, barred sand","Paralabrax nebulifer",2009,10867
"Mexico","Barred sand bass","Bass, barred sand","Paralabrax nebulifer",2010,16479
"Mexico","Barred sand bass","Bass, barred sand","Paralabrax nebulifer",2011,14217
"Mexico","Barred sand bass","Bass, barred sand","Paralabrax nebulifer",2012,3307
"Mexico","Barred sand bass","Bass, barred sand","Paralabrax nebulifer",2013,11511
"Mexico","Barred sand bass","Bass, barred sand","Paralabrax nebulifer",2014,379
"Mexico","Barred sand bass","Bass, barred sand","Paralabrax nebulifer",2015,163
"Mexico","Barred sand bass","Bass, barred sand","Paralabrax nebulifer",2016,212
"Mexico","Barred sand bass","Bass, barred sand","Paralabrax nebulifer",2017,72
"Mexico","Barred sand bass","Bass, barred sand","Paralabrax nebulifer",2018,350
"Mexico","Barred sand bass","Bass, barred sand","Paralabrax nebulifer",2019,351
"Mexico","Blacksmith","Blacksmith","Chromis punctipinnis",2001,0
"Mexico","Blue rockfish","Rockfish, blue","Sebastes mystinus",2000,0
"Mexico","Blue rockfish","Rockfish, blue","Sebastes mystinus",2002,10
"Mexico","Blue rockfish","Rockfish, blue","Sebastes mystinus",2003,94
"Mexico","Blue rockfish","Rockfish, blue","Sebastes mystinus",2004,8
"Mexico","Blue rockfish","Rockfish, blue","Sebastes mystinus",2005,30
"Mexico","Blue rockfish","Rockfish, blue","Sebastes mystinus",2006,685
"Mexico","Blue rockfish","Rockfish, blue","Sebastes mystinus",2007,8
"Mexico","Blue rockfish","Rockfish, blue","Sebastes mystinus",2008,63
