"source","table","season","year","region_type","region","length_class_system","length_class_group","length_class","length_class_floor","nvessels"
"FB 44","Table 30","1934-35",1934,"port complex","Del Norte","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,1
"FB 44","Table 30","1934-35",1934,"port complex","Del Norte","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,9
"FB 44","Table 30","1934-35",1934,"port complex","Del Norte","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,1
"FB 44","Table 30","1934-35",1934,"port complex","Del Norte","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,0
"FB 44","Table 30","1934-35",1934,"port complex","Del Norte","1934-1947: 15-ft bins (85+ max)","85+","85+",85,0
"FB 44","Table 30","1934-35",1934,"port complex","Eureka","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,7
"FB 44","Table 30","1934-35",1934,"port complex","Eureka","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,144
"FB 44","Table 30","1934-35",1934,"port complex","Eureka","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,18
"FB 44","Table 30","1934-35",1934,"port complex","Eureka","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,0
"FB 44","Table 30","1934-35",1934,"port complex","Eureka","1934-1947: 15-ft bins (85+ max)","85+","85+",85,0
"FB 44","Table 30","1934-35",1934,"port complex","Los Angeles","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,124
"FB 44","Table 30","1934-35",1934,"port complex","Los Angeles","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,244
"FB 44","Table 30","1934-35",1934,"port complex","Los Angeles","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,158
"FB 44","Table 30","1934-35",1934,"port complex","Los Angeles","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,65
"FB 44","Table 30","1934-35",1934,"port complex","Los Angeles","1934-1947: 15-ft bins (85+ max)","85+","85+",85,28
"FB 44","Table 30","1934-35",1934,"port complex","Monterey","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,67
"FB 44","Table 30","1934-35",1934,"port complex","Monterey","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,155
"FB 44","Table 30","1934-35",1934,"port complex","Monterey","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,43
"FB 44","Table 30","1934-35",1934,"port complex","Monterey","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,16
"FB 44","Table 30","1934-35",1934,"port complex","Monterey","1934-1947: 15-ft bins (85+ max)","85+","85+",85,0
"FB 44","Table 30","1934-35",1934,"port complex","OR, WA, AK","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,0
"FB 44","Table 30","1934-35",1934,"port complex","OR, WA, AK","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,13
"FB 44","Table 30","1934-35",1934,"port complex","OR, WA, AK","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,38
"FB 44","Table 30","1934-35",1934,"port complex","OR, WA, AK","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,41
"FB 44","Table 30","1934-35",1934,"port complex","OR, WA, AK","1934-1947: 15-ft bins (85+ max)","85+","85+",85,0
"FB 44","Table 30","1934-35",1934,"port complex","Sacramento","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,87
"FB 44","Table 30","1934-35",1934,"port complex","Sacramento","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,148
"FB 44","Table 30","1934-35",1934,"port complex","Sacramento","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,0
"FB 44","Table 30","1934-35",1934,"port complex","Sacramento","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,0
"FB 44","Table 30","1934-35",1934,"port complex","Sacramento","1934-1947: 15-ft bins (85+ max)","85+","85+",85,0
"FB 44","Table 30","1934-35",1934,"port complex","San Diego","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,24
"FB 44","Table 30","1934-35",1934,"port complex","San Diego","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,90
"FB 44","Table 30","1934-35",1934,"port complex","San Diego","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,47
"FB 44","Table 30","1934-35",1934,"port complex","San Diego","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,11
"FB 44","Table 30","1934-35",1934,"port complex","San Diego","1934-1947: 15-ft bins (85+ max)","85+","85+",85,29
"FB 44","Table 30","1934-35",1934,"port complex","San Francisco","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,43
"FB 44","Table 30","1934-35",1934,"port complex","San Francisco","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,343
"FB 44","Table 30","1934-35",1934,"port complex","San Francisco","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,36
"FB 44","Table 30","1934-35",1934,"port complex","San Francisco","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,8
"FB 44","Table 30","1934-35",1934,"port complex","San Francisco","1934-1947: 15-ft bins (85+ max)","85+","85+",85,0
