"source","table","season","year","region_type","region","nfishers","nfishers_nr","nfishers_r","region_group"
"FB 49","Table 144","1916-17",1916,"state","Statewide",2663,NA,NA,"Statewide"
"FB 49","Table 144","1917-18",1917,"state","Statewide",2152,NA,NA,"Statewide"
"FB 49","Table 144","1918-19",1918,"state","Statewide",4522,NA,NA,"Statewide"
"FB 49","Table 144","1919-20",1919,"state","Statewide",5087,NA,NA,"Statewide"
"FB 49","Table 144","1920-21",1920,"state","Statewide",5269,NA,NA,"Statewide"
"FB 49","Table 144","1921-22",1921,"state","Statewide",4462,NA,NA,"Statewide"
"FB 49","Table 144","1922-23",1922,"state","Statewide",4472,NA,NA,"Statewide"
"FB 49","Table 144","1923-24",1923,"state","Statewide",4123,NA,NA,"Statewide"
"FB 49","Table 144","1924-25",1924,"state","Statewide",4671,NA,NA,"Statewide"
"FB 49","Table 144","1925-26",1925,"state","Statewide",5072,NA,NA,"Statewide"
"FB 49","Table 144","1926-27",1926,"state","Statewide",5078,NA,NA,"Statewide"
"FB 49","Table 144","1927-28",1927,"state","Statewide",5206,NA,NA,"Statewide"
"FB 49","Table 144","1928-29",1928,"state","Statewide",5340,NA,NA,"Statewide"
"FB 49","Table 144","1929-30",1929,"state","Statewide",6014,NA,NA,"Statewide"
"FB 49","Table 144","1930-31",1930,"state","Statewide",6179,NA,NA,"Statewide"
"FB 49","Table 144","1931-32",1931,"state","Statewide",5651,NA,NA,"Statewide"
"FB 49","Table 144","1932-33",1932,"state","Statewide",4955,NA,NA,"Statewide"
"FB 49","Table 144","1933-34",1933,"state","Statewide",4991,NA,NA,"Statewide"
"FB 49","Table 144","1934-35",1934,"state","Statewide",5323,NA,NA,"Statewide"
"FB 49","Table 144","1935-36",1935,"area of residence","AK/WA/OR",209,NA,NA,"AK/WA/OR/Other"
"FB 49","Table 144","1935-36",1935,"area of residence","Del Norte",15,NA,NA,"Eureka"
"FB 49","Table 144","1935-36",1935,"area of residence","Eureka",109,NA,NA,"Eureka"
"FB 49","Table 144","1935-36",1935,"area of residence","Los Angeles",1951,NA,NA,"Los Angeles"
"FB 49","Table 144","1935-36",1935,"area of residence","Monterey",946,NA,NA,"Monterey"
"FB 49","Table 144","1935-36",1935,"area of residence","not specified",631,NA,NA,"not specified"
"FB 49","Table 144","1935-36",1935,"area of residence","Sacramento",354,NA,NA,"Sacramento Delta"
"FB 49","Table 144","1935-36",1935,"area of residence","San Diego",901,NA,NA,"San Diego"
"FB 49","Table 144","1935-36",1935,"area of residence","San Francisco",746,NA,NA,"San Francisco"
"FB 49","Table 144","1935-36",1935,"area of residence","Santa Barbara",145,NA,NA,"Santa Barbara"
"FB 57","Table 4","1936-37",1936,"state","Statewide",6981,NA,NA,"Statewide"
"FB 57","Table 4","1937-38",1937,"state","Statewide",7665,NA,NA,"Statewide"
"FB 57","Table 4","1938-39",1938,"state","Statewide",7793,NA,NA,"Statewide"
"FB 57","Table 3","1939-40",1939,"area of residence","AK/WA/OR",432,NA,NA,"AK/WA/OR/Other"
"FB 57","Table 3","1939-40",1939,"area of residence","Del Norte/Eureka",257,NA,NA,"Eureka"
"FB 57","Table 3","1939-40",1939,"area of residence","Los Angeles",3269,NA,NA,"Los Angeles"
"FB 57","Table 3","1939-40",1939,"area of residence","Monterey",1163,NA,NA,"Monterey"
"FB 57","Table 3","1939-40",1939,"area of residence","Sacramento",448,NA,NA,"Sacramento Delta"
"FB 57","Table 3","1939-40",1939,"area of residence","San Diego",1470,NA,NA,"San Diego"
"FB 57","Table 3","1939-40",1939,"area of residence","San Francisco",1387,NA,NA,"San Francisco"
"FB 57","Table 3","1939-40",1939,"area of residence","Santa Barbara",298,NA,NA,"Santa Barbara"
"FB 58","Table 11","1940-41",1940,"area of residence","AK/WA/OR/Other",351,NA,NA,"AK/WA/OR/Other"
"FB 58","Table 11","1940-41",1940,"area of residence","Eureka",252,NA,NA,"Eureka"
"FB 58","Table 11","1940-41",1940,"area of residence","Los Angeles",3534,NA,NA,"Los Angeles"
"FB 58","Table 11","1940-41",1940,"area of residence","Monterey",1195,NA,NA,"Monterey"
"FB 58","Table 11","1940-41",1940,"area of residence","Sacramento",434,NA,NA,"Sacramento Delta"
"FB 58","Table 11","1940-41",1940,"area of residence","San Diego",1452,NA,NA,"San Diego"
"FB 58","Table 11","1940-41",1940,"area of residence","San Francisco",1436,NA,NA,"San Francisco"
"FB 58","Table 11","1940-41",1940,"area of residence","Santa Barbara",393,NA,NA,"Santa Barbara"
"FB 59","Table 16","1941-42",1941,"area of residence","AK/WA/OR",445,NA,NA,"AK/WA/OR/Other"
"FB 59","Table 16","1941-42",1941,"area of residence","Eureka",388,NA,NA,"Eureka"
"FB 59","Table 16","1941-42",1941,"area of residence","Los Angeles",3589,NA,NA,"Los Angeles"
"FB 59","Table 16","1941-42",1941,"area of residence","Monterey",1171,NA,NA,"Monterey"
"FB 59","Table 16","1941-42",1941,"area of residence","Sacramento",381,NA,NA,"Sacramento Delta"
"FB 59","Table 16","1941-42",1941,"area of residence","San Diego",1661,NA,NA,"San Diego"
"FB 59","Table 16","1941-42",1941,"area of residence","San Francisco",1336,NA,NA,"San Francisco"
"FB 59","Table 16","1941-42",1941,"area of residence","Santa Barbara",373,NA,NA,"Santa Barbara"
"FB 59","Table 17","1942-43",1942,"area of residence","AK/WA/OR",466,NA,NA,"AK/WA/OR/Other"
"FB 59","Table 17","1942-43",1942,"area of residence","Eureka",213,NA,NA,"Eureka"
"FB 59","Table 17","1942-43",1942,"area of residence","Los Angeles",4379,NA,NA,"Los Angeles"
"FB 59","Table 17","1942-43",1942,"area of residence","Monterey",994,NA,NA,"Monterey"
"FB 59","Table 17","1942-43",1942,"area of residence","Sacramento",367,NA,NA,"Sacramento Delta"
"FB 59","Table 17","1942-43",1942,"area of residence","San Diego",1391,NA,NA,"San Diego"
"FB 59","Table 17","1942-43",1942,"area of residence","San Francisco",927,NA,NA,"San Francisco"
"FB 59","Table 17","1942-43",1942,"area of residence","Santa Barbara",306,NA,NA,"Santa Barbara"
"FB 63","Table 23","1943-44",1943,"area of residence","AK/WA/OR",354,NA,NA,"AK/WA/OR/Other"
"FB 63","Table 23","1943-44",1943,"area of residence","Eureka",315,NA,NA,"Eureka"
"FB 63","Table 23","1943-44",1943,"area of residence","Los Angeles",6537,NA,NA,"Los Angeles"
"FB 63","Table 23","1943-44",1943,"area of residence","Mexico",13,NA,NA,"Mexico"
"FB 63","Table 23","1943-44",1943,"area of residence","Monterey",968,NA,NA,"Monterey"
"FB 63","Table 23","1943-44",1943,"area of residence","Sacramento",442,NA,NA,"Sacramento Delta"
"FB 63","Table 23","1943-44",1943,"area of residence","San Diego",1552,NA,NA,"San Diego"
"FB 63","Table 23","1943-44",1943,"area of residence","San Francisco",1347,NA,NA,"San Francisco"
"FB 63","Table 23","1943-44",1943,"area of residence","Santa Barbara",276,NA,NA,"Santa Barbara"
"FB 63","Table 24","1944-45",1944,"area of residence","AK/WA/OR",522,NA,NA,"AK/WA/OR/Other"
"FB 63","Table 24","1944-45",1944,"area of residence","Eureka",365,NA,NA,"Eureka"
"FB 63","Table 24","1944-45",1944,"area of residence","Los Angeles",4978,NA,NA,"Los Angeles"
"FB 63","Table 24","1944-45",1944,"area of residence","Mexico",34,NA,NA,"Mexico"
"FB 63","Table 24","1944-45",1944,"area of residence","Monterey",1007,NA,NA,"Monterey"
"FB 63","Table 24","1944-45",1944,"area of residence","Sacramento",501,NA,NA,"Sacramento Delta"
"FB 63","Table 24","1944-45",1944,"area of residence","San Diego",1648,NA,NA,"San Diego"
"FB 63","Table 24","1944-45",1944,"area of residence","San Francisco",1469,NA,NA,"San Francisco"
"FB 63","Table 24","1944-45",1944,"area of residence","Santa Barbara",347,NA,NA,"Santa Barbara"
"FB 67","Table 23","1945-46",1945,"area of residence","AK/WA/OR",646,NA,NA,"AK/WA/OR/Other"
"FB 67","Table 23","1945-46",1945,"area of residence","Eureka",628,NA,NA,"Eureka"
"FB 67","Table 23","1945-46",1945,"area of residence","Los Angeles",4863,NA,NA,"Los Angeles"
"FB 67","Table 23","1945-46",1945,"area of residence","Mexico",29,NA,NA,"Mexico"
"FB 67","Table 23","1945-46",1945,"area of residence","Monterey",1074,NA,NA,"Monterey"
"FB 67","Table 23","1945-46",1945,"area of residence","Sacramento",559,NA,NA,"Sacramento Delta"
"FB 67","Table 23","1945-46",1945,"area of residence","San Diego",2023,NA,NA,"San Diego"
"FB 67","Table 23","1945-46",1945,"area of residence","San Francisco",1484,NA,NA,"San Francisco"
"FB 67","Table 23","1945-46",1945,"area of residence","Santa Barbara",441,NA,NA,"Santa Barbara"
"FB 67","Table 24","1946-47",1946,"area of residence","AK/WA/OR/Other",681,NA,NA,"AK/WA/OR/Other"
"FB 67","Table 24","1946-47",1946,"area of residence","Eureka",845,NA,NA,"Eureka"
"FB 67","Table 24","1946-47",1946,"area of residence","Los Angeles",4741,NA,NA,"Los Angeles"
"FB 67","Table 24","1946-47",1946,"area of residence","Monterey",1294,NA,NA,"Monterey"
"FB 67","Table 24","1946-47",1946,"area of residence","Sacramento",671,NA,NA,"Sacramento Delta"
"FB 67","Table 24","1946-47",1946,"area of residence","San Diego",2127,NA,NA,"San Diego"
"FB 67","Table 24","1946-47",1946,"area of residence","San Francisco",1384,NA,NA,"San Francisco"
"FB 67","Table 24","1946-47",1946,"area of residence","Santa Barbara",569,NA,NA,"Santa Barbara"
"FB 74","Table 36","1947-48",1947,"area of residence","AK/WA/OR",676,NA,NA,"AK/WA/OR/Other"
"FB 74","Table 36","1947-48",1947,"area of residence","Eureka",856,NA,NA,"Eureka"
"FB 74","Table 36","1947-48",1947,"area of residence","Los Angeles",4970,NA,NA,"Los Angeles"
"FB 74","Table 36","1947-48",1947,"area of residence","Mexico",14,NA,NA,"Mexico"
"FB 74","Table 36","1947-48",1947,"area of residence","Monterey",1372,NA,NA,"Monterey"
"FB 74","Table 36","1947-48",1947,"area of residence","Sacramento",672,NA,NA,"Sacramento Delta"
"FB 74","Table 36","1947-48",1947,"area of residence","San Diego",2405,NA,NA,"San Diego"
"FB 74","Table 36","1947-48",1947,"area of residence","San Francisco",1312,NA,NA,"San Francisco"
"FB 74","Table 36","1947-48",1947,"area of residence","Santa Barbara",617,NA,NA,"Santa Barbara"
"FB 80","Table 4","1948-49",1948,"area of residence","AK/WA/OR",716,NA,NA,"AK/WA/OR/Other"
"FB 80","Table 4","1948-49",1948,"area of residence","Eureka",929,NA,NA,"Eureka"
"FB 80","Table 4","1948-49",1948,"area of residence","Los Angeles",5832,NA,NA,"Los Angeles"
"FB 80","Table 4","1948-49",1948,"area of residence","Mexico",24,NA,NA,"Mexico"
"FB 80","Table 4","1948-49",1948,"area of residence","Monterey",1267,NA,NA,"Monterey"
"FB 80","Table 4","1948-49",1948,"area of residence","Sacramento",665,NA,NA,"Sacramento Delta"
"FB 80","Table 4","1948-49",1948,"area of residence","San Diego",2914,NA,NA,"San Diego"
"FB 80","Table 4","1948-49",1948,"area of residence","San Francisco",1292,NA,NA,"San Francisco"
"FB 80","Table 4","1948-49",1948,"area of residence","Santa Barbara",622,NA,NA,"Santa Barbara"
"FB 80","Table 4","1949-50",1949,"area of residence","AK/WA/OR",918,NA,NA,"AK/WA/OR/Other"
"FB 80","Table 4","1949-50",1949,"area of residence","Eureka",917,NA,NA,"Eureka"
"FB 80","Table 4","1949-50",1949,"area of residence","Los Angeles",5961,NA,NA,"Los Angeles"
"FB 80","Table 4","1949-50",1949,"area of residence","Mexico",36,NA,NA,"Mexico"
"FB 80","Table 4","1949-50",1949,"area of residence","Monterey",1319,NA,NA,"Monterey"
"FB 80","Table 4","1949-50",1949,"area of residence","Sacramento",619,NA,NA,"Sacramento Delta"
"FB 80","Table 4","1949-50",1949,"area of residence","San Diego",3273,NA,NA,"San Diego"
"FB 80","Table 4","1949-50",1949,"area of residence","San Francisco",1325,NA,NA,"San Francisco"
"FB 80","Table 4","1949-50",1949,"area of residence","Santa Barbara",594,NA,NA,"Santa Barbara"
"FB 86","Table 5","1950-51",1950,"area of residence","AK/WA/OR",1206,NA,NA,"AK/WA/OR/Other"
"FB 86","Table 5","1950-51",1950,"area of residence","Eureka",826,NA,NA,"Eureka"
"FB 86","Table 5","1950-51",1950,"area of residence","Los Angeles",5388,NA,NA,"Los Angeles"
