species,all_2001,mexico_2001,all_2000,mexico_2000
"Barracuda, California","266,660","13,370","256,718","10,765"
"Bass, barred sand","596,510","16,775","736,295","18,909"
"Bass, giant (black) sea",72,0,1,1
"Bass, kelp (calico)","304,024","13,042","276,917","9,949"
"Bass, striped","10,874",0,"18,501",0
Blacksmith,"1,905",0,885,0
"Bonito, Pacific","17,215","2,454","44,591","4,823"
Cabezon,"6,431",47,"3,414",26
"Croaker, unspecified****",760,0,424,0
"Croaker, white","4,737",82,"7,398",31
Dolphinfish,"3,796","2,799","16,268","12,055"
"Fishes, unspecified (jumbo squid included)****","9,548",182,"14,989",711
"Flatfishes, unspecified****","134,574",61,"104,973",279
Halfmoon,"97,407",22,"32,399",6
"Halibut, California","20,600",155,"15,771",52
"Invertebrates, unspecified**** ^","48,237",0,,
Lingcod,"11,378",575,"10,616",149
"Mackerel, jack","5,492",894,"6,293",211
"Mackerel, Pacific","108,785",454,"111,977",245
"Marlin, striped",0,0,3,1
Queenfish,0,0,0,0
"Rockfishes, unspecified****","759,818","20,260","780,680","17,889"
"Salmon, king (chinook)","43,314",0,"76,765",4
"Salmon, silver (coho)",20,0,0,0
"Salmon, unspecified****","1,630",0,0,0
"Scorpionfish, California","161,104","7,184","169,285","6,368"
"Seabass, white","10,342",85,"17,498",104
"Shark, blue",212,72,217,9
"Shark, bonito (mako)",237,45,204,35
"Shark, leopard",381,0,345,0
"Shark, sevengill",19,0,1,0
"Shark, unspecified****",481,47,683,1
"Sheephead, California","39,154",994,"32,656","1,071"
"Sturgeon, unspecified****",205,0,339,0
"Tuna, albacore","236,819","140,354","125,193","103,779"
"Tuna, bluefin","20,985","14,346","20,527","18,940"
"Tuna, skipjack","8,653","4,428","2,987","2,812"
"Tuna, yellowfin","31,054","22,029","86,737","74,814"
Wahoo,"3,732","2,750","4,645","4,630"
"Whitefish, ocean","138,149","12,750","143,523","13,957"
Yellowtail,"79,130","49,663","105,278","72,842"
LANDINGS,"3,136,207","325,919","3,225,996","375,468"
NUMBER OF ANGLERS,"709,586",,"746,266",
REPORTING CPFVS,313,,309,
