"year","filename","X","S..Diego","Oceanside","Newport","Seal.Bch","Redondo","P..Hueneme","Avila.Bch","Monterey","Princeton","S..Fran","Fort.Bragg","X.1"
2001,"landings01_cpfv2.pdf","","Mission Bay","Dana","Beach","Long Bch","Marina del Rey","Oxnard/Ventura","Morro Bay","Moss Land","Bodega","S.F. Bay-","Eureka",""
2001,"landings01_cpfv2.pdf","","****","Harbor","","S. Pedro","Malibu","S. Barbara","","S. Cruz","Bay","Delta","Cres City","TOTAL"
2001,"landings01_cpfv2.pdf","Barracuda, California","44,206","18,009","37,029","123,540","23,383","20,444","0","2","2","45","0","266,660"
2001,"landings01_cpfv2.pdf","Bass, barred sand","67,164","107,492","99,583","184,572","87,480","50,219","0","0","0","0","0","596,510"
2001,"landings01_cpfv2.pdf","Bass, kelp (calico)","67,457","36,598","38,083","103,197","24,016","34,673","0","0","0","0","0","304,024"
2001,"landings01_cpfv2.pdf","Bass, striped","0","0","0","0","0","0","0","0","4","10,869","1","10,874"
2001,"landings01_cpfv2.pdf","Bonito, Pacific","4,687","780","3,842","6,163","1,623","120","0","0","0","0","0","17,215"
2001,"landings01_cpfv2.pdf","Cabezon","225","52","73","301","256","426","743","70","2,464","1,714","107","6,431"
2001,"landings01_cpfv2.pdf","Croaker, white","1,071","528","829","1,756","235","116","0","90","1","111","0","4,737"
2001,"landings01_cpfv2.pdf","Dolphinfish","3,440","18","66","173","88","11","0","0","0","0","0","3,796"
2001,"landings01_cpfv2.pdf","Fishes, unspecified***** ^","4,196","147","550","6,063","573","706","196","1,473","1,504","1,741","498","17,647"
2001,"landings01_cpfv2.pdf","Flatfishes, unspecified*****","152","493","850","119,932","9,336","1,897","114","930","166","523","181","134,574"
2001,"landings01_cpfv2.pdf","Halfmoon","92","2,117","8,949","70,586","2,447","13,199","15","0","2","0","0","97,407"
2001,"landings01_cpfv2.pdf","Halibut, California","507","622","792","2,688","2,144","1,357","56","744","134","11,555","1","20,600"
2001,"landings01_cpfv2.pdf","Lingcod","629","6","17","79","65","1,396","729","1,037","3,272","3,343","805","11,378"
2001,"landings01_cpfv2.pdf","Mackerel, jack","1,319","574","1,608","1,381","284","137","0","171","3","5","10","5,492"
2001,"landings01_cpfv2.pdf","Mackerel, Pacific","16,697","25,784","14,327","30,096","19,041","2,256","8","119","15","426","16","108,785"
2001,"landings01_cpfv2.pdf","Rockfishes, unspecified*****","56,612","11,234","11,747","97,967","44,974","142,084","102,888","85,957","121,680","52,722","31,953","759,818"
2001,"landings01_cpfv2.pdf","Salmon, king (chinook)","1","2","0","1","0","4","49","7,471","6,539","19,570","9,677","43,314"
2001,"landings01_cpfv2.pdf","Salmon, silver (coho)","0","0","0","0","0","0","0","0","3","2","15","20"
2001,"landings01_cpfv2.pdf","Scorpionfish, California","32,542","10,293","23,771","40,510","45,250","8,738","0","0","0","0","0","161,104"
2001,"landings01_cpfv2.pdf","Seabass, white","614","171","855","3,601","426","4,336","0","317","0","22","0","10,342"
2001,"landings01_cpfv2.pdf","Shark, blue","80","26","24","2","70","8","0","0","2","0","0","212"
2001,"landings01_cpfv2.pdf","Shark, leopard","4","5","0","0","0","1","0","4","2","326","39","381"
2001,"landings01_cpfv2.pdf","Shark, unspecified*****","160","95","131","143","32","63","1","6","5","51","50","737"
2001,"landings01_cpfv2.pdf","Sheephead, California","2,235","2,169","3,955","21,857","851","8,086","1","0","0","0","0","39,154"
2001,"landings01_cpfv2.pdf","Sturgeon, unspecified*****","0","0","0","0","0","0","0","0","3","202","0","205"
2001,"landings01_cpfv2.pdf","Tuna, albacore","178,843","5,191","8,916","14,096","1,262","3,509","8,902","10,961","2,520","2,205","414","236,819"
2001,"landings01_cpfv2.pdf","Tuna, bluefin","19,573","280","234","709","39","141","0","3","0","6","0","20,985"
2001,"landings01_cpfv2.pdf","Tuna, skipjack","7,512","240","119","678","101","2","0","0","0","1","0","8,653"
2001,"landings01_cpfv2.pdf","Tuna, yellowfin","30,194","58","571","224","0","6","0","0","0","1","0","31,054"
2001,"landings01_cpfv2.pdf","Whitefish, ocean","23,551","5,058","7,845","47,169","5,187","49,333","6","0","0","0","0","138,149"
2001,"landings01_cpfv2.pdf","Yellowtail","57,576","1,322","5,238","13,437","153","1,404","0","0","0","0","0","79,130"
2001,"landings01_cpfv2.pdf","TOTALS:","","","","","","","","","","","",""
2001,"landings01_cpfv2.pdf","LANDINGS","621,339","229,364","270,004","890,921","269,316","344,672","113,708","109,355","138,321","105,440","43,767","3,136,207"
2001,"landings01_cpfv2.pdf","NUMBER OF ANGLERS","182,428","60,010","59,527","140,184","59,922","68,671","15,864","27,565","25,626","55,966","13,823","709,586"
2001,"landings01_cpfv2.pdf","REPORTING CPFVS","81","23","21","60","21","33","9","19","21","48","15","351"
