"source","table","year","port_complex","port","type","species","landings_lb","value_usd"
"FB 170","Table 16",1976,"Eureka","Eureka","Landings","Dungeness crab",6653037,4295403
"FB 170","Table 16",1976,"Eureka","Eureka","Landings","Salmon",1902114,2504011
"FB 170","Table 16",1976,"Eureka","Eureka","Landings","Dover sole",11167360,1498048
"FB 170","Table 16",1976,"Eureka","Eureka","Landings","Albacore tuna",2312144,1054919
"FB 170","Table 16",1976,"Eureka","Eureka","Landings","Giant Pacific oyster",466667,653334
"FB 170","Table 16",1976,"Eureka","Eureka","Landings","Rockfish",4104355,560022
"FB 170","Table 16",1976,"Eureka","Eureka","Landings","Pacific ocean shrimp",1659781,323473
"FB 170","Table 16",1976,"Eureka","Eureka","Landings","Sablefish",2443309,239998
"FB 170","Table 16",1976,"Eureka","Eureka","Landings","Petrale sole",641073,177588
"FB 170","Table 16",1976,"Eureka","Eureka","Landings","English sole",760188,155637
"FB 170","Table 16",1976,"Eureka","Eureka","Landings","Rex sole",684059,141123
"FB 170","Table 16",1976,"Eureka","Eureka","Landings","Lingcod",448560,65468
"FB 170","Table 16",1976,"Eureka","Eureka","Landings","Sanddab",222347,46659
"FB 170","Table 16",1976,"Eureka","Eureka","Landings","Flounder",330306,40440
"FB 170","Table 16",1976,"Eureka","Eureka","Landings","True smelt",299624,30972
"FB 170","Table 16",1976,"Eureka","Eureka","Landings","Whitebait smelt",149532,25728
"FB 170","Table 16",1976,"Eureka","Eureka","Landings","Perch",28804,8968
"FB 170","Table 16",1976,"Eureka","Eureka","Landings","Arrowtooth flounder",76060,5310
"FB 170","Table 16",1976,"Eureka","Eureka","Landings","Sand sole",21229,5270
"FB 170","Table 16",1976,"Eureka","Eureka","Landings","Grenadiers",89000,4888
"FB 170","Table 16",1976,"Eureka","Eureka","Landings","Octopus",10690,2818
"FB 170","Table 16",1976,"Eureka","Eureka","Landings","Pacific herring",23134,2362
"FB 170","Table 16",1976,"Eureka","Eureka","Landings","Turbot",7868,1772
"FB 170","Table 16",1976,"Eureka","Eureka","Landings","All other species",6199,933
"FB 170","Table 16",1976,"Eureka","Eureka","Landings","Port totals",34507440,11845144
"FB 170","Table 16",1976,"Eureka","Crescent City","Landings","Dungeness crab",6544602,4225394
"FB 170","Table 16",1976,"Eureka","Crescent City","Landings","Salmon",785162,935981
"FB 170","Table 16",1976,"Eureka","Crescent City","Landings","Dover sole",3238006,434363
"FB 170","Table 16",1976,"Eureka","Crescent City","Landings","Albacore tuna",570127,260121
"FB 170","Table 16",1976,"Eureka","Crescent City","Landings","Pacific ocean shrimp",1303565,254051
"FB 170","Table 16",1976,"Eureka","Crescent City","Landings","English sole",977277,200083
"FB 170","Table 16",1976,"Eureka","Crescent City","Landings","Rockfish",1004087,142005
"FB 170","Table 16",1976,"Eureka","Crescent City","Landings","Petrale sole",221987,61494
"FB 170","Table 16",1976,"Eureka","Crescent City","Landings","Lingcod",410372,59894
"FB 170","Table 16",1976,"Eureka","Crescent City","Landings","Rex sole",280577,57884
"FB 170","Table 16",1976,"Eureka","Crescent City","Landings","Sablefish",562942,55296
"FB 170","Table 16",1976,"Eureka","Crescent City","Landings","Sanddab",254433,53393
"FB 170","Table 16",1976,"Eureka","Crescent City","Landings","Flounder",316409,38738
"FB 170","Table 16",1976,"Eureka","Crescent City","Landings","Sand sole",70359,17468
"FB 170","Table 16",1976,"Eureka","Crescent City","Landings","Arrowtooth flounder",95267,6651
"FB 170","Table 16",1976,"Eureka","Crescent City","Landings","Whitebait smelt",38007,6539
"FB 170","Table 16",1976,"Eureka","Crescent City","Landings","Perch",24225,6409
"FB 170","Table 16",1976,"Eureka","Crescent City","Landings","Octopus",18721,4934
"FB 170","Table 16",1976,"Eureka","Crescent City","Landings","Skate",41581,3861
"FB 170","Table 16",1976,"Eureka","Crescent City","Landings","Shark",6305,1100
"FB 170","Table 16",1976,"Eureka","Crescent City","Landings","All other species",20356,2869
"FB 170","Table 16",1976,"Eureka","Crescent City","Landings","Port totals",16784367,6828528
"FB 170","Table 16",1976,"Eureka","Fort Bragg","Landings","Salmon",1595281,2217157
"FB 170","Table 16",1976,"Eureka","Fort Bragg","Landings","Albacore tuna",2021281,922213
"FB 170","Table 16",1976,"Eureka","Fort Bragg","Landings","Dungeness crab",1081933,698529
"FB 170","Table 16",1976,"Eureka","Fort Bragg","Landings","Rockfish",4546405,643019
"FB 170","Table 16",1976,"Eureka","Fort Bragg","Landings","Dover sole",3818367,512216
"FB 170","Table 16",1976,"Eureka","Fort Bragg","Landings","Sablefish",2221629,218224
"FB 170","Table 16",1976,"Eureka","Fort Bragg","Landings","Petrale sole",423070,117198
"FB 170","Table 16",1976,"Eureka","Fort Bragg","Landings","Pacific ocean shrimp",535038,104273
"FB 170","Table 16",1976,"Eureka","Fort Bragg","Landings","Lingcod",685736,100084
"FB 170","Table 16",1976,"Eureka","Fort Bragg","Landings","Rex sole",445725,91954
"FB 170","Table 16",1976,"Eureka","Fort Bragg","Landings","English sole",328733,67303
"FB 170","Table 16",1976,"Eureka","Fort Bragg","Landings","Octopus",43626,11497
"FB 170","Table 16",1976,"Eureka","Fort Bragg","Landings","Sanddab",43237,9073
"FB 170","Table 16",1976,"Eureka","Fort Bragg","Landings","Sea urchin",74851,7353
"FB 170","Table 16",1976,"Eureka","Fort Bragg","Landings","Whitebait smelt",41832,7197
"FB 170","Table 16",1976,"Eureka","Fort Bragg","Landings","Shark",30787,5487
"FB 170","Table 16",1976,"Eureka","Fort Bragg","Landings","All other species",42343,3906
"FB 170","Table 16",1976,"Eureka","Fort Bragg","Landings","Port totals",17979874,5736683
"FB 170","Table 16",1976,"Eureka","Trinidad","Landings","Dungeness crab",744237,480502
"FB 170","Table 16",1976,"Eureka","Trinidad","Landings","Salmon",212480,248208
"FB 170","Table 16",1976,"Eureka","Trinidad","Landings","Rockfish",12610,1872
"FB 170","Table 16",1976,"Eureka","Trinidad","Landings","Lingcod",12537,1830
"FB 170","Table 16",1976,"Eureka","Trinidad","Landings","All other species",583,90
"FB 170","Table 16",1976,"Eureka","Trinidad","Landings","Port totals",982447,732502
"FB 170","Table 16",1976,"Eureka","Albion","Landings","Salmon",218702,304908
"FB 170","Table 16",1976,"Eureka","Albion","Landings","Rockfish",44053,6945
"FB 170","Table 16",1976,"Eureka","Albion","Landings","Albacore tuna",13109,5981
"FB 170","Table 16",1976,"Eureka","Albion","Landings","All other species",3220,471
"FB 170","Table 16",1976,"Eureka","Albion","Landings","Port totals",279084,318305
"FB 170","Table 16",1976,"Eureka","All Other Ports","Landings","Salmon",126364,172790
"FB 170","Table 16",1976,"Eureka","All Other Ports","Landings","Rockfish",7811,1135
"FB 170","Table 16",1976,"Eureka","All Other Ports","Landings","All other species",1466,629
"FB 170","Table 16",1976,"Eureka","All Other Ports","Landings","Totals",135641,174554
"FB 170","Table 16",1976,"Eureka","Eureka Area Totals","Landings","Totals",70668353,825335716
"FB 170","Table 17",1976,"San Francisco","Bodega Bay","Landings","Salmon",859474,1221756
"FB 170","Table 17",1976,"San Francisco","Bodega Bay","Landings","Albacore tuna",522905,239922
"FB 170","Table 17",1976,"San Francisco","Bodega Bay","Landings","Dungeness crab",233458,190404
"FB 170","Table 17",1976,"San Francisco","Bodega Bay","Landings","Dover sole",1184637,164709
"FB 170","Table 17",1976,"San Francisco","Bodega Bay","Landings","Rockfish",680962,107870
"FB 170","Table 17",1976,"San Francisco","Bodega Bay","Landings","Pacific herring",665689,66367
"FB 170","Table 17",1976,"San Francisco","Bodega Bay","Landings","English sole",286990,61532
"FB 170","Table 17",1976,"San Francisco","Bodega Bay","Landings","Sablefish",283604,28653
"FB 170","Table 17",1976,"San Francisco","Bodega Bay","Landings","Rex sole",111522,23830
"FB 170","Table 17",1976,"San Francisco","Bodega Bay","Landings","Lingcod",165590,23758
"FB 170","Table 17",1976,"San Francisco","Bodega Bay","Landings","Petrale sole",76212,20908
"FB 170","Table 17",1976,"San Francisco","Bodega Bay","Landings","Whitebait smelt",21261,3551
"FB 170","Table 17",1976,"San Francisco","Bodega Bay","Landings","True smelt",21160,3138
"FB 170","Table 17",1976,"San Francisco","Bodega Bay","Landings","Sanddab",14292,3026
"FB 170","Table 17",1976,"San Francisco","Bodega Bay","Landings","Flounder",24420,2991
"FB 170","Table 17",1976,"San Francisco","Bodega Bay","Landings","Shark",9610,1299
"FB 170","Table 17",1976,"San Francisco","Bodega Bay","Landings","White croaker",4340,1162
"FB 170","Table 17",1976,"San Francisco","Bodega Bay","Landings","All other species",10813,2065
"FB 170","Table 17",1976,"San Francisco","Bodega Bay","Landings","Port totals",5176939,2166941
"FB 170","Table 17",1976,"San Francisco","San Francisco","Landings","Rockfish",1645525,280909
"FB 170","Table 17",1976,"San Francisco","San Francisco","Landings","Petrale sole",904635,248181
"FB 170","Table 17",1976,"San Francisco","San Francisco","Landings","Pacific herring",2477209,246971
"FB 170","Table 17",1976,"San Francisco","San Francisco","Landings","Dover sole",1530706,212826
"FB 170","Table 17",1976,"San Francisco","San Francisco","Landings","English sole",970761,208134
"FB 170","Table 17",1976,"San Francisco","San Francisco","Landings","Dungeness crab",205369,167495
"FB 170","Table 17",1976,"San Francisco","San Francisco","Landings","Salmon",113019,158539
"FB 170","Table 17",1976,"San Francisco","San Francisco","Landings","Sanddab",582665,123381
"FB 170","Table 17",1976,"San Francisco","San Francisco","Landings","Lingcod",722946,103724
