"species_code","common_name","scientific_name","market_group"
"ABLN","Abalone, unspecified","Haliotus spp","Invertebrate"
"ALBC","Albacore","Thunnus alalunga","Other"
"ARRA","Rockfish, aurora","Sebastes aurora","Rockfish"
"ARTH","Flounder, arrowtooth","Atheresthes stomias","Flatfish"
"ASRK","Shark, pacific angel","Squatina californica","Elasmobranch"
"BANK","Rockfish, bank (red-widow)","Sebastes rufus","Rockfish"
"BCAC","Rockfish, bocaccio","Sebastes paucispinis","Rockfish"
"BDRK","Rockfish, blue - generic","Sebastes mystinus","Rockfish"
"BLCK","Rockfish, black","Sebastes melanops","Rockfish"
"BLGL","Rockfish, blackgill","Sebastes melanostomus","Rockfish"
"BLUR","Rockfish, blue","Sebastes mystinus","Rockfish"
"BMOL","Sole, bigmouth","Hippoglossina stomata","Flatfish"
"BONI","Bonito","Sarda chiliensis","Other"
"BRIN","Shrimp, brine","Artemia spp","Invertebrate"
"BRNZ","Rockfish, bronzespotted","Sebastes gilli","Rockfish"
"BRRK","Rockfish, rougheye - generic","Sebastes aleutianus","Rockfish"
"BRWN","Rockfish, brown","Sebastes auriculatus","Rockfish"
"BSKT","Skate, big","Raja binoculata","Elasmobranch"
"BSOL","Sole, butter","Isopsetta isolepis","Flatfish"
"BSPR","Rockfish, blackspotted","Sebastes melanostictus","Rockfish"
"BTNA","Tuna, bluefin","Thunnus thynnus","Other"
"BTRY","Batray","Myliobatis californica","Elasmobranch"
"BYEL","Rockfish, black-and-yellow","Sebastes chrysomelas","Rockfish"
"CBZN","Cabezon","Scorpaenichthys marmorat","Other groundfish"
"CEEL","Spotted cusk-eel","Chilara taylori","Other"
"CHLB","Halibut, california","Paralichthys californicus","Flatfish"
"CHNA","Rockfish, china","Sebastes nebulosus","Rockfish"
"CHNK","Salmon, chinook","Oncorhynchus tshawytscha","Salmonid"
"CHUM","Salmon, chum","Onchorhynchus keta","Salmonid"
"CLAM","Clam, unspecified","Clam","Invertebrate"
"CLCO","Rockfish, calico","Sebastes dalli","Rockfish"
"CLPR","Rockfish, chilipepper","Sebastes goodei","Rockfish"
"CMEL","Rockfish, chameleon","Sebastes phillipsi","Rockfish"
"CNRY","Rockfish, canary","Sebastes pinniger","Rockfish"
"COHO","Salmon, coho","Oncohynchus kisutch","Salmonid"
"COPP","Rockfish, copper","Sebastes caurinus","Rockfish"
"CSKT","Skate, california","Raja iinornata","Elasmobranch"
"CSOL","Sole, curlfin","Pleuronichthys decurrens","Flatfish"
"CSRK","Shark, brown cat","Apristurus brunneus","Elasmobranch"
"CTRB","Turbot, c-o","Pleuronicthys coenosus","Flatfish"
"CUDA","Barracuda, california","Sphyraena argentea","Other"
"CWCD","Rockfish, cowcod","Sebastes levis","Rockfish"
"DBRK","Rockfish, darkblotched","Sebastes crameri","Rockfish"
"DCRB","Crab, dungeness","Cancer magister","Invertebrate"
"DEAC","Rockfish, deacon","Sebastes diaconus","Rockfish"
"DOVR","Sole, dover","Microstomus pacificus","Flatfish"
"DSOL","Sole, deepsea","Embassichthys bathybius","Flatfish"
"DSRK","Shark, spiney dogfish","Squalus acanthias","Elasmobranch"
"DTRB","Turbot, diamond","Hypsopsetta guttulata","Flatfish"
"EELS","Eels, unspecified","Anguilliformes, sp.","Other"
"EGLS","Sole, english","Parophrys vetulus","Flatfish"
