year,filename,port_complex,area,category,species,check,January,February,March,April,May,June,July,August,September,October,November,December,Total
2001,landings01_table10.pdf,San Francisco,California Waters,Fishes,ishes,,,,,,,,,,,,,,
2001,landings01_table10.pdf,San Francisco,California Waters,Fishes,"Anchovy, northern",,0,0,0,0,0,41,762,"2,067","10,192","4,704",0,0,"17,767"
2001,landings01_table10.pdf,San Francisco,California Waters,Fishes,"Barracuda, California",,156,0,0,0,0,0,0,14,58,43,0,0,271
2001,landings01_table10.pdf,San Francisco,California Waters,Fishes,"Bass, giant sea",,0,0,308,0,0,0,0,0,0,0,0,0,308
2001,landings01_table10.pdf,San Francisco,California Waters,Fishes,Butterfish (Pacific pompano),,0,1,18,77,0,206,0,24,38,0,0,0,365
2001,landings01_table10.pdf,San Francisco,California Waters,Fishes,Cabezon,,435,369,14,0,314,253,614,366,392,0,0,0,"2,756"
2001,landings01_table10.pdf,San Francisco,California Waters,Fishes,"Corbina, California",,0,0,0,0,0,14,99,0,0,0,0,0,113
2001,landings01_table10.pdf,San Francisco,California Waters,Fishes,"Corvina, shortfin",,0,0,10,0,0,0,0,0,0,0,0,0,10
2001,landings01_table10.pdf,San Francisco,California Waters,Fishes,"Croaker, unspecifed",,0,0,0,0,0,29,0,0,0,150,0,0,179
2001,landings01_table10.pdf,San Francisco,California Waters,Fishes,"Croaker, white",,"4,765","4,319","8,860","3,349","1,400","2,249","6,962","4,722","2,522",458,786,"4,955","45,344"
2001,landings01_table10.pdf,San Francisco,California Waters,Fishes,Dolphin (fish),,0,0,0,855,274,0,148,0,0,0,0,0,"1,277"
2001,landings01_table10.pdf,San Francisco,California Waters,Fishes,"Eel, monkeyface",,0,0,0,0,20,0,0,0,0,35,54,0,108
2001,landings01_table10.pdf,San Francisco,California Waters,Fishes,Escolar,,0,0,0,0,135,0,316,0,0,0,0,0,451
2001,landings01_table10.pdf,San Francisco,California Waters,Fishes,"Fish, unspecified",,0,0,0,0,141,0,0,0,0,0,273,0,414
2001,landings01_table10.pdf,San Francisco,California Waters,Fishes,"Flounder, starry",,"1,689","5,506","9,126","1,951",485,"2,289","2,958","1,770","1,339","4,327","5,418","4,833","41,691"
2001,landings01_table10.pdf,San Francisco,California Waters,Fishes,"Flounder, unspecified",,811,"2,617","2,251",0,0,415,257,16,12,80,0,0,"6,459"
2001,landings01_table10.pdf,San Francisco,California Waters,Fishes,"Goby, yellowfin",,0,10,21,0,0,0,7,35,10,0,0,0,82
2001,landings01_table10.pdf,San Francisco,California Waters,Fishes,"Greenling, kelp",,35,97,28,0,16,25,219,186,0,40,0,0,646
2001,landings01_table10.pdf,San Francisco,California Waters,Fishes,Grenadiers,,0,904,"1,089",0,0,185,"2,154",244,42,"1,660",0,0,"6,278"
2001,landings01_table10.pdf,San Francisco,California Waters,Fishes,"Halibut, California",,"22,640","37,152","61,028","8,307","5,289","13,809","30,424","20,229","14,338","17,976","15,682","17,010","263,883"
2001,landings01_table10.pdf,San Francisco,California Waters,Fishes,"Halibut, unspecified",,0,0,0,48,33,0,0,0,0,0,0,0,81
2001,landings01_table10.pdf,San Francisco,California Waters,Fishes,Herring roe on kelp,,0,"21,363","32,357",0,0,0,0,0,0,0,0,0,"53,720"
2001,landings01_table10.pdf,San Francisco,California Waters,Fishes,"Herring, Roe",,"5,050,311",0,0,0,0,0,0,0,0,0,0,"204,687","5,254,998"
2001,landings01_table10.pdf,San Francisco,California Waters,Fishes,Jacksmelt,,0,0,0,0,0,0,0,0,23,11,114,0,148
2001,landings01_table10.pdf,San Francisco,California Waters,Fishes,Kelpfishes,,0,0,0,0,5,0,0,0,0,0,0,0,5
2001,landings01_table10.pdf,San Francisco,California Waters,Fishes,Lingcod,,1,0,16,38,"1,831",933,"4,012","6,719","4,565","3,724",180,31,"22,050"
2001,landings01_table10.pdf,San Francisco,California Waters,Fishes,"Mackerel, Pacific",,377,7,0,0,4,0,274,0,230,0,341,0,"1,232"
2001,landings01_table10.pdf,San Francisco,California Waters,Fishes,"Mackerel, bullet",,0,0,0,0,0,0,0,0,0,101,0,0,101
2001,landings01_table10.pdf,San Francisco,California Waters,Fishes,"Mackerel, unspecified",,0,0,0,0,0,0,0,0,0,110,0,0,110
2001,landings01_table10.pdf,San Francisco,California Waters,Fishes,"Mudsucker, longjaw",,1,0,0,0,0,0,0,0,0,0,0,0,1
2001,landings01_table10.pdf,San Francisco,California Waters,Fishes,Opah,,0,0,0,"1,391",387,0,"2,051",0,0,0,0,0,"3,829"
2001,landings01_table10.pdf,San Francisco,California Waters,Fishes,"Ray, unspecified",,0,0,0,0,0,0,0,0,0,0,39,0,39
2001,landings01_table10.pdf,San Francisco,California Waters,Fishes,"Rockfish, China",,21,139,16,0,95,79,97,287,176,303,82,0,"1,293"
2001,landings01_table10.pdf,San Francisco,California Waters,Fishes,ishes,,,,,,,,,,,,,,
2001,landings01_table10.pdf,San Francisco,California Waters,Fishes,"Rockfish, bank",,"1,460","9,032",390,"2,495","3,588",43,0,166,277,"8,749","3,006","2,148","31,354"
2001,landings01_table10.pdf,San Francisco,California Waters,Fishes,"Rockfish, black-and-yellow",,47,133,0,0,30,60,395,445,185,51,0,0,"1,347"
