"state","port","port_long","year","landing_lb_mil","value_usd_mil"
"AK","Akutan","Akutan, AK",1981,40,29.2
"AK","Akutan","Akutan, AK",1982,33.4,15.6
"AK","Akutan","Akutan, AK",1983,33.7,10.1
"AK","Akutan","Akutan, AK",1984,9.4,5.1
"AK","Akutan","Akutan, AK",1985,32.3,13.4
"AK","Akutan","Akutan, AK",2010,302.3,84.1
"AK","Alaska Penninsula (Other)","Alaska Penninsula (Other), AK",2011,211.3,138
"AK","Alaska Penninsula (Other)","Alaska Penninsula (Other), AK",2012,191,98.8
"AK","Alaska Penninsula (Other)","Alaska Penninsula (Other), AK",2013,187.2,102.1
"AK","Alaska Penninsula (Other)","Alaska Penninsula (Other), AK",2014,169.7,86.5
"AK","Alaska Penninsula (Other)","Alaska Penninsula (Other), AK",2015,268,90.3
"AK","Alaska Penninsula (Other)","Alaska Penninsula (Other), AK",2016,243,85
"AK","Alaska Penninsula (Other)","Alaska Penninsula (Other), AK",2017,267.9,111.5
"AK","Alaska Penninsula (Other)","Alaska Penninsula (Other), AK",2018,154.8,61
"AK","Alaska Penninsula (Other)","Alaska Penninsula (Other), AK",2019,181.1,74.5
"AK","Aleutian Islands (Other)","Aleutian Islands (Other), AK",2011,431.3,128.9
"AK","Aleutian Islands (Other)","Aleutian Islands (Other), AK",2012,455.6,118.9
"AK","Aleutian Islands (Other)","Aleutian Islands (Other), AK",2013,469.5,104.9
"AK","Aleutian Islands (Other)","Aleutian Islands (Other), AK",2014,470.9,106.8
"AK","Aleutian Islands (Other)","Aleutian Islands (Other), AK",2015,467.4,111.3
"AK","Aleutian Islands (Other)","Aleutian Islands (Other), AK",2016,508,105
"AK","Aleutian Islands (Other)","Aleutian Islands (Other), AK",2017,552.3,106.3
"AK","Aleutian Islands (Other)","Aleutian Islands (Other), AK",2018,538.5,115.7
"AK","Aleutian Islands (Other)","Aleutian Islands (Other), AK",2019,589.1,142.1
"AK","Anchorage","Anchorage, AK",1992,10.7,10.7
"AK","Anchorage","Anchorage, AK",1993,8.4,5.4
"AK","Anchorage","Anchorage, AK",1994,8.4,4.3
"AK","Anchorage","Anchorage, AK",1995,11.3,5.9
"AK","Anchorage","Anchorage, AK",1996,8.2,3.6
"AK","Anchorage","Anchorage, AK",1997,7.6,3.2
"AK","Anchorage","Anchorage, AK",1998,7.1,3.4
