"tsn","level","sci_name","kingdom","phylum","class","order","family","genus","species"
"172405","Species","Euthynnus lineatus","Animalia","Chordata","Teleostei","Perciformes","Scombridae","Euthynnus","Euthynnus lineatus"
"172408","Species","Sarda chiliensis","Animalia","Chordata","Teleostei","Perciformes","Scombridae","Sarda","Sarda chiliensis"
"172409","Species","Sarda sarda","Animalia","Chordata","Teleostei","Perciformes","Scombridae","Sarda","Sarda sarda"
"172410","Species","Sarda orientalis","Animalia","Chordata","Teleostei","Perciformes","Scombridae","Sarda","Sarda orientalis"
"172411","Genus","Scomber","Animalia","Chordata","Teleostei","Perciformes","Scombridae","Scomber",NA
"172412","Species","Scomber japonicus","Animalia","Chordata","Teleostei","Perciformes","Scombridae","Scomber","Scomber japonicus"
"172413","Species","Scomber colias","Animalia","Chordata","Teleostei","Perciformes","Scombridae","Scomber","Scomber colias"
"172414","Species","Scomber scombrus","Animalia","Chordata","Teleostei","Perciformes","Scombridae","Scomber","Scomber scombrus"
"172418","Genus","Thunnus","Animalia","Chordata","Teleostei","Perciformes","Scombridae","Thunnus",NA
"172419","Species","Thunnus alalunga","Animalia","Chordata","Teleostei","Perciformes","Scombridae","Thunnus","Thunnus alalunga"
"172421","Species","Thunnus thynnus","Animalia","Chordata","Teleostei","Perciformes","Scombridae","Thunnus","Thunnus thynnus"
"172422","Species","Thunnus orientalis","Animalia","Chordata","Teleostei","Perciformes","Scombridae","Thunnus","Thunnus orientalis"
"172423","Species","Thunnus albacares","Animalia","Chordata","Teleostei","Perciformes","Scombridae","Thunnus","Thunnus albacares"
"172427","Species","Thunnus atlanticus","Animalia","Chordata","Teleostei","Perciformes","Scombridae","Thunnus","Thunnus atlanticus"
"172428","Species","Thunnus obesus","Animalia","Chordata","Teleostei","Perciformes","Scombridae","Thunnus","Thunnus obesus"
"172434","Genus","Scomberomorus","Animalia","Chordata","Teleostei","Perciformes","Scombridae","Scomberomorus",NA
"172435","Species","Scomberomorus cavalla","Animalia","Chordata","Teleostei","Perciformes","Scombridae","Scomberomorus","Scomberomorus cavalla"
"172436","Species","Scomberomorus maculatus","Animalia","Chordata","Teleostei","Perciformes","Scombridae","Scomberomorus","Scomberomorus maculatus"
"172437","Species","Scomberomorus regalis","Animalia","Chordata","Teleostei","Perciformes","Scombridae","Scomberomorus","Scomberomorus regalis"
"172438","Species","Scomberomorus concolor","Animalia","Chordata","Teleostei","Perciformes","Scombridae","Scomberomorus","Scomberomorus concolor"
"172440","Species","Scomberomorus sierra","Animalia","Chordata","Teleostei","Perciformes","Scombridae","Scomberomorus","Scomberomorus sierra"
"172451","Species","Acanthocybium solandri","Animalia","Chordata","Teleostei","Perciformes","Scombridae","Acanthocybium","Acanthocybium solandri"
"172455","Species","Auxis rochei","Animalia","Chordata","Teleostei","Perciformes","Scombridae","Auxis","Auxis rochei"
"172456","Species","Auxis thazard","Animalia","Chordata","Teleostei","Perciformes","Scombridae","Auxis","Auxis thazard"
"172480","Family","Xiphiidae","Animalia","Chordata","Teleostei","Perciformes","Xiphiidae",NA,NA
"172482","Species","Xiphias gladius","Animalia","Chordata","Teleostei","Perciformes","Xiphiidae","Xiphias","Xiphias gladius"
"172485","Species","Luvarus imperialis","Animalia","Chordata","Teleostei","Perciformes","Luvaridae","Luvarus","Luvarus imperialis"
"172486","Family","Istiophoridae","Animalia","Chordata","Teleostei","Perciformes","Istiophoridae",NA,NA
"172488","Species","Istiophorus platypterus","Animalia","Chordata","Teleostei","Perciformes","Istiophoridae","Istiophorus","Istiophorus platypterus"
"172491","Species","Makaira nigricans","Animalia","Chordata","Teleostei","Perciformes","Istiophoridae","Makaira","Makaira nigricans"
"172498","Genus","Tetrapturus","Animalia","Chordata","Teleostei","Perciformes","Istiophoridae","Tetrapturus",NA
"172502","Species","Tetrapturus pfluegeri","Animalia","Chordata","Teleostei","Perciformes","Istiophoridae","Tetrapturus","Tetrapturus pfluegeri"
"172503","Species","Tetrapturus angustirostris","Animalia","Chordata","Teleostei","Perciformes","Istiophoridae","Tetrapturus","Tetrapturus angustirostris"
"172512","Species","Hyperoglyphe perciformis","Animalia","Chordata","Teleostei","Perciformes","Centrolophidae","Hyperoglyphe","Hyperoglyphe perciformis"
"172513","Species","Hyperoglyphe bythites","Animalia","Chordata","Teleostei","Perciformes","Centrolophidae","Hyperoglyphe","Hyperoglyphe bythites"
"172537","Species","Ariomma bondi","Animalia","Chordata","Teleostei","Perciformes","Ariommatidae","Ariomma","Ariomma bondi"
"172546","Species","Cubiceps pauciradiatus","Animalia","Chordata","Teleostei","Perciformes","Nomeidae","Cubiceps","Cubiceps pauciradiatus"
"172563","Family","Stromateidae","Animalia","Chordata","Teleostei","Perciformes","Stromateidae",NA,NA
"172564","Genus","Peprilus","Animalia","Chordata","Teleostei","Perciformes","Stromateidae","Peprilus",NA
"172565","Species","Peprilus simillimus","Animalia","Chordata","Teleostei","Perciformes","Stromateidae","Peprilus","Peprilus simillimus"
"172566","Species","Peprilus paru","Animalia","Chordata","Teleostei","Perciformes","Stromateidae","Peprilus","Peprilus paru"
"172567","Species","Peprilus triacanthus","Animalia","Chordata","Teleostei","Perciformes","Stromateidae","Peprilus","Peprilus triacanthus"
"172568","Species","Peprilus burti","Animalia","Chordata","Teleostei","Perciformes","Stromateidae","Peprilus","Peprilus burti"
"172580","Species","Tetragonurus cuvieri","Animalia","Chordata","Teleostei","Perciformes","Tetragonuridae","Tetragonurus","Tetragonurus cuvieri"
"172702","Order","Pleuronectiformes","Animalia","Chordata","Teleostei","Pleuronectiformes",NA,NA,NA
"172714","Family","Bothidae","Animalia","Chordata","Teleostei","Pleuronectiformes","Bothidae",NA,NA
"172715","Genus","Citharichthys","Animalia","Chordata","Teleostei","Pleuronectiformes","Paralichthyidae","Citharichthys",NA
"172716","Species","Citharichthys sordidus","Animalia","Chordata","Teleostei","Pleuronectiformes","Paralichthyidae","Citharichthys","Citharichthys sordidus"
"172717","Species","Citharichthys stigmaeus","Animalia","Chordata","Teleostei","Pleuronectiformes","Paralichthyidae","Citharichthys","Citharichthys stigmaeus"
"172719","Species","Citharichthys arctifrons","Animalia","Chordata","Teleostei","Pleuronectiformes","Paralichthyidae","Citharichthys","Citharichthys arctifrons"
"172724","Species","Citharichthys macrops","Animalia","Chordata","Teleostei","Pleuronectiformes","Paralichthyidae","Citharichthys","Citharichthys macrops"
"172725","Species","Citharichthys spilopterus","Animalia","Chordata","Teleostei","Pleuronectiformes","Paralichthyidae","Citharichthys","Citharichthys spilopterus"
"172726","Species","Citharichthys xanthostigma","Animalia","Chordata","Teleostei","Pleuronectiformes","Paralichthyidae","Citharichthys","Citharichthys xanthostigma"
"172729","Species","Etropus crossotus","Animalia","Chordata","Teleostei","Pleuronectiformes","Paralichthyidae","Etropus","Etropus crossotus"
"172730","Species","Etropus microstomus","Animalia","Chordata","Teleostei","Pleuronectiformes","Paralichthyidae","Etropus","Etropus microstomus"
"172732","Species","Etropus rimosus","Animalia","Chordata","Teleostei","Pleuronectiformes","Paralichthyidae","Etropus","Etropus rimosus"
"172734","Genus","Paralichthys","Animalia","Chordata","Teleostei","Pleuronectiformes","Paralichthyidae","Paralichthys",NA
"172735","Species","Paralichthys dentatus","Animalia","Chordata","Teleostei","Pleuronectiformes","Paralichthyidae","Paralichthys","Paralichthys dentatus"
"172736","Species","Paralichthys albigutta","Animalia","Chordata","Teleostei","Pleuronectiformes","Paralichthyidae","Paralichthys","Paralichthys albigutta"
"172738","Species","Paralichthys lethostigma","Animalia","Chordata","Teleostei","Pleuronectiformes","Paralichthyidae","Paralichthys","Paralichthys lethostigma"
"172739","Species","Paralichthys oblongus","Animalia","Chordata","Teleostei","Pleuronectiformes","Paralichthyidae","Paralichthys","Paralichthys oblongus"
"172740","Species","Paralichthys squamilentus","Animalia","Chordata","Teleostei","Pleuronectiformes","Paralichthyidae","Paralichthys","Paralichthys squamilentus"
"172743","Species","Paralichthys californicus","Animalia","Chordata","Teleostei","Pleuronectiformes","Paralichthyidae","Paralichthys","Paralichthys californicus"
"172746","Species","Scophthalmus aquosus","Animalia","Chordata","Teleostei","Pleuronectiformes","Scophthalmidae","Scophthalmus","Scophthalmus aquosus"
"172754","Species","Ancylopsetta dilecta","Animalia","Chordata","Teleostei","Pleuronectiformes","Paralichthyidae","Ancylopsetta","Ancylopsetta dilecta"
"172759","Species","Bothus lunatus","Animalia","Chordata","Teleostei","Pleuronectiformes","Bothidae","Bothus","Bothus lunatus"
"172763","Species","Bothus mancus","Animalia","Chordata","Teleostei","Pleuronectiformes","Bothidae","Bothus","Bothus mancus"
"172773","Species","Chascanopsetta lugubris","Animalia","Chordata","Teleostei","Pleuronectiformes","Bothidae","Chascanopsetta","Chascanopsetta lugubris"
"172776","Species","Cyclopsetta chittendeni","Animalia","Chordata","Teleostei","Pleuronectiformes","Paralichthyidae","Cyclopsetta","Cyclopsetta chittendeni"
"172784","Species","Hippoglossina stomata","Animalia","Chordata","Teleostei","Pleuronectiformes","Paralichthyidae","Hippoglossina","Hippoglossina stomata"
"172789","Species","Monolene sessilicauda","Animalia","Chordata","Teleostei","Pleuronectiformes","Bothidae","Monolene","Monolene sessilicauda"
"172791","Species","Syacium gunteri","Animalia","Chordata","Teleostei","Pleuronectiformes","Paralichthyidae","Syacium","Syacium gunteri"
"172793","Species","Syacium papillosum","Animalia","Chordata","Teleostei","Pleuronectiformes","Paralichthyidae","Syacium","Syacium papillosum"
"172800","Species","Xystreurys liolepis","Animalia","Chordata","Teleostei","Pleuronectiformes","Paralichthyidae","Xystreurys","Xystreurys liolepis"
"172859","Family","Pleuronectidae","Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae",NA,NA
"172862","Species","Atheresthes stomias","Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Atheresthes","Atheresthes stomias"
"172866","Species","Embassichthys bathybius","Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Embassichthys","Embassichthys bathybius"
