"tsn","level","sci_name","class","family","genus","infrakingdom","infraorder","infraphylum","kingdom","order","phylum","species","subfamily","subkingdom","suborder","subphylum","superclass","division","variety","subclass","subdivision","superphylum","subgenus","superorder","tribe","superfamily","infraclass","superdivision","subspecies"
"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1081826","Species","Pantherophis obsoletus","Reptilia","Colubridae","Pantherophis","Deuterostomia","Alethinophidia","Gnathostomata","Animalia","Squamata","Chordata","Pantherophis obsoletus","Colubrinae","Bilateria","Serpentes","Vertebrata","Tetrapoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1082673","Species","Lampropeltis holbrooki","Reptilia","Colubridae","Lampropeltis","Deuterostomia","Alethinophidia","Gnathostomata","Animalia","Squamata","Chordata","Lampropeltis holbrooki","Colubrinae","Bilateria","Serpentes","Vertebrata","Tetrapoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1094181","Family","Ranidae","Amphibia","Ranidae",NA,"Deuterostomia",NA,"Gnathostomata","Animalia","Anura","Chordata",NA,NA,"Bilateria",NA,"Vertebrata","Tetrapoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1094914","Genus","Bufo","Amphibia","Bufonidae","Bufo","Deuterostomia",NA,"Gnathostomata","Animalia","Anura","Chordata",NA,NA,"Bilateria",NA,"Vertebrata","Tetrapoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1095381","Species","Dryophytes cinereus","Amphibia","Hylidae","Dryophytes","Deuterostomia",NA,"Gnathostomata","Animalia","Anura","Chordata","Dryophytes cinereus","Hylinae","Bilateria",NA,"Vertebrata","Tetrapoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1095495","Species","Dryophytes versicolor","Amphibia","Hylidae","Dryophytes","Deuterostomia",NA,"Gnathostomata","Animalia","Anura","Chordata","Dryophytes versicolor","Hylinae","Bilateria",NA,"Vertebrata","Tetrapoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11217","Genus","Laminaria","Phaeophyceae","Laminariaceae","Laminaria",NA,NA,NA,"Chromista","Laminariales",NA,NA,NA,"Chromista",NA,NA,NA,"Phaeophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11222","Species","Laminaria saccharina","Phaeophyceae","Laminariaceae","Laminaria",NA,NA,NA,"Chromista","Laminariales",NA,"Laminaria saccharina",NA,"Chromista",NA,NA,NA,"Phaeophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11228","Species","Laminaria digitata","Phaeophyceae","Laminariaceae","Laminaria",NA,NA,NA,"Chromista","Laminariales",NA,"Laminaria digitata",NA,"Chromista",NA,NA,NA,"Phaeophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11272","Genus","Macrocystis","Phaeophyceae","Lessoniaceae","Macrocystis",NA,NA,NA,"Chromista","Laminariales",NA,NA,NA,"Chromista",NA,NA,NA,"Phaeophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11300","Species","Alaria esculenta","Phaeophyceae","Alariaceae","Alaria",NA,NA,NA,"Chromista","Laminariales",NA,"Alaria esculenta",NA,"Chromista",NA,NA,NA,"Phaeophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11329","Family","Fucaceae","Phaeophyceae","Fucaceae",NA,NA,NA,NA,"Chromista","Fucales",NA,NA,NA,"Chromista",NA,NA,NA,"Phaeophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11331","Species","Ascophyllum nodosum","Phaeophyceae","Fucaceae","Ascophyllum",NA,NA,NA,"Chromista","Fucales",NA,"Ascophyllum nodosum",NA,"Chromista",NA,NA,NA,"Phaeophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11332","Variety","Ascophyllum nodosum var. scorpioides","Phaeophyceae","Fucaceae","Ascophyllum",NA,NA,NA,"Chromista","Fucales",NA,"Ascophyllum nodosum",NA,"Chromista",NA,NA,NA,"Phaeophyta","Ascophyllum nodosum var. scorpioides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11335","Species","Fucus vesiculosus","Phaeophyceae","Fucaceae","Fucus",NA,NA,NA,"Chromista","Fucales",NA,"Fucus vesiculosus",NA,"Chromista",NA,NA,NA,"Phaeophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12092","Species","Chondrus crispus","Florideophyceae","Gigartinaceae","Chondrus",NA,NA,NA,"Plantae","Gigartinales",NA,"Chondrus crispus",NA,"Biliphyta",NA,NA,NA,"Rhodophyta",NA,"Rhodymeniophycidae","Eurhodophytina",NA,NA,NA,NA,NA,NA,NA,NA
"12303","Family","Corallinaceae","Florideophyceae","Corallinaceae",NA,NA,NA,NA,"Plantae","Corallinales",NA,NA,NA,"Biliphyta",NA,NA,NA,"Rhodophyta",NA,"Corallinophycidae","Eurhodophytina",NA,NA,NA,NA,NA,NA,NA,NA
"12842","Species","Palmaria palmata","Florideophyceae","Palmariaceae","Palmaria",NA,NA,NA,"Plantae","Palmariales",NA,"Palmaria palmata",NA,"Biliphyta",NA,NA,NA,"Rhodophyta",NA,"Nemaliophycidae","Eurhodophytina",NA,NA,NA,NA,NA,NA,NA,NA
"155469","Phylum","Bryozoa",NA,NA,NA,"Protostomia",NA,NA,"Animalia",NA,"Bryozoa",NA,NA,"Bilateria",NA,NA,NA,NA,NA,NA,NA,"Lophozoa",NA,NA,NA,NA,NA,NA,NA
"156857","Phylum","Echinodermata",NA,NA,NA,"Deuterostomia",NA,NA,"Animalia",NA,"Echinodermata",NA,NA,"Bilateria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156862","Class","Asteroidea","Asteroidea",NA,NA,"Deuterostomia",NA,NA,"Animalia",NA,"Echinodermata",NA,NA,"Bilateria",NA,"Asterozoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157187","Species","Echinaster sentus","Asteroidea","Echinasteridae","Echinaster","Deuterostomia",NA,NA,"Animalia","Spinulosida","Echinodermata","Echinaster sentus",NA,"Bilateria",NA,"Asterozoa",NA,NA,NA,NA,NA,NA,"Echinaster (Othilia)","Spinulosacea",NA,NA,NA,NA,NA
"157325","Class","Ophiuroidea","Ophiuroidea",NA,NA,"Deuterostomia",NA,NA,"Animalia",NA,"Echinodermata",NA,NA,"Bilateria",NA,"Asterozoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157366","Species","Astrophyton muricatum","Ophiuroidea","Gorgonocephalidae","Astrophyton","Deuterostomia",NA,NA,"Animalia","Phrynophiurida","Echinodermata","Astrophyton muricatum",NA,"Bilateria","Euryalina","Asterozoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157486","Species","Ophiocoma echinata","Ophiuroidea","Ophiocomidae","Ophiocoma","Deuterostomia",NA,NA,"Animalia","Ophiurida","Echinodermata","Ophiocoma echinata",NA,"Bilateria","Chilophiurina","Asterozoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157518","Species","Ophioderma squamosissimum","Ophiuroidea","Ophiodermatidae","Ophioderma","Deuterostomia",NA,NA,"Animalia","Ophiurida","Echinodermata","Ophioderma squamosissimum",NA,"Bilateria","Chilophiurina","Asterozoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157520","Species","Ophioderma brevispinum","Ophiuroidea","Ophiodermatidae","Ophioderma","Deuterostomia",NA,NA,"Animalia","Ophiurida","Echinodermata","Ophioderma brevispinum",NA,"Bilateria","Chilophiurina","Asterozoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157821","Class","Echinoidea","Echinoidea",NA,NA,"Deuterostomia",NA,NA,"Animalia",NA,"Echinodermata",NA,NA,"Bilateria",NA,"Echinozoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157826","Species","Eucidaris tribuloides","Echinoidea","Cidaridae","Eucidaris","Deuterostomia",NA,NA,"Animalia","Cidaroida","Echinodermata","Eucidaris tribuloides",NA,"Bilateria",NA,"Echinozoa",NA,NA,NA,"Perischoechinoidea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"157906","Species","Arbacia punctulata","Echinoidea","Arbaciidae","Arbacia","Deuterostomia",NA,NA,"Animalia","Arbacioida","Echinodermata","Arbacia punctulata",NA,"Bilateria",NA,"Echinozoa",NA,NA,NA,"Euechinoidea",NA,NA,NA,"Echinacea",NA,NA,NA,NA,NA
"157921","Species","Lytechinus variegatus","Echinoidea","Toxopneustidae","Lytechinus","Deuterostomia",NA,NA,"Animalia","Temnopleuroida","Echinodermata","Lytechinus variegatus",NA,"Bilateria",NA,"Echinozoa",NA,NA,NA,"Euechinoidea",NA,NA,NA,"Echinacea",NA,NA,NA,NA,NA
"157958","Species","Echinometra lucunter","Echinoidea","Echinometridae","Echinometra","Deuterostomia",NA,NA,"Animalia","Echinoida","Echinodermata","Echinometra lucunter",NA,"Bilateria",NA,"Echinozoa",NA,NA,NA,"Euechinoidea",NA,NA,NA,"Echinacea",NA,NA,NA,NA,NA
"157968","Genus","Strongylocentrotus","Echinoidea","Strongylocentrotidae","Strongylocentrotus","Deuterostomia",NA,NA,"Animalia","Echinoida","Echinodermata",NA,NA,"Bilateria",NA,"Echinozoa",NA,NA,NA,"Euechinoidea",NA,NA,NA,"Echinacea",NA,NA,NA,NA,NA
"157969","Species","Strongylocentrotus droebachiensis","Echinoidea","Strongylocentrotidae","Strongylocentrotus","Deuterostomia",NA,NA,"Animalia","Echinoida","Echinodermata","Strongylocentrotus droebachiensis",NA,"Bilateria",NA,"Echinozoa",NA,NA,NA,"Euechinoidea",NA,NA,NA,"Echinacea",NA,NA,NA,NA,NA
"157987","Genus","Clypeaster","Echinoidea","Clypeasteridae","Clypeaster","Deuterostomia",NA,NA,"Animalia","Clypeasteroida","Echinodermata",NA,NA,"Bilateria","Clypeasterina","Echinozoa",NA,NA,NA,"Euechinoidea",NA,NA,NA,"Gnathostomata",NA,NA,NA,NA,NA
"157988","Species","Clypeaster prostratus","Echinoidea","Clypeasteridae","Clypeaster","Deuterostomia",NA,NA,"Animalia","Clypeasteroida","Echinodermata","Clypeaster prostratus",NA,"Bilateria","Clypeasterina","Echinozoa",NA,NA,NA,"Euechinoidea",NA,NA,NA,"Gnathostomata",NA,NA,NA,NA,NA
"157989","Species","Clypeaster subdepressus","Echinoidea","Clypeasteridae","Clypeaster","Deuterostomia",NA,NA,"Animalia","Clypeasteroida","Echinodermata","Clypeaster subdepressus",NA,"Bilateria","Clypeasterina","Echinozoa",NA,NA,NA,"Euechinoidea",NA,NA,NA,"Gnathostomata",NA,NA,NA,NA,NA
"158018","Family","Mellitidae","Echinoidea","Mellitidae",NA,"Deuterostomia",NA,NA,"Animalia","Clypeasteroida","Echinodermata",NA,NA,"Bilateria","Scutellina","Echinozoa",NA,NA,NA,"Euechinoidea",NA,NA,NA,"Gnathostomata",NA,NA,NA,NA,NA
"158019","Genus","Mellita","Echinoidea","Mellitidae","Mellita","Deuterostomia",NA,NA,"Animalia","Clypeasteroida","Echinodermata",NA,NA,"Bilateria","Scutellina","Echinozoa",NA,NA,NA,"Euechinoidea",NA,NA,NA,"Gnathostomata",NA,NA,NA,NA,NA
"158028","Species","Encope emarginata","Echinoidea","Mellitidae","Encope","Deuterostomia",NA,NA,"Animalia","Clypeasteroida","Echinodermata","Encope emarginata",NA,"Bilateria","Scutellina","Echinozoa",NA,NA,NA,"Euechinoidea",NA,NA,NA,"Gnathostomata",NA,NA,NA,NA,NA
"158031","Genus","Leodia","Echinoidea","Mellitidae","Leodia","Deuterostomia",NA,NA,"Animalia","Clypeasteroida","Echinodermata",NA,NA,"Bilateria","Scutellina","Echinozoa",NA,NA,NA,"Euechinoidea",NA,NA,NA,"Gnathostomata",NA,NA,NA,NA,NA
"158140","Class","Holothuroidea","Holothuroidea",NA,NA,"Deuterostomia",NA,NA,"Animalia",NA,"Echinodermata",NA,NA,"Bilateria",NA,"Echinozoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158195","Species","Cucumaria frondosa","Holothuroidea","Cucumariidae","Cucumaria","Deuterostomia",NA,NA,"Animalia","Dendrochirotida","Echinodermata","Cucumaria frondosa",NA,"Bilateria",NA,"Echinozoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158309","Family","Holothuriidae","Holothuroidea","Holothuriidae",NA,"Deuterostomia",NA,NA,"Animalia","Holothuriida","Echinodermata",NA,NA,"Bilateria",NA,"Echinozoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158323","Species","Holothuria floridana","Holothuroidea","Holothuriidae","Holothuria","Deuterostomia",NA,NA,"Animalia","Holothuriida","Echinodermata","Holothuria floridana",NA,"Bilateria",NA,"Echinozoa",NA,NA,NA,NA,NA,NA,"Holothuria (Halodeima)",NA,NA,NA,NA,NA,NA
"158541","Class","Crinoidea","Crinoidea",NA,NA,"Deuterostomia",NA,NA,"Animalia",NA,"Echinodermata",NA,NA,"Bilateria",NA,"Crinozoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158854","Class","Ascidiacea","Ascidiacea",NA,NA,"Deuterostomia",NA,NA,"Animalia",NA,"Chordata",NA,NA,"Bilateria",NA,"Urochordata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159699","Species","Entosphenus tridentatus","Cephalaspidomorphi","Petromyzontidae","Entosphenus","Deuterostomia",NA,"Agnatha","Animalia","Petromyzontiformes","Chordata","Entosphenus tridentatus",NA,"Bilateria",NA,"Vertebrata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159722","Species","Petromyzon marinus","Cephalaspidomorphi","Petromyzontidae","Petromyzon","Deuterostomia",NA,"Agnatha","Animalia","Petromyzontiformes","Chordata","Petromyzon marinus",NA,"Bilateria",NA,"Vertebrata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159753","Family","Myxinidae","Myxini","Myxinidae",NA,"Deuterostomia",NA,"Agnatha","Animalia","Myxiniformes","Chordata",NA,NA,"Bilateria",NA,"Vertebrata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159756","Species","Eptatretus deani","Myxini","Myxinidae","Eptatretus","Deuterostomia",NA,"Agnatha","Animalia","Myxiniformes","Chordata","Eptatretus deani","Eptatretinae","Bilateria",NA,"Vertebrata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159772","Species","Myxine glutinosa","Myxini","Myxinidae","Myxine","Deuterostomia",NA,"Agnatha","Animalia","Myxiniformes","Chordata","Myxine glutinosa","Myxininae","Bilateria",NA,"Vertebrata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159785","Class","Chondrichthyes","Chondrichthyes",NA,NA,"Deuterostomia",NA,"Gnathostomata","Animalia",NA,"Chordata",NA,NA,"Bilateria",NA,"Vertebrata","Chondrichthyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159786","Subclass","Elasmobranchii","Chondrichthyes",NA,NA,"Deuterostomia",NA,"Gnathostomata","Animalia",NA,"Chordata",NA,NA,"Bilateria",NA,"Vertebrata","Chondrichthyes",NA,NA,"Elasmobranchii",NA,NA,NA,NA,NA,NA,NA,NA,NA
"159791","Species","Heterodontus francisci","Chondrichthyes","Heterodontidae","Heterodontus","Deuterostomia",NA,"Gnathostomata","Animalia","Heterodontiformes","Chordata","Heterodontus francisci",NA,"Bilateria",NA,"Vertebrata","Chondrichthyes",NA,NA,"Elasmobranchii",NA,NA,NA,"Euselachii",NA,NA,NA,NA,NA
"159819","Species","Hexanchus griseus","Chondrichthyes","Hexanchidae","Hexanchus","Deuterostomia",NA,"Gnathostomata","Animalia","Hexanchiformes","Chordata","Hexanchus griseus",NA,"Bilateria",NA,"Vertebrata","Chondrichthyes",NA,NA,"Elasmobranchii",NA,NA,NA,"Euselachii",NA,NA,NA,NA,NA
