species,all_2019,mexico_2019,all_2018,mexico_2018
"Barracuda, California","16,227",894,"5,986",405
"Bass, barred sand","25,269",351,"18,243",118
"Bass, giant (black) sea",0,0,0,0
"Bass, kelp (calico)","106,410","5,162","65,402",875
"Bass, striped","15,378",0,"20,147",0
"Bonito, Pacific","86,832","6,723","13,357","2,053"
Cabezon,"2,509",1,"1,667",1
"Croaker, unspecified***",100,21,164,58
"Croaker, white",373,1,204,0
Dolphinfish,"12,411","9,259","4,998","4,953"
"Fishes, unspecified***","29,030",807,"17,614",866
"Flatfishes, unspecified***","5,956",1,"4,119",3
"Greenling, kelp","2,527",9,"1,452",0
Halfmoon,"29,995",0,"11,384",1
"Halibut, California","16,193",51,"27,532",20
"Invertebrates, unspecified****","163,916",0,"182,646",4
Lingcod,"59,800",521,"41,456",889
"Mackerel, jack","1,136",0,505,0
"Mackerel, Pacific","13,246",68,"5,508",17
"Marlin, striped",3,3,6,6
"Rockfish, blue","266,887",12,"211,929",19
"Rockfish, gopher","24,672",23,"36,482",22
"Rockfishes, unspecified***","1,276,650","16,986","1,416,466","23,059"
"Salmon, king (Chinook)","44,926",0,"34,243",0
"Salmon, unspecified***",748,0,434,0
Sanddab,"142,524",15,"121,769",17
"Scorpionfish, California","114,386",244,"139,356",377
"Seabass, white","2,864",47,"4,756",145
"Shark, blue",1,0,44,0
"Shark, bonito (mako)",138,7,34,3
"Shark, leopard",609,0,592,0
"Shark, unspecified***",407,0,486,278
"Sheephead, California","29,494",669,"23,034",623
"Sturgeon, unspecified***",19,0,9,0
"Tuna, albacore","1,353",0,"3,459",0
"Tuna, bluefin","12,750","2,884","15,411","12,195"
"Tuna, skipjack","51,407","35,447","11,543","10,587"
"Tuna, yellowfin","106,194","90,176","100,578","84,316"
Wahoo,"6,398","6,397","7,143","7,143"
"Whitefish, ocean","396,773","4,431","337,342","3,725"
Yellowtail,"101,245","63,564","70,487","44,095"
Total Landings:,"3,167,756","244,774","2,957,987","196,873"
Number of Fishers:,"527,807","23,224","478,740","19,884"
Reporting CPFV's,422,64,396,69
