"year","filename","port_complex","area","category","species","check","January","February","March","April","May","June","July","August","September","October","November","December","Total","Extra"
2017,"Table 10.pdf","San Francisco","California Waters","Fishes","Fishes",,"","","","","","","","","","","","","",
2017,"Table 10.pdf","San Francisco","California Waters","Fishes","Anchovy, northern",,"0","0","0","0","161","107","432,654","1,591,542","1,418,624","7","0","0","3,443,095",
2017,"Table 10.pdf","San Francisco","California Waters","Fishes","Bonito, Pacific",,"0","0","0","0","0","0","0","41","7","0","965","0","1,013",
2017,"Table 10.pdf","San Francisco","California Waters","Fishes","Bullhead, brown",,"0","0","0","0","0","0","0","0","0","14","6","0","20",
2017,"Table 10.pdf","San Francisco","California Waters","Fishes","Cabezon",,"5","0","0","0","69","46","33","11","117","57","87","19","444",
2017,"Table 10.pdf","San Francisco","California Waters","Fishes","Croaker, white",,"86","7","6","0","1","0","19","357","0","0","0","11","487",
2017,"Table 10.pdf","San Francisco","California Waters","Fishes","Dolphin (fish)",,"0","0","332","0","0","0","0","0","0","0","0","0","332",
2017,"Table 10.pdf","San Francisco","California Waters","Fishes","Eel, wolf (wolf-eel)",,"0","0","0","0","0","10","0","22","7","0","0","0","39",
2017,"Table 10.pdf","San Francisco","California Waters","Fishes","Eel",,"0","0","0","0","0","1","2","0","0","0","0","10","13",
2017,"Table 10.pdf","San Francisco","California Waters","Fishes","Escolar",,"0","0","38","0","0","0","0","0","0","0","0","0","38",
2017,"Table 10.pdf","San Francisco","California Waters","Fishes","Fish, unspecified",,"0","0","0","0","0","0","1","0","0","0","0","0","1",
2017,"Table 10.pdf","San Francisco","California Waters","Fishes","Flounder, arrowtooth",,"0","0","0","22","3","30","644","2","3","8","0","6","718",
2017,"Table 10.pdf","San Francisco","California Waters","Fishes","Flounder, starry",,"762","914","1,260","740","804","333","500","1,823","1,922","1,069","612","0","10,739",
2017,"Table 10.pdf","San Francisco","California Waters","Fishes","Flounder, unspecified",,"0","0","182","0","0","0","0","0","15","0","3","0","200",
2017,"Table 10.pdf","San Francisco","California Waters","Fishes","Goby, yellowfin",,"0","0","0","0","0","0","0","0","0","0","0","35","35",
2017,"Table 10.pdf","San Francisco","California Waters","Fishes","Greenling, kelp",,"46","29","0","0","130","100","148","172","232","293","118","58","1,326",
2017,"Table 10.pdf","San Francisco","California Waters","Fishes","Grenadier",,"0","0","0","100","0","0","0","0","0","0","0","0","100",
2017,"Table 10.pdf","San Francisco","California Waters","Fishes","Halibut, California",,"17,814","25,902","35,746","21,793","25,001","31,485","33,248","48,477","30,579","21,521","6,452","15","298,033",
2017,"Table 10.pdf","San Francisco","California Waters","Fishes","Halibut, unspecified",,"0","0","0","0","0","0","0","17","0","0","0","0","17",
2017,"Table 10.pdf","San Francisco","California Waters","Fishes","Herring, Pacific - roe",,"35,892","38,526","0","0","0","0","0","0","0","0","0","0","74,418",
2017,"Table 10.pdf","San Francisco","California Waters","Fishes","Jacksmelt",,"50","1","140","0","0","0","0","0","0","0","18","65","274",
2017,"Table 10.pdf","San Francisco","California Waters","Fishes","Lingcod",,"138","167","53","247","2,039","2,131","3,643","4,149","8,805","6,212","1,735","498","29,819",
2017,"Table 10.pdf","San Francisco","California Waters","Fishes","Mackerel, Pacific",,"1","0","0","0","0","2","12","0","0","0","0","0","15",
2017,"Table 10.pdf","San Francisco","California Waters","Fishes","Mackerel, jack",,"0","0","0","0","0","0","16","0","0","0","0","0","16",
2017,"Table 10.pdf","San Francisco","California Waters","Fishes","Mackerel, unspecified",,"0","0","0","0","0","0","0","6","0","0","0","0","6",
2017,"Table 10.pdf","San Francisco","California Waters","Fishes","Midshipman, plainfin",,"0","0","0","0","0","88","42","0","2","0","0","0","132",
2017,"Table 10.pdf","San Francisco","California Waters","Fishes","Mudsucker, longjaw",,"143","0","0","4","33","22","8","0","0","56","175","0","441",
2017,"Table 10.pdf","San Francisco","California Waters","Fishes","Oilfish",,"0","0","273","0","0","0","0","0","0","0","0","0","273",
