"port_complex","port","port_long","lat_dd1","long_dd1","lat_dd2","long_dd2","lat_dd3","long_dd3"
"Bodega Bay","Bodega Bay","Bodega Bay, California",38.324444,-123.038611,38.33325,-123.0480571,38.33325,-123.0480571
"Bodega Bay","Bolinas","Bolinas, California",37.909444,-122.686389,37.9093702,-122.6863733,37.9093702,-122.6863733
"Bodega Bay","Inverness","Inverness, California",38.101111,-122.856944,NA,NA,38.1010337,-122.8569377
"Bodega Bay","Marconi Cove","Marconi Cove, California",38.143889,-122.878333,NA,NA,38.1438198,-122.8777264
"Bodega Bay","Tomales Bay","Tomales Bay, California",38.1486,-122.89787,38.1712779,-122.9127726,38.1712779,-122.9127726
"Eureka","Crescent City","Crescent City, California",41.755833,-124.201667,41.7557501,-124.2025913,41.7557501,-124.2025913
"Eureka","Eureka","Eureka, California",40.801944,-124.163611,40.8020712,-124.1636729,40.8020712,-124.1636729
"Eureka","Fields Landing","Fields Landing, California",40.724444,-124.215,40.7249124,-124.2163772,40.7249124,-124.2163772
"Eureka","Humboldt Bay","Humboldt Bay, California",40.753758,-124.215203,NA,NA,40.7195153,-124.242601
"Eureka","King Salmon","King Salmon, California",40.739167,-124.218611,NA,NA,40.7392928,-124.2186722
"Eureka","Klamath","Klamath, California",41.526389,-124.038333,NA,NA,41.5265092,-124.0384069
"Eureka","Orick","Orick, California",41.286667,-124.059722,NA,NA,41.2863689,-124.0597992
"Eureka","Shelter Cove","Shelter Cove, California",40.030556,-124.073056,NA,NA,40.0304212,-124.0730866
"Eureka","Trinidad","Trinidad, California",41.059167,-124.143056,41.059291,-124.1431246,41.059291,-124.1431246
"Fort Bragg","Albion","Albion, California",39.223611,-123.768611,39.2232406,-123.7680598,39.2232406,-123.7680598
"Fort Bragg","Elk","Elk, California",39.130278,-123.717778,NA,NA,39.1304105,-123.7172951
"Fort Bragg","Fort Bragg","Fort Bragg, California",39.445833,-123.805278,39.445723,-123.8052935,39.445723,-123.8052935
"Fort Bragg","Point Arena","Point Arena, California",38.908889,-123.693056,38.908798,-123.6930726,38.908798,-123.6930726
"Fort Bragg","Westport","Westport, California",39.635833,-123.783056,46.8900903,-124.1040613,39.6357155,-123.783075
"Los Angeles","Avalon","Avalon, California",NA,NA,NA,NA,33.3428193,-118.3282279
"Los Angeles","Dana Point","Dana Point, California",33.467222,-117.698056,33.4672256,-117.6981014,33.4672256,-117.6981014
"Los Angeles","Hermosa Beach","Hermosa Beach, California",NA,NA,NA,NA,33.8622366,-118.3995194
"Los Angeles","Huntington Beach","Huntington Beach, California",NA,NA,NA,NA,33.6594835,-117.9988026
"Los Angeles","Long Beach","Long Beach, California",NA,NA,33.7700504,-118.1937395,33.7700504,-118.1937395
"Los Angeles","Los Angeles","Los Angeles, California",34.05,-118.25,NA,NA,34.0522342,-118.2436849
"Los Angeles","Marina Del Rey","Marina Del Rey, California",NA,NA,NA,NA,33.9802893,-118.4517449
"Los Angeles","Newport Beach","Newport Beach, California",NA,NA,33.6188829,-117.9298493,33.6188829,-117.9298493
"Los Angeles","Redondo Beach","Redondo Beach, California",NA,NA,NA,NA,33.8491816,-118.3884078
"Los Angeles","San Pedro","San Pedro, California",33.74,-118.29,33.7360619,-118.2922461,33.7360619,-118.2922461
"Los Angeles","Santa Monica","Santa Monica, California",NA,NA,NA,NA,34.0194543,-118.4911912
"Los Angeles","Seal Beach","Seal Beach, California",NA,NA,NA,NA,33.7414085,-118.1047682
"Los Angeles","Terminal Island","Terminal Island, California",33.756963,-118.248126,33.7428471,-118.2614332,33.7428471,-118.2614332
